"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","740.0","735.0","751.0","735.0","16.70K","0.54%"
"05-11-2024","736.0","745.0","750.0","732.0","13.40K","-1.21%"
"01-11-2024","745.0","737.0","752.0","737.0","16.90K","-0.93%"
"31-10-2024","752.0","735.0","755.0","726.0","37.90K","2.31%"
"30-10-2024","735.0","757.0","757.0","735.0","76.30K","-2.26%"
"29-10-2024","752.0","743.0","756.0","742.0","26.70K","1.08%"
"28-10-2024","744.0","732.0","748.0","732.0","31.10K","0.13%"
"25-10-2024","743.0","746.0","748.0","735.0","25.90K","-0.93%"
"24-10-2024","750.0","760.0","764.0","749.0","19.70K","-1.32%"
"23-10-2024","760.0","765.0","775.0","755.0","32.70K","-0.39%"
"22-10-2024","763.0","757.0","767.0","731.0","36.90K","0.79%"
"21-10-2024","757.0","767.0","767.0","757.0","18.70K","-1.17%"
"18-10-2024","766.0","769.0","781.0","759.0","52.30K","-0.13%"
"17-10-2024","767.0","758.0","776.0","757.0","59.10K","1.99%"
"16-10-2024","752.0","743.0","759.0","740.0","40.10K","0.53%"
"15-10-2024","748.0","732.0","753.0","729.0","34.60K","2.61%"
"11-10-2024","729.0","726.0","732.0","718.0","38.50K","0.41%"
"10-10-2024","726.0","745.0","745.0","720.0","23.80K","-1.63%"
"09-10-2024","738.0","750.0","755.0","730.0","56.70K","-1.60%"
"08-10-2024","750.0","764.0","765.0","747.0","62.80K","-1.96%"
"07-10-2024","765.0","775.0","784.0","757.0","401.90K","2.96%"
"04-10-2024","743.0","737.0","749.0","726.0","145.10K","1.09%"
"03-10-2024","735.0","729.0","735.0","721.0","20.30K","2.65%"
"02-10-2024","716.0","715.0","718.0","710.0","11.80K","-0.69%"
"01-10-2024","721.0","715.0","729.0","712.0","17.50K","1.98%"
"30-09-2024","707.0","690.0","713.0","688.0","16.90K","-1.81%"
"27-09-2024","720.0","719.0","726.0","714.0","6.70K","-0.69%"
"26-09-2024","725.0","728.0","732.0","713.0","19.50K","-0.41%"
"25-09-2024","728.0","709.0","734.0","701.0","36.00K","2.97%"
"24-09-2024","707.0","691.0","712.0","685.0","53.70K","2.61%"
"20-09-2024","689.0","697.0","704.0","683.0","35.10K","0.00%"
"19-09-2024","689.0","681.0","694.0","680.0","17.80K","2.68%"
"18-09-2024","671.0","676.0","684.0","667.0","30.80K","0.60%"
"17-09-2024","667.0","663.0","671.0","658.0","11.60K","1.83%"
"13-09-2024","655.0","671.0","673.0","655.0","16.80K","-1.50%"
"12-09-2024","665.0","666.0","667.0","657.0","7.20K","2.47%"
"11-09-2024","649.0","664.0","664.0","638.0","25.60K","-2.26%"
"10-09-2024","664.0","664.0","667.0","658.0","5.10K","0.15%"
"09-09-2024","663.0","649.0","665.0","632.0","24.20K","1.69%"
"06-09-2024","652.0","672.0","672.0","649.0","24.40K","-0.76%"
"05-09-2024","657.0","651.0","678.0","648.0","44.10K","0.77%"
"04-09-2024","652.0","668.0","668.0","644.0","59.20K","-4.40%"
"03-09-2024","682.0","688.0","694.0","681.0","9.10K","0.15%"
"02-09-2024","681.0","689.0","697.0","673.0","7.50K","0.00%"
"30-08-2024","681.0","678.0","685.0","673.0","16.20K","0.29%"
"29-08-2024","679.0","688.0","693.0","677.0","10.10K","-1.31%"
"28-08-2024","688.0","691.0","701.0","682.0","31.80K","0.15%"
"27-08-2024","687.0","684.0","692.0","682.0","14.90K","1.03%"
"26-08-2024","680.0","680.0","685.0","675.0","10.40K","-0.15%"
"23-08-2024","681.0","691.0","691.0","678.0","13.10K","-1.02%"
"22-08-2024","688.0","691.0","691.0","680.0","5.60K","0.58%"
"21-08-2024","684.0","682.0","690.0","679.0","7.30K","-0.73%"
"20-08-2024","689.0","688.0","700.0","684.0","17.10K","1.32%"
"19-08-2024","680.0","681.0","687.0","668.0","20.10K","-0.44%"
"16-08-2024","683.0","673.0","683.0","664.0","27.80K","2.25%"
"15-08-2024","668.0","651.0","684.0","647.0","30.80K","3.09%"
"14-08-2024","648.0","641.0","650.0","635.0","31.30K","0.47%"
"13-08-2024","645.0","642.0","645.0","639.0","10.00K","1.90%"
"09-08-2024","633.0","623.0","639.0","618.0","22.90K","2.10%"
"08-08-2024","620.0","605.0","629.0","605.0","16.70K","-0.64%"
"07-08-2024","624.0","588.0","624.0","588.0","28.20K","5.58%"
"06-08-2024","591.0","575.0","607.0","575.0","22.30K","4.79%"
"05-08-2024","564.0","598.0","608.0","563.0","119.10K","-10.19%"
"02-08-2024","628.0","660.0","661.0","618.0","57.80K","-7.37%"
"01-08-2024","678.0","696.0","696.0","678.0","17.60K","-2.45%"
"31-07-2024","695.0","680.0","696.0","680.0","9.40K","2.36%"
"30-07-2024","679.0","707.0","708.0","679.0","47.90K","-3.55%"
"29-07-2024","704.0","700.0","705.0","698.0","18.70K","0.86%"
"26-07-2024","698.0","693.0","703.0","693.0","14.70K","0.72%"
"25-07-2024","693.0","689.0","700.0","682.0","18.50K","-0.72%"
"24-07-2024","698.0","698.0","704.0","695.0","34.40K","-1.55%"
"23-07-2024","709.0","700.0","710.0","699.0","23.40K","-0.42%"
"22-07-2024","712.0","714.0","714.0","701.0","26.60K","-1.25%"
"19-07-2024","721.0","727.0","733.0","712.0","36.10K","-0.83%"
"18-07-2024","727.0","713.0","729.0","702.0","87.80K","0.55%"
"17-07-2024","723.0","723.0","738.0","710.0","324.10K","3.58%"
"16-07-2024","698.0","698.0","698.0","698.0","33.10K","16.72%"
"12-07-2024","598.0","588.0","600.0","588.0","51.70K","1.70%"
"11-07-2024","588.0","580.0","588.0","578.0","19.90K","2.26%"
"10-07-2024","575.0","575.0","579.0","575.0","8.30K","-0.17%"
