"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","457.45","449.85","459.00","443.55","468.74K","1.73%"
"05-11-2024","449.65","450.40","455.70","442.35","429.47K","-0.39%"
"04-11-2024","451.40","440.70","454.00","439.35","613.77K","1.52%"
"01-11-2024","444.65","446.35","447.80","442.15","49.30K","1.17%"
"31-10-2024","439.50","452.40","454.00","437.15","308.75K","-2.89%"
"30-10-2024","452.60","445.30","463.20","445.30","738.54K","0.49%"
"29-10-2024","450.40","425.50","455.00","425.50","567.62K","4.49%"
"28-10-2024","431.05","415.00","434.00","408.00","534.35K","2.73%"
"25-10-2024","419.60","416.00","431.00","410.30","1.51M","1.18%"
"24-10-2024","414.70","424.90","424.90","412.30","247.19K","-1.26%"
"23-10-2024","420.00","417.65","426.90","410.00","417.95K","0.18%"
"22-10-2024","419.25","435.00","440.00","415.20","557.83K","-2.51%"
"21-10-2024","430.05","439.05","449.15","420.45","615.05K","-2.05%"
"18-10-2024","439.05","432.65","439.95","425.35","359.59K","0.31%"
"17-10-2024","437.70","447.80","453.45","435.25","548.08K","-2.03%"
"16-10-2024","446.75","453.30","455.40","445.50","618.05K","-2.56%"
"15-10-2024","458.50","447.70","463.70","445.05","1.32M","3.05%"
"14-10-2024","444.95","443.30","460.50","441.00","1.29M","0.92%"
"11-10-2024","440.90","440.70","444.00","439.00","221.26K","0.05%"
"10-10-2024","440.70","449.90","449.90","437.95","584.57K","0.30%"
"09-10-2024","439.40","453.30","464.90","437.00","1.30M","-2.15%"
"08-10-2024","449.05","430.00","470.95","425.20","2.88M","4.88%"
"07-10-2024","428.15","444.40","447.95","421.95","1.02M","-1.69%"
"04-10-2024","435.50","443.70","449.40","428.50","847.77K","-1.78%"
"03-10-2024","443.40","450.00","463.65","442.00","728.47K","-3.20%"
"01-10-2024","458.05","479.90","479.90","453.65","1.54M","-2.39%"
"30-09-2024","469.25","482.00","494.45","463.40","1.19M","-3.91%"
"27-09-2024","488.35","474.00","497.50","473.45","1.23M","1.81%"
"26-09-2024","479.65","506.45","506.45","476.00","1.18M","-5.39%"
"25-09-2024","506.95","508.20","512.05","496.00","1.10M","-0.69%"
"24-09-2024","510.45","500.80","516.80","494.40","3.16M","2.32%"
"23-09-2024","498.90","489.00","503.15","469.40","3.69M","7.46%"
"20-09-2024","464.25","460.70","466.00","452.05","981.25K","0.99%"
"19-09-2024","459.70","462.00","466.85","454.70","1.22M","0.47%"
"18-09-2024","457.55","455.90","464.00","451.80","807.54K","0.45%"
"17-09-2024","455.50","467.75","470.15","453.75","842.25K","-2.38%"
"16-09-2024","466.60","469.00","477.00","458.00","1.40M","0.82%"
"13-09-2024","462.80","458.70","476.00","457.40","1.79M","1.09%"
"12-09-2024","457.80","439.80","462.00","439.00","1.64M","4.83%"
"11-09-2024","436.70","435.05","442.50","433.00","1.01M","-0.11%"
"10-09-2024","437.20","430.00","439.95","428.40","521.74K","2.05%"
"09-09-2024","428.40","444.45","444.50","422.00","975.77K","-3.39%"
"06-09-2024","443.45","434.70","451.45","433.05","2.38M","2.26%"
"05-09-2024","433.65","419.00","435.90","413.20","1.66M","4.12%"
"04-09-2024","416.50","415.00","420.65","411.25","1.37M","-0.58%"
"03-09-2024","418.95","404.45","428.45","403.00","5.27M","7.48%"
"02-09-2024","389.80","385.05","391.75","384.45","821.89K","1.39%"
"30-08-2024","384.45","388.70","389.40","381.40","558.28K","0.14%"
"29-08-2024","383.90","387.00","395.10","376.10","1.25M","-0.72%"
"28-08-2024","386.70","400.00","401.00","385.20","998.24K","-2.66%"
"27-08-2024","397.25","398.65","405.85","394.80","701.60K","-0.09%"
"26-08-2024","397.60","403.90","403.90","390.05","620.65K","-0.76%"
"23-08-2024","400.65","408.95","410.35","399.40","318.69K","-1.67%"
"22-08-2024","407.45","408.00","412.85","405.05","464.51K","0.57%"
"21-08-2024","405.15","391.05","408.30","388.80","986.82K","3.57%"
"20-08-2024","391.20","396.00","399.00","389.30","342.00K","-0.70%"
"19-08-2024","393.95","396.85","398.05","390.05","1.20M","-0.11%"
"16-08-2024","394.40","388.50","401.70","381.85","1.37M","2.31%"
"14-08-2024","385.50","402.90","402.90","383.50","750.85K","-3.69%"
"13-08-2024","400.25","415.00","420.20","396.05","1.58M","-5.10%"
