"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","29,195.80","29,363.25","29,432.40","28,625.05","8.70K","-0.45%"
"05-11-2024","29,329.20","29,460.45","29,329.20","29,329.20","9.20K","-0.45%"
"04-11-2024","29,460.45","29,150.00","29,680.00","29,123.25","23.57K","0.56%"
"01-11-2024","29,295.50","29,119.95","29,500.00","29,119.00","1.26K","1.09%"
"31-10-2024","28,978.70","28,406.95","29,215.40","28,259.65","7.23K","2.01%"
"30-10-2024","28,406.90","28,400.00","28,679.95","28,224.05","3.12K","-0.23%"
"29-10-2024","28,473.05","28,400.00","28,533.90","27,423.40","9.71K","0.14%"
"28-10-2024","28,433.45","28,000.00","28,747.95","28,000.00","8.83K","-0.27%"
"25-10-2024","28,509.10","28,724.00","28,848.00","28,405.30","6.71K","-0.41%"
"24-10-2024","28,625.85","28,647.90","28,839.35","28,350.00","11.04K","0.60%"
"23-10-2024","28,455.15","29,000.00","29,230.00","28,411.70","9.21K","-1.97%"
"22-10-2024","29,028.10","29,220.00","29,378.10","28,945.05","8.65K","-0.50%"
"21-10-2024","29,174.60","29,250.00","29,525.00","29,014.10","7.01K","-0.12%"
"18-10-2024","29,209.55","28,347.95","29,300.00","28,290.00","17.46K","2.95%"
"17-10-2024","28,371.70","28,903.60","28,928.00","28,261.10","12.02K","-1.99%"
"16-10-2024","28,946.60","29,180.80","29,356.85","28,773.80","14.56K","-0.25%"
"15-10-2024","29,020.40","28,991.35","29,300.00","28,876.35","9.59K","0.65%"
"14-10-2024","28,832.10","28,810.30","29,149.90","28,645.10","12.96K","0.08%"
"11-10-2024","28,808.25","28,392.40","28,943.95","28,340.60","7.14K","1.46%"
"10-10-2024","28,392.40","28,691.00","28,800.00","28,340.00","6.93K","-0.87%"
"09-10-2024","28,640.85","28,944.00","28,944.00","28,545.05","7.94K","0.31%"
"08-10-2024","28,551.25","28,034.75","28,639.75","27,958.75","13.88K","1.84%"
"07-10-2024","28,034.75","28,105.00","28,266.40","27,800.00","8.51K","-0.25%"
