"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","583.25","575.40","585.00","572.50","1.26M","1.97%"
"05-11-2024","572.00","571.00","575.00","565.35","625.47K","0.11%"
"04-11-2024","571.40","579.95","580.70","566.00","1.06M","-1.90%"
"01-11-2024","582.45","582.95","585.50","580.05","216.56K","0.33%"
"31-10-2024","580.55","579.70","586.80","574.35","2.02M","0.15%"
"30-10-2024","579.70","574.90","585.75","570.45","2.36M","0.82%"
"29-10-2024","575.00","570.00","576.25","566.65","2.42M","0.98%"
"28-10-2024","569.40","552.70","582.25","547.05","6.42M","3.02%"
"25-10-2024","552.70","556.05","561.00","545.20","1.61M","-1.11%"
"24-10-2024","558.90","557.00","562.55","553.50","1.33M","0.55%"
"23-10-2024","555.85","561.00","564.55","551.70","4.34M","-0.47%"
"22-10-2024","558.50","569.00","583.25","556.10","5.53M","-2.34%"
"21-10-2024","571.90","574.30","577.90","566.30","3.65M","-0.36%"
"18-10-2024","573.95","571.50","577.40","558.95","5.21M","0.47%"
"17-10-2024","571.25","588.00","595.80","569.30","3.48M","-3.02%"
"16-10-2024","589.05","590.35","594.45","576.40","20.19M","-0.22%"
"15-10-2024","590.35","590.20","597.00","586.55","1.81M","0.25%"
"14-10-2024","588.90","587.95","590.80","583.40","1.20M","0.63%"
"11-10-2024","585.20","588.95","592.80","583.05","1.94M","-0.01%"
"10-10-2024","585.25","610.80","613.45","582.00","6.42M","-3.73%"
"09-10-2024","607.95","610.00","617.40","605.75","3.15M","0.26%"
"08-10-2024","606.40","588.70","610.40","584.45","3.48M","2.72%"
"07-10-2024","590.35","615.00","619.35","586.65","3.20M","-3.33%"
"04-10-2024","610.70","615.45","622.00","604.60","1.54M","-1.09%"
"03-10-2024","617.45","623.00","633.00","613.05","1.55M","-2.37%"
"01-10-2024","632.45","630.20","634.75","623.00","1.51M","-0.02%"
"30-09-2024","632.55","634.00","643.30","628.05","4.22M","-0.23%"
"27-09-2024","634.00","625.00","636.45","623.15","3.87M","1.42%"
"26-09-2024","625.15","616.05","627.05","610.85","1.94M","1.48%"
"25-09-2024","616.05","618.30","619.60","610.00","1.46M","-0.36%"
"24-09-2024","618.30","620.00","623.90","615.90","1.31M","-0.60%"
"23-09-2024","622.05","620.00","624.00","617.10","1.60M","0.89%"
"20-09-2024","616.55","611.00","618.80","607.05","1.80M","1.34%"
"19-09-2024","608.40","624.00","624.00","598.00","2.51M","-1.89%"
"18-09-2024","620.10","623.00","626.00","615.00","736.54K","-0.47%"
"17-09-2024","623.00","625.95","627.40","620.70","1.09M","-0.69%"
"16-09-2024","627.30","631.00","633.85","626.25","737.03K","-0.37%"
"13-09-2024","629.60","628.15","635.75","625.50","1.90M","0.23%"
"12-09-2024","628.15","626.10","629.70","620.60","1.05M","0.83%"
"11-09-2024","623.00","627.00","632.00","620.65","1.66M","-0.65%"
"10-09-2024","627.05","630.15","631.00","623.70","1.47M","-0.49%"
"09-09-2024","630.15","622.90","631.50","614.75","1.68M","1.11%"
"06-09-2024","623.25","627.00","631.00","620.30","2.09M","-1.36%"
"05-09-2024","631.85","628.95","636.75","627.40","2.83M","0.76%"
"04-09-2024","627.10","615.00","629.00","612.60","2.35M","1.51%"
"03-09-2024","617.80","622.25","622.50","614.15","2.55M","-0.42%"
"02-09-2024","620.40","620.00","624.20","616.30","2.22M","0.54%"
"30-08-2024","617.05","612.65","621.65","609.40","3.54M","0.74%"
"29-08-2024","612.50","617.70","619.00","600.70","6.30M","-0.63%"
"28-08-2024","616.40","626.05","627.25","615.10","2.57M","-1.29%"
"27-08-2024","624.45","628.80","629.85","622.05","2.37M","-0.51%"
