"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","1,324.60","1,308.10","1,328.00","1,308.10","118.31K","1.63%"
"05-11-2024","1,303.35","1,302.25","1,303.35","1,303.35","173.88K","0.28%"
"04-11-2024","1,299.65","1,343.05","1,344.90","1,282.25","251.44K","-3.55%"
"01-11-2024","1,347.55","1,349.15","1,368.70","1,340.00","76.12K","0.03%"
"31-10-2024","1,347.20","1,304.80","1,374.95","1,282.20","441.93K","3.25%"
"30-10-2024","1,304.80","1,166.05","1,324.45","1,163.65","1.53M","10.12%"
"29-10-2024","1,184.90","1,152.50","1,197.90","1,115.50","688.86K","1.17%"
"28-10-2024","1,171.15","1,194.05","1,205.80","1,128.40","755.67K","-4.23%"
"25-10-2024","1,222.90","1,269.00","1,274.95","1,216.80","261.13K","-3.60%"
"24-10-2024","1,268.60","1,284.00","1,287.90","1,263.60","127.81K","-0.57%"
"23-10-2024","1,275.85","1,290.00","1,293.05","1,241.35","533.53K","-2.32%"
"22-10-2024","1,306.20","1,383.55","1,386.45","1,297.20","324.86K","-5.76%"
"21-10-2024","1,386.05","1,390.00","1,418.00","1,373.65","293.70K","0.50%"
"18-10-2024","1,379.10","1,382.80","1,390.00","1,344.90","128.59K","-0.68%"
"17-10-2024","1,388.50","1,425.00","1,437.05","1,385.00","246.08K","-2.11%"
"16-10-2024","1,418.40","1,342.20","1,435.00","1,331.00","1.43M","5.48%"
"15-10-2024","1,344.70","1,341.00","1,353.00","1,332.10","90.29K","0.40%"
"14-10-2024","1,339.30","1,348.90","1,354.00","1,330.05","85.52K","-0.34%"
"11-10-2024","1,343.85","1,355.00","1,356.20","1,340.10","70.14K","-0.35%"
"10-10-2024","1,348.60","1,360.00","1,365.40","1,343.05","125.52K","-0.51%"
"09-10-2024","1,355.45","1,304.00","1,359.95","1,299.05","420.93K","5.47%"
"08-10-2024","1,285.10","1,280.70","1,295.70","1,262.00","235.39K","0.23%"
"07-10-2024","1,282.10","1,321.50","1,334.00","1,273.55","410.55K","-2.98%"
