"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","741.65","724.05","751.85","721.00","607.14K","2.71%"
"05-11-2024","722.05","707.00","726.00","706.35","365.38K","1.50%"
"04-11-2024","711.35","718.00","720.05","708.15","301.86K","-1.60%"
"01-11-2024","722.95","721.80","725.55","720.00","77.97K","0.64%"
"31-10-2024","718.35","713.55","727.00","713.55","392.90K","0.67%"
"30-10-2024","713.55","708.00","727.70","705.00","460.36K","0.37%"
"29-10-2024","710.90","707.15","716.60","705.85","358.30K","-0.17%"
"28-10-2024","712.10","719.10","726.70","700.05","768.39K","-1.66%"
"25-10-2024","724.15","754.85","760.00","712.80","1.43M","-4.08%"
"24-10-2024","754.95","695.65","773.80","695.55","3.16M","7.78%"
"23-10-2024","700.45","692.00","705.00","682.25","614.60K","1.24%"
"22-10-2024","691.85","715.25","728.00","684.70","740.84K","-3.94%"
"21-10-2024","720.20","730.00","737.95","715.25","319.72K","-1.69%"
"18-10-2024","732.60","730.00","749.90","716.95","540.65K","-0.34%"
"17-10-2024","735.10","742.35","749.95","733.00","360.44K","-1.57%"
"16-10-2024","746.80","745.15","754.70","744.05","313.18K","0.12%"
"15-10-2024","745.90","750.00","754.35","744.25","303.91K","-1.12%"
"14-10-2024","754.35","755.00","763.05","752.20","250.14K","-0.40%"
"11-10-2024","757.35","754.00","773.00","754.00","709.75K","-0.03%"
"10-10-2024","757.60","755.95","767.85","753.00","317.48K","0.06%"
"09-10-2024","757.15","760.00","771.50","752.80","452.79K","-0.37%"
"08-10-2024","759.95","736.65","764.95","728.05","745.88K","2.50%"
"07-10-2024","741.45","758.55","769.70","738.20","678.39K","-2.88%"
