"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 06, 2024","1,064.00","1,016.20","1,090.00","1,009.85","4.46M","4.83%"
"Nov 05, 2024","1,015.00","968.90","1,024.90","956.35","2.10M","5.20%"
"Nov 04, 2024","964.80","978.95","979.90","961.20","773.09K","-1.43%"
"Nov 01, 2024","978.75","981.85","990.00","970.10","144.00K","0.26%"
"Oct 31, 2024","976.20","943.00","980.00","942.00","1.55M","3.20%"
"Oct 30, 2024","945.90","930.00","963.50","917.55","1.79M","1.64%"
"Oct 29, 2024","930.60","950.00","950.05","917.05","2.13M","-1.00%"
"Oct 28, 2024","940.00","924.95","961.85","891.05","2.00M","2.25%"
"Oct 25, 2024","919.35","975.00","975.75","905.10","1.69M","-5.84%"
"Oct 24, 2024","976.35","981.90","988.50","969.00","1.90M","-0.53%"
"Oct 23, 2024","981.60","1,008.95","1,008.95","965.40","3.27M","-2.80%"
"Oct 22, 2024","1,009.85","1,017.50","1,043.40","987.00","3.79M","-0.76%"
"Oct 21, 2024","1,017.55","1,043.30","1,048.70","1,008.00","799.92K","-2.47%"
"Oct 18, 2024","1,043.30","1,015.55","1,046.00","1,004.00","2.16M","2.12%"
"Oct 17, 2024","1,021.65","1,027.05","1,036.85","1,015.00","1.49M","-1.07%"
"Oct 16, 2024","1,032.65","1,010.75","1,038.35","1,003.20","3.05M","2.78%"
"Oct 15, 2024","1,004.70","984.85","1,009.00","974.05","2.47M","2.27%"
"Oct 14, 2024","982.40","994.00","1,014.80","977.10","1.36M","0.57%"
"Oct 11, 2024","976.80","997.90","999.05","974.70","1.06M","-1.32%"
"Oct 10, 2024","989.85","992.95","1,001.60","963.60","1.98M","0.67%"
"Oct 09, 2024","983.30","1,015.80","1,017.45","980.50","1.75M","-2.38%"
"Oct 08, 2024","1,007.30","931.00","1,010.00","915.00","4.98M","7.82%"
"Oct 07, 2024","934.20","976.00","982.70","920.80","4.32M","-2.97%"
"Oct 04, 2024","962.75","1,016.00","1,020.50","955.00","5.17M","-5.23%"
"Oct 03, 2024","1,015.85","1,023.80","1,039.70","1,010.00","983.96K","-2.33%"
"Oct 01, 2024","1,040.10","1,013.95","1,053.45","1,010.00","4.06M","3.02%"
"Sep 30, 2024","1,009.65","1,009.90","1,018.70","994.00","1.17M","-0.05%"
"Sep 27, 2024","1,010.20","1,036.10","1,056.00","1,001.05","1.54M","-2.56%"
"Sep 26, 2024","1,036.70","1,045.00","1,049.40","1,033.00","641.98K","-0.72%"
"Sep 25, 2024","1,044.20","1,049.00","1,053.85","1,036.00","1.09M","-0.66%"
"Sep 24, 2024","1,051.15","1,030.00","1,068.00","1,021.45","4.13M","2.46%"
"Sep 23, 2024","1,025.95","1,025.20","1,040.00","1,017.00","2.32M","1.87%"
"Sep 20, 2024","1,007.15","976.20","1,019.90","976.20","4.79M","2.88%"
"Sep 19, 2024","979.00","993.10","998.45","967.05","3.41M","-0.09%"
"Sep 18, 2024","979.90","988.00","993.00","977.00","2.85M","-0.92%"
"Sep 17, 2024","989.00","985.00","995.00","976.15","1.32M","0.87%"
"Sep 16, 2024","980.50","990.50","1,010.00","978.00","1.79M","-0.28%"
"Sep 13, 2024","983.30","991.00","1,009.00","980.00","1.64M","-2.47%"
"Sep 12, 2024","1,008.20","1,004.10","1,012.00","990.00","692.26K","1.01%"
"Sep 11, 2024","998.10","1,008.05","1,012.85","990.90","628.40K","-1.57%"
"Sep 10, 2024","1,014.00","1,001.05","1,020.00","1,001.05","1.27M","0.69%"
"Sep 09, 2024","1,007.05","985.30","1,009.15","968.30","2.72M","2.20%"
"Sep 06, 2024","985.35","1,012.45","1,012.50","983.00","1.64M","-2.19%"
"Sep 05, 2024","1,007.45","1,035.00","1,037.80","1,001.30","1.16M","-2.06%"
"Sep 04, 2024","1,028.60","1,015.70","1,038.00","1,012.00","1.08M","-0.06%"
"Sep 03, 2024","1,029.20","1,045.00","1,046.10","1,020.05","1.37M","-0.47%"
"Sep 02, 2024","1,034.10","1,017.00","1,049.00","1,003.40","2.82M","2.65%"
"Aug 30, 2024","1,007.40","1,012.70","1,022.90","1,000.50","2.07M","0.33%"
"Aug 29, 2024","1,004.10","1,025.50","1,027.00","984.00","6.51M","-2.24%"
"Aug 28, 2024","1,027.15","1,050.90","1,050.90","1,022.50","1.88M","-1.82%"
"Aug 27, 2024","1,046.15","1,055.15","1,062.00","1,043.50","1.32M","-0.68%"
"Aug 26, 2024","1,053.35","1,066.55","1,076.00","1,041.35","1.71M","-1.15%"
"Aug 23, 2024","1,065.65","1,081.00","1,086.00","1,060.00","1.47M","-1.12%"
"Aug 22, 2024","1,077.75","1,092.00","1,099.90","1,075.00","1.94M","-0.98%"
"Aug 21, 2024","1,088.40","1,099.70","1,115.50","1,075.00","2.05M","-1.05%"
"Aug 20, 2024","1,099.90","1,097.85","1,110.25","1,090.80","1.10M","0.67%"
"Aug 19, 2024","1,092.55","1,089.80","1,111.90","1,089.80","1.78M","0.67%"
"Aug 16, 2024","1,085.30","1,126.90","1,138.00","1,073.10","3.19M","-2.55%"
"Aug 14, 2024","1,113.70","1,082.00","1,119.00","1,070.10","3.85M","3.96%"
"Aug 13, 2024","1,071.25","1,092.00","1,129.90","1,065.10","5.81M","0.78%"
