"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","620.00","608.85","627.00","605.60","2.54M","2.74%"
"05-11-2024","603.45","584.95","607.40","581.00","2.09M","3.15%"
"04-11-2024","585.00","596.95","596.95","582.20","1.47M","-2.07%"
"01-11-2024","597.35","595.70","599.95","593.50","396.24K","0.78%"
"31-10-2024","592.70","601.00","609.90","590.00","2.43M","0.11%"
"30-10-2024","592.05","595.00","599.80","584.05","1.81M","-0.04%"
"29-10-2024","592.30","579.95","596.10","578.30","2.65M","-0.99%"
"28-10-2024","598.20","586.10","606.70","572.65","3.68M","1.00%"
"25-10-2024","592.30","605.70","612.30","585.10","2.43M","-2.07%"
"24-10-2024","604.85","587.80","612.00","585.00","3.86M","2.89%"
"23-10-2024","587.85","587.95","596.00","578.05","5.42M","-0.05%"
"22-10-2024","588.15","604.00","607.15","583.70","2.45M","-2.56%"
"21-10-2024","603.60","615.00","618.10","600.00","1.32M","-1.28%"
"18-10-2024","611.40","609.00","613.90","595.05","2.28M","0.38%"
"17-10-2024","609.10","626.00","628.70","607.80","2.03M","-2.67%"
"16-10-2024","625.80","631.55","635.80","621.55","1.72M","-1.28%"
"15-10-2024","633.90","640.00","640.35","632.45","930.15K","-0.09%"
"14-10-2024","634.45","642.50","645.70","631.00","1.81M","-1.22%"
"11-10-2024","642.30","645.00","645.40","637.45","1.11M","-0.48%"
"10-10-2024","645.40","641.95","648.40","631.05","1.65M","1.75%"
"09-10-2024","634.30","646.40","649.00","631.55","1.27M","-0.98%"
"08-10-2024","640.60","624.90","645.90","613.20","2.35M","2.42%"
"07-10-2024","625.45","641.45","645.95","613.40","2.86M","-2.59%"
