"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","343.80","343.75","349.00","341.15","1.32M","0.42%"
"05-11-2024","342.35","328.00","343.45","326.20","1.78M","3.32%"
"04-11-2024","331.35","342.70","342.85","329.75","1.09M","-3.66%"
"01-11-2024","343.95","348.75","352.80","342.65","415.05K","-0.62%"
"31-10-2024","346.10","336.95","348.00","335.70","2.00M","2.31%"
"30-10-2024","338.30","336.00","342.30","333.00","1.68M","0.89%"
"29-10-2024","335.30","325.75","336.40","325.60","2.34M","3.26%"
"28-10-2024","324.70","325.10","329.90","316.20","1.83M","0.14%"
"25-10-2024","324.25","335.80","336.45","321.95","3.19M","-4.72%"
"24-10-2024","340.30","321.00","344.65","317.45","7.97M","6.93%"
"23-10-2024","318.25","314.85","320.90","310.20","1.01M","1.11%"
"22-10-2024","314.75","324.50","326.95","312.65","1.28M","-2.91%"
"21-10-2024","324.20","331.00","332.35","323.00","1.00M","-1.46%"
"18-10-2024","329.00","326.05","331.80","322.30","1.13M","0.43%"
"17-10-2024","327.60","332.55","333.75","326.95","1.03M","-1.30%"
"16-10-2024","331.90","335.50","336.85","331.05","1.04M","-1.21%"
"15-10-2024","335.95","337.60","339.00","335.00","757.52K","-0.19%"
"14-10-2024","336.60","338.00","339.85","335.25","592.06K","-0.25%"
"11-10-2024","337.45","336.80","339.45","334.20","718.03K","0.24%"
"10-10-2024","336.65","338.10","339.60","335.00","748.05K","0.07%"
"09-10-2024","336.40","341.50","343.75","335.50","856.56K","-0.80%"
"08-10-2024","339.10","331.10","340.50","329.35","1.32M","2.40%"
"07-10-2024","331.15","345.55","346.50","328.00","2.04M","-1.58%"
"04-10-2024","336.45","341.95","343.00","335.00","1.38M","-1.09%"
"03-10-2024","340.15","345.50","347.45","338.55","1.55M","-2.56%"
"01-10-2024","349.10","350.00","355.75","347.80","1.53M","0.23%"
"30-09-2024","348.30","344.30","350.45","340.65","1.56M","1.24%"
"27-09-2024","344.05","347.05","351.50","343.05","1.08M","-0.46%"
"26-09-2024","345.65","347.00","347.50","343.00","903.38K","0.10%"
"25-09-2024","345.30","350.00","350.80","342.30","1.11M","-1.24%"
"24-09-2024","349.65","353.00","355.60","349.25","1.03M","-0.48%"
"23-09-2024","351.35","349.00","355.40","348.40","1.49M","1.49%"
"20-09-2024","346.20","346.00","352.00","344.70","1.69M","0.44%"
"19-09-2024","344.70","355.00","357.40","341.40","1.95M","-2.50%"
"18-09-2024","353.55","357.85","360.30","352.50","1.62M","-1.22%"
"17-09-2024","357.90","365.20","365.40","356.80","1.77M","-2.11%"
