"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","3,053.25","2,925.00","3,069.95","2,920.95","1.42M","4.72%"
"05-11-2024","2,915.55","2,897.40","2,924.00","2,870.00","752.30K","0.63%"
"04-11-2024","2,897.40","2,935.00","2,943.00","2,857.75","1.06M","-1.77%"
"01-11-2024","2,949.50","2,960.00","2,975.60","2,928.40","304.67K","0.08%"
"31-10-2024","2,947.25","2,967.90","2,976.50","2,933.85","1.16M","-0.74%"
"30-10-2024","2,969.30","2,864.00","2,997.15","2,815.05","2.88M","4.24%"
"29-10-2024","2,848.60","2,803.00","2,863.05","2,732.85","1.53M","1.78%"
"28-10-2024","2,798.65","2,701.10","2,822.40","2,672.10","1.39M","3.91%"
"25-10-2024","2,693.45","2,845.00","2,847.00","2,654.70","1.95M","-4.83%"
"24-10-2024","2,830.20","2,841.05","2,875.15","2,807.90","942.07K","-0.19%"
"23-10-2024","2,835.55","2,840.85","2,879.00","2,820.10","1.27M","0.42%"
"22-10-2024","2,823.80","2,938.00","2,955.00","2,818.00","1.21M","-3.88%"
"21-10-2024","2,937.65","3,005.15","3,014.95","2,916.95","1.05M","-2.14%"
"18-10-2024","3,002.00","2,990.00","3,031.70","2,968.10","796.34K","-0.39%"
"17-10-2024","3,013.75","3,089.95","3,100.00","2,993.00","2.66M","-2.34%"
"16-10-2024","3,085.90","3,098.00","3,115.40","3,061.00","543.48K","-0.61%"
"15-10-2024","3,104.70","3,124.00","3,128.00","3,091.50","371.61K","0.12%"
"14-10-2024","3,101.10","3,145.00","3,150.10","3,092.85","437.73K","-1.15%"
"11-10-2024","3,137.20","3,174.20","3,190.00","3,116.00","1.04M","-1.17%"
"10-10-2024","3,174.20","3,140.00","3,211.00","3,056.10","2.91M","0.65%"
"09-10-2024","3,153.75","3,175.00","3,179.95","3,134.40","897.34K","-0.22%"
"08-10-2024","3,160.70","3,018.50","3,170.00","2,994.85","1.78M","4.73%"
"07-10-2024","3,018.00","3,110.65","3,128.50","2,980.45","1.74M","-2.98%"
"04-10-2024","3,110.65","3,119.90","3,149.50","3,070.00","987.58K","-0.17%"
"03-10-2024","3,116.00","3,150.00","3,196.35","3,084.10","1.31M","-2.20%"
"01-10-2024","3,186.10","3,136.30","3,192.00","3,107.00","1.37M","1.60%"
"30-09-2024","3,135.85","3,129.00","3,209.90","3,120.40","1.61M","0.18%"
"27-09-2024","3,130.30","3,122.00","3,179.00","3,116.00","2.30M","0.24%"
"26-09-2024","3,122.65","3,085.00","3,148.00","3,085.00","1.55M","0.57%"
"25-09-2024","3,105.10","3,108.00","3,123.90","3,080.20","913.01K","0.36%"
"24-09-2024","3,093.90","3,055.00","3,101.00","3,040.25","1.02M","1.64%"
"23-09-2024","3,043.95","3,020.00","3,070.00","3,015.25","897.31K","1.18%"
"20-09-2024","3,008.50","2,948.15","3,025.00","2,942.05","1.79M","2.22%"
"19-09-2024","2,943.15","2,975.05","2,975.25","2,890.35","1.66M","-0.44%"
"18-09-2024","2,956.30","2,976.00","2,984.75","2,935.00","831.89K","-0.64%"
"17-09-2024","2,975.20","2,990.05","2,995.90","2,952.50","698.70K","-0.32%"
"16-09-2024","2,984.90","2,972.00","3,026.40","2,972.00","695.16K","0.56%"
"13-09-2024","2,968.35","2,972.00","3,001.95","2,956.05","815.95K","-0.76%"
"12-09-2024","2,991.00","2,950.00","3,000.00","2,917.15","1.31M","1.81%"
"11-09-2024","2,937.85","2,985.00","2,992.95","2,928.00","888.63K","-1.63%"
"10-09-2024","2,986.40","2,971.60","3,007.40","2,947.60","803.78K","0.75%"
"09-09-2024","2,964.15","2,972.10","2,972.50","2,927.30","1.52M","-0.38%"
"06-09-2024","2,975.45","3,019.00","3,025.00","2,968.00","1.25M","-1.32%"
"05-09-2024","3,015.35","3,025.00","3,037.90","3,002.00","734.27K","0.10%"
"04-09-2024","3,012.35","3,010.00","3,025.00","2,955.20","1.21M","-0.78%"
"03-09-2024","3,036.10","3,037.00","3,053.05","3,023.80","1.37M","-0.20%"
"02-09-2024","3,042.15","3,021.10","3,059.15","2,997.60","1.84M","0.76%"
"30-08-2024","3,019.35","3,030.00","3,038.55","3,003.30","3.51M","-0.03%"
"29-08-2024","3,020.15","3,030.00","3,041.95","2,981.30","1.85M","-0.26%"
"28-08-2024","3,028.00","3,078.00","3,078.00","3,022.10","1.57M","-1.27%"
"27-08-2024","3,067.10","3,072.20","3,095.75","3,064.00","1.31M","-0.06%"
"26-08-2024","3,069.00","3,088.00","3,090.00","3,055.00","1.63M","-0.24%"
