"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","299.60","304.40","305.65","297.95","4.46M","-0.89%"
"05-11-2024","302.30","300.20","303.50","298.20","2.24M","0.72%"
"04-11-2024","300.15","316.00","316.20","297.15","4.51M","-4.43%"
"01-11-2024","314.05","310.00","317.90","310.00","2.02M","1.91%"
"31-10-2024","308.15","306.10","309.90","303.00","2.63M","0.49%"
"30-10-2024","306.65","306.05","312.50","302.10","2.73M","0.20%"
"29-10-2024","306.05","305.40","307.75","298.75","1.19M","0.21%"
"28-10-2024","305.40","300.30","308.00","296.95","2.18M","1.70%"
"25-10-2024","300.30","309.00","309.90","294.15","4.08M","-2.50%"
"24-10-2024","308.00","312.10","316.20","307.25","1.50M","-1.47%"
"23-10-2024","312.60","310.80","317.60","305.55","3.30M","1.61%"
"22-10-2024","307.65","324.95","327.00","306.50","3.75M","-5.10%"
"21-10-2024","324.20","335.10","335.75","323.00","1.66M","-2.95%"
"18-10-2024","334.05","330.90","335.85","323.05","1.40M","1.01%"
"17-10-2024","330.70","345.70","345.70","330.00","2.63M","-3.71%"
"16-10-2024","343.45","348.30","351.50","342.45","1.52M","-1.51%"
"15-10-2024","348.70","347.05","353.55","343.05","3.75M","0.65%"
"14-10-2024","346.45","341.40","350.80","338.15","3.45M","1.82%"
"11-10-2024","340.25","339.50","344.70","339.00","2.72M","0.84%"
"10-10-2024","337.40","343.00","343.75","337.00","1.46M","-1.11%"
"09-10-2024","341.20","333.65","346.80","331.95","3.74M","2.26%"
"08-10-2024","333.65","323.30","334.85","318.80","3.05M","3.33%"
"07-10-2024","322.90","334.45","335.00","321.00","3.43M","-3.03%"
