"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","1,698.70","1,649.90","1,711.20","1,638.40","651.11K","3.31%"
"05-11-2024","1,644.25","1,600.00","1,644.25","1,644.25","379.96K","2.00%"
"04-11-2024","1,611.95","1,625.00","1,630.00","1,606.30","388.29K","-1.27%"
"01-11-2024","1,632.65","1,620.00","1,639.55","1,614.45","132.41K","2.15%"
"31-10-2024","1,598.30","1,642.10","1,664.00","1,591.95","716.98K","-2.20%"
"30-10-2024","1,634.20","1,615.00","1,653.75","1,596.65","713.38K","-0.06%"
"29-10-2024","1,635.10","1,612.00","1,641.00","1,588.00","540.22K","1.36%"
"28-10-2024","1,613.15","1,644.00","1,661.70","1,588.55","850.38K","-1.88%"
"25-10-2024","1,644.00","1,700.00","1,718.90","1,625.00","707.63K","-2.86%"
"24-10-2024","1,692.40","1,691.00","1,710.85","1,681.00","472.96K","-0.57%"
"23-10-2024","1,702.10","1,684.45","1,725.00","1,627.85","1.50M","1.05%"
"22-10-2024","1,684.45","1,732.00","1,747.40","1,668.25","809.41K","-1.54%"
"21-10-2024","1,710.80","1,741.00","1,753.00","1,705.00","298.22K","-1.45%"
"18-10-2024","1,736.05","1,735.00","1,745.50","1,703.00","410.95K","0.14%"
"17-10-2024","1,733.55","1,750.05","1,767.70","1,719.00","355.96K","-1.00%"
"16-10-2024","1,751.05","1,760.00","1,774.20","1,740.55","377.38K","-0.68%"
"15-10-2024","1,763.00","1,777.00","1,783.90","1,750.00","335.44K","-0.70%"
"14-10-2024","1,775.35","1,793.00","1,804.35","1,765.05","369.97K","-0.94%"
"11-10-2024","1,792.20","1,782.00","1,807.00","1,767.00","475.44K","0.66%"
"10-10-2024","1,780.50","1,804.70","1,804.70","1,758.20","595.69K","-0.22%"
"09-10-2024","1,784.45","1,827.00","1,833.95","1,779.45","542.96K","-1.62%"
"08-10-2024","1,813.85","1,751.00","1,822.00","1,725.55","752.39K","3.50%"
"07-10-2024","1,752.45","1,801.15","1,815.10","1,735.00","694.90K","-2.71%"
"04-10-2024","1,801.20","1,811.90","1,835.00","1,780.00","883.17K","-0.37%"
"03-10-2024","1,807.80","1,865.00","1,868.60","1,775.75","1.69M","-4.09%"
"01-10-2024","1,884.95","1,915.55","1,929.55","1,880.00","798.10K","-0.93%"
"30-09-2024","1,902.70","1,985.00","1,988.45","1,891.90","1.37M","-3.99%"
"27-09-2024","1,981.85","2,060.00","2,084.30","1,963.75","2.30M","-3.69%"
"26-09-2024","2,057.85","2,080.00","2,091.00","2,039.20","804.17K","-0.43%"
"25-09-2024","2,066.75","2,079.00","2,087.75","2,027.10","1.11M","-0.18%"
"24-09-2024","2,070.55","2,037.60","2,079.65","2,023.70","2.24M","1.94%"
"23-09-2024","2,031.20","2,028.95","2,042.90","1,963.05","3.98M","1.36%"
"20-09-2024","2,003.95","1,962.95","2,019.95","1,947.00","5.66M","2.09%"
"19-09-2024","1,962.95","1,941.00","1,968.35","1,905.80","4.63M","0.62%"
"18-09-2024","1,950.80","1,940.00","1,965.00","1,925.10","2.91M","-0.18%"
"17-09-2024","1,954.40","1,930.80","1,978.00","1,886.00","4.39M","1.22%"
