"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","206.48","202.00","206.80","202.00","3.84M","2.22%"
"05-11-2024","201.99","198.91","202.48","197.00","5.35M","1.45%"
"04-11-2024","199.10","206.20","207.19","197.69","8.15M","-3.41%"
"01-11-2024","206.13","205.00","208.80","204.16","3.22M","1.43%"
"31-10-2024","203.23","216.26","217.50","201.00","23.49M","-5.64%"
"30-10-2024","215.37","205.87","218.81","203.99","29.30M","5.31%"
"29-10-2024","204.51","203.00","205.92","199.44","13.23M","0.81%"
"28-10-2024","202.86","204.11","205.53","201.20","7.89M","-0.02%"
"25-10-2024","202.91","212.01","212.63","200.61","7.65M","-4.49%"
"24-10-2024","212.45","211.69","214.60","210.28","2.39M","0.67%"
"23-10-2024","211.04","208.00","214.19","205.97","2.32M","1.67%"
"22-10-2024","207.57","214.90","216.70","206.35","3.16M","-3.79%"
"21-10-2024","215.75","222.90","223.05","214.92","2.12M","-2.85%"
"18-10-2024","222.08","216.55","223.02","213.35","3.54M","1.64%"
"17-10-2024","218.49","226.70","227.54","217.48","3.37M","-3.34%"
"16-10-2024","226.05","225.55","227.64","224.67","2.36M","0.09%"
"15-10-2024","225.85","225.31","228.10","223.02","4.02M","0.79%"
"14-10-2024","224.08","220.84","225.65","220.51","2.01M","1.47%"
"11-10-2024","220.84","224.00","224.52","219.24","2.57M","-1.58%"
"10-10-2024","224.39","226.19","227.50","223.30","3.35M","-0.54%"
"09-10-2024","225.61","226.70","227.68","223.00","4.61M","0.80%"
"08-10-2024","223.83","225.00","227.35","221.60","3.65M","-0.59%"
"07-10-2024","225.16","227.82","233.57","222.20","4.98M","-1.17%"
