"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","805.00","808.00","812.90","800.00","93.07K","0.39%"
"05-11-2024","801.90","825.00","828.15","792.80","266.42K","-3.18%"
"04-11-2024","828.20","804.40","832.95","799.00","517.00K","2.48%"
"01-11-2024","808.15","810.00","818.55","793.00","81.96K","0.94%"
"31-10-2024","800.60","789.15","805.00","784.90","335.19K","1.46%"
"30-10-2024","789.05","774.95","793.35","767.80","186.87K","1.97%"
"29-10-2024","773.80","760.00","784.30","751.00","816.11K","4.60%"
"28-10-2024","739.80","734.95","749.90","723.65","738.90K","-1.02%"
"25-10-2024","747.45","753.55","754.00","726.40","199.12K","-0.11%"
"24-10-2024","748.30","746.55","755.80","734.30","120.54K","0.96%"
"23-10-2024","741.20","733.70","752.00","724.50","241.40K","1.02%"
"22-10-2024","733.75","745.95","758.95","716.60","353.15K","-1.44%"
"21-10-2024","744.45","725.75","754.95","711.35","645.08K","2.65%"
"18-10-2024","725.25","732.05","734.90","720.05","184.41K","-0.81%"
"17-10-2024","731.20","722.15","739.00","715.20","246.56K","1.25%"
"16-10-2024","722.15","723.05","728.90","702.10","467.99K","-0.74%"
"15-10-2024","727.50","675.50","735.00","675.10","1.35M","7.71%"
"14-10-2024","675.45","680.05","686.95","674.00","95.16K","-1.11%"
"11-10-2024","683.00","691.70","698.45","675.00","164.82K","-1.27%"
"10-10-2024","691.80","699.80","706.00","688.45","118.87K","-1.14%"
"09-10-2024","699.80","688.05","729.90","684.80","575.96K","2.33%"
"08-10-2024","683.85","679.15","692.35","647.80","391.43K","0.69%"
"07-10-2024","679.15","729.60","729.60","675.00","270.28K","-6.27%"
"04-10-2024","724.55","730.00","737.15","718.35","109.52K","-1.39%"
"03-10-2024","734.75","735.00","751.30","731.25","251.36K","-3.89%"
"01-10-2024","764.50","764.90","782.00","747.20","216.72K","0.07%"
"30-09-2024","763.95","730.00","766.40","716.85","384.83K","3.40%"
"27-09-2024","738.85","764.00","764.00","735.50","204.77K","-1.26%"
"26-09-2024","748.25","750.00","753.40","740.90","71.99K","-0.31%"
"25-09-2024","750.55","758.00","759.95","745.00","64.69K","-0.71%"
"24-09-2024","755.95","771.95","772.90","753.00","159.71K","-1.36%"
"23-09-2024","766.35","744.00","775.20","744.00","318.99K","2.76%"
"20-09-2024","745.80","771.90","775.15","741.00","322.37K","-3.13%"
"19-09-2024","769.90","775.75","782.00","760.55","146.08K","-0.18%"
"18-09-2024","771.25","786.85","789.00","760.00","399.05K","-1.98%"
"17-09-2024","786.80","804.50","808.25","782.05","111.67K","-1.94%"
"16-09-2024","802.40","808.40","815.00","797.10","123.64K","0.06%"
"13-09-2024","801.95","843.45","844.00","799.00","236.56K","-4.19%"
"12-09-2024","837.05","851.00","855.25","826.00","180.62K","-1.55%"
"11-09-2024","850.20","859.50","859.50","833.00","269.09K","-0.09%"
"10-09-2024","850.95","830.35","857.00","829.80","168.57K","3.45%"
"09-09-2024","822.55","817.00","829.50","805.95","172.30K","0.68%"
"06-09-2024","817.00","845.25","868.00","812.00","318.55K","-3.85%"
"05-09-2024","849.75","856.00","858.90","840.55","221.74K","0.17%"
"04-09-2024","848.35","839.00","857.95","827.80","455.80K","1.43%"
"03-09-2024","836.35","815.00","842.00","804.10","815.69K","4.08%"
"02-09-2024","803.60","764.00","813.45","760.00","1.17M","6.78%"
"30-08-2024","752.60","752.00","765.00","743.30","208.94K","0.36%"
"29-08-2024","749.90","759.05","762.65","735.25","550.98K","-1.21%"
"28-08-2024","759.05","758.55","783.40","753.00","236.14K","0.07%"
"27-08-2024","758.55","774.95","776.25","752.25","259.50K","-1.91%"
"26-08-2024","773.30","803.00","803.00","770.10","131.94K","-3.06%"
"23-08-2024","797.70","807.50","807.50","795.35","739.42K","-1.40%"
"22-08-2024","809.05","797.00","822.40","795.00","768.90K","1.32%"
"21-08-2024","798.50","824.00","836.80","793.50","485.52K","-2.33%"
"20-08-2024","817.55","785.00","820.95","776.05","1.91M","4.75%"
"19-08-2024","780.45","755.25","783.00","752.20","181.40K","4.09%"
"16-08-2024","749.75","752.00","761.00","735.40","226.85K","-0.08%"
"14-08-2024","750.35","756.30","774.80","746.30","135.59K","0.05%"
"13-08-2024","749.95","753.15","774.00","740.60","165.60K","0.29%"
"12-08-2024","747.75","750.00","756.55","743.55","91.37K","-0.47%"
"09-08-2024","751.25","747.30","762.00","737.45","226.40K","2.78%"
"08-08-2024","730.95","738.85","739.05","722.50","344.28K","-0.33%"
"07-08-2024","733.40","740.60","740.65","726.05","568.93K","-0.14%"
"06-08-2024","734.45","744.80","766.95","724.00","739.11K","-0.53%"
"05-08-2024","738.35","729.90","768.00","712.00","783.54K","0.41%"
"02-08-2024","735.35","768.60","769.95","732.00","391.26K","-4.33%"
"01-08-2024","768.60","830.00","840.25","765.25","529.02K","-7.35%"
"31-07-2024","829.60","863.10","871.20","825.00","377.55K","-5.80%"
"30-07-2024","880.70","889.50","889.50","876.15","321.99K","-0.39%"
"29-07-2024","884.15","894.30","916.25","877.00","145.46K","-1.13%"
"26-07-2024","894.30","879.80","899.95","871.60","292.68K","1.02%"
"25-07-2024","885.30","879.95","896.60","869.95","353.40K","1.18%"
"24-07-2024","874.95","835.00","880.00","835.00","285.51K","4.88%"
"23-07-2024","834.20","852.00","852.00","811.00","292.09K","-1.42%"
"22-07-2024","846.20","839.05","851.75","824.15","137.63K","-0.96%"
"19-07-2024","854.40","883.90","883.90","831.05","308.92K","-3.53%"
"18-07-2024","885.65","904.60","904.60","880.00","182.05K","-1.31%"
"16-07-2024","897.45","854.00","900.00","854.00","356.23K","3.55%"
"15-07-2024","866.65","852.95","880.00","822.00","1.11M","2.46%"
"12-07-2024","845.85","888.30","897.20","840.00","2.20M","-3.95%"
"11-07-2024","880.65","916.20","919.65","860.05","398.30K","-3.15%"
"10-07-2024","909.30","940.10","946.45","903.70","520.74K","-2.97%"
"09-07-2024","937.10","926.75","970.00","926.75","450.96K","1.12%"
"08-07-2024","926.75","927.95","937.50","895.30","388.47K","0.52%"
"05-07-2024","922.00","890.05","925.00","885.60","466.70K","3.50%"
"04-07-2024","890.80","872.60","900.00","867.00","375.97K","2.83%"
"03-07-2024","866.30","859.30","871.90","845.95","314.12K","1.55%"
"02-07-2024","853.05","859.95","872.50","844.30","243.51K","-0.24%"
"01-07-2024","855.10","878.00","884.50","848.05","402.11K","-2.03%"
"28-06-2024","872.85","870.00","914.00","865.00","1.36M","2.20%"
"27-06-2024","854.10","830.75","876.00","830.75","731.04K","3.22%"
"26-06-2024","827.45","816.05","857.30","812.50","575.79K","0.74%"
"25-06-2024","821.40","810.60","847.40","810.60","765.00K","1.99%"
"24-06-2024","805.40","800.00","825.00","761.20","904.63K","-0.15%"
"21-06-2024","806.60","821.25","827.15","802.00","223.82K","-1.47%"
"20-06-2024","818.60","805.85","844.95","805.85","508.89K","1.76%"
"19-06-2024","804.45","840.00","840.00","791.00","632.59K","-3.47%"
"18-06-2024","833.40","828.70","845.00","820.00","659.47K","2.05%"
"14-06-2024","816.65","839.00","839.50","814.00","736.33K","-2.91%"
"13-06-2024","841.10","774.95","887.65","767.15","4.97M","9.68%"
"12-06-2024","766.90","762.55","775.85","756.00","257.86K","-0.54%"
"11-06-2024","771.10","760.00","797.30","751.05","897.86K","1.37%"
"10-06-2024","760.65","780.00","786.00","745.25","1.03M","-2.21%"
"07-06-2024","777.85","795.30","869.50","766.45","2.96M","-1.68%"
"06-06-2024","791.15","730.00","833.00","720.30","4.23M","12.15%"
"05-06-2024","705.45","700.00","730.10","664.75","1.12M","0.39%"
"04-06-2024","702.70","718.95","719.40","625.00","1.34M","-2.26%"
"03-06-2024","718.95","723.00","734.95","702.40","755.26K","1.71%"
"31-05-2024","706.85","702.70","723.65","681.75","1.73M","0.84%"
"30-05-2024","700.95","740.10","753.30","695.00","1.39M","-4.55%"
"29-05-2024","734.40","747.55","770.00","710.60","1.33M","-2.67%"
"28-05-2024","754.55","738.00","781.00","718.10","3.41M","1.33%"
"27-05-2024","744.65","736.75","774.80","690.60","6.91M","4.84%"
"24-05-2024","710.25","630.00","747.00","618.10","5.08M","12.72%"
"23-05-2024","630.10","634.00","649.00","625.35","719.37K","-0.66%"
"22-05-2024","634.30","658.75","659.20","626.70","535.99K","-2.85%"
"21-05-2024","652.90","636.25","663.00","621.05","1.41M","3.49%"
"18-05-2024","630.90","604.85","631.40","601.55","248.26K","4.91%"
"17-05-2024","601.35","600.00","613.75","595.05","549.64K","0.68%"
"16-05-2024","597.30","599.85","617.10","594.55","463.97K","0.58%"
"15-05-2024","593.85","604.40","623.20","587.00","394.19K","-0.69%"
"14-05-2024","598.00","598.95","609.30","590.05","710.71K","0.15%"
"13-05-2024","597.10","604.60","607.50","587.45","415.56K","-0.25%"
"10-05-2024","598.60","578.90","606.15","578.30","1.11M","3.40%"
"09-05-2024","578.90","590.40","604.20","573.15","2.01M","-2.44%"
"08-05-2024","593.35","596.15","602.00","588.25","153.29K","-1.42%"
"07-05-2024","601.90","604.90","615.00","593.00","789.49K","-0.50%"
"06-05-2024","604.90","632.00","633.90","599.00","651.46K","-3.62%"
"03-05-2024","627.60","657.45","658.00","618.20","978.82K","-3.04%"
"02-05-2024","647.30","681.00","692.05","635.40","1.89M","-5.81%"
"30-04-2024","687.20","697.00","698.00","667.50","1.52M","-1.29%"
"29-04-2024","696.15","636.00","707.45","629.95","10.32M","9.52%"
"26-04-2024","635.65","598.90","643.00","594.35","4.07M","5.92%"
"25-04-2024","600.15","595.95","606.00","585.00","2.00M","-0.72%"
"24-04-2024","604.50","535.90","610.00","518.65","13.17M","12.41%"
"23-04-2024","537.75","513.95","541.80","507.20","1.45M","5.22%"
"22-04-2024","511.05","500.50","513.50","490.05","1.07M","3.34%"
"19-04-2024","494.55","500.05","513.90","490.70","1.22M","-1.87%"
"18-04-2024","503.95","527.00","553.95","497.10","2.87M","-4.18%"
"16-04-2024","525.95","485.05","533.00","485.05","8.74M","7.90%"
"15-04-2024","487.45","472.50","500.90","451.00","3.30M","1.50%"
"12-04-2024","480.25","463.35","485.00","456.05","2.40M","3.65%"
"10-04-2024","463.35","440.00","472.00","438.05","4.46M","5.32%"
"09-04-2024","439.95","435.00","446.10","433.00","573.33K","1.41%"
"08-04-2024","433.85","439.40","440.40","431.40","251.82K","0.01%"
"05-04-2024","433.80","442.80","445.00","432.00","290.11K","-1.21%"
"04-04-2024","439.10","437.95","445.95","435.10","807.25K","1.36%"
"03-04-2024","433.20","433.95","435.00","429.75","388.87K","0.48%"
"02-04-2024","431.15","438.45","446.60","429.70","760.05K","-0.99%"
"01-04-2024","435.45","450.00","450.00","432.00","1.87M","-2.51%"
"28-03-2024","446.65","396.90","455.00","394.70","9.62M","13.18%"
"27-03-2024","394.65","391.85","410.95","390.40","1.09M","0.79%"
"26-03-2024","391.55","389.75","397.00","385.00","213.64K","0.50%"
"22-03-2024","389.60","391.90","398.60","385.15","336.70K","-0.29%"
"21-03-2024","390.75","398.85","406.95","388.15","310.47K","-1.69%"
"20-03-2024","397.45","391.50","398.70","385.00","408.03K","2.57%"
"19-03-2024","387.50","399.15","400.95","383.60","465.10K","-2.37%"
"18-03-2024","396.90","383.95","399.00","383.00","1.36M","4.10%"
"15-03-2024","381.25","374.00","383.65","366.60","881.52K","2.79%"
"14-03-2024","370.90","362.95","379.40","362.95","965.65K","2.26%"
"13-03-2024","362.70","400.00","403.80","357.05","1.47M","-9.30%"
"12-03-2024","399.90","406.05","409.70","395.05","645.69K","-0.95%"
"11-03-2024","403.75","434.80","435.90","400.40","1.03M","-6.91%"
"07-03-2024","433.70","438.95","454.80","430.15","999.16K","-1.57%"
"06-03-2024","440.60","435.85","448.90","416.00","769.68K","1.49%"
"05-03-2024","434.15","432.40","440.10","428.95","246.59K","0.40%"
"04-03-2024","432.40","440.40","442.95","427.95","318.60K","-1.82%"
"02-03-2024","440.40","438.20","443.00","437.00","35.09K","0.93%"
"01-03-2024","436.35","442.95","451.25","429.50","408.42K","-0.80%"
"29-02-2024","439.85","438.90","445.60","431.20","532.44K","-0.82%"
"28-02-2024","443.50","420.00","451.00","420.00","2.07M","6.39%"
"27-02-2024","416.85","421.00","428.85","415.05","358.60K","-2.22%"
"26-02-2024","426.30","445.00","451.15","420.00","446.06K","-3.95%"
"23-02-2024","443.85","447.90","454.00","441.00","185.82K","-0.84%"
"22-02-2024","447.60","452.95","456.20","440.05","266.94K","-1.18%"
"21-02-2024","452.95","467.30","470.10","441.00","769.15K","-2.69%"
"20-02-2024","465.45","465.00","471.50","454.65","1.48M","-0.59%"
"19-02-2024","468.20","436.55","471.90","429.75","3.87M","7.34%"
"16-02-2024","436.20","441.00","468.65","429.00","7.70M","2.23%"
"15-02-2024","426.70","392.00","431.80","392.00","4.74M","8.87%"
"14-02-2024","391.95","391.10","397.00","383.10","754.47K","-1.74%"
"13-02-2024","398.90","361.10","404.00","361.10","4.12M","9.12%"
"12-02-2024","365.55","374.95","382.35","363.05","319.27K","-2.22%"
"09-02-2024","373.85","381.65","383.55","364.60","381.58K","-1.75%"
"08-02-2024","380.50","377.25","385.95","372.60","351.06K","1.17%"
"07-02-2024","376.10","381.05","388.25","374.60","431.90K","-2.95%"
"06-02-2024","387.55","399.25","407.70","381.35","659.75K","-2.10%"
