"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","1,639.60","1,570.70","1,643.95","1,566.00","449.68K","4.91%"
"05-11-2024","1,562.85","1,562.65","1,562.85","1,562.85","97.73K","0.01%"
"04-11-2024","1,562.65","1,517.15","1,568.70","1,503.05","266.61K","2.67%"
"01-11-2024","1,522.00","1,545.00","1,589.90","1,501.00","83.67K","-0.99%"
"31-10-2024","1,537.25","1,509.95","1,542.00","1,489.05","224.17K","1.86%"
"30-10-2024","1,509.25","1,490.60","1,518.10","1,476.00","137.79K","1.69%"
"29-10-2024","1,484.15","1,460.40","1,498.50","1,435.05","126.08K","1.63%"
"28-10-2024","1,460.40","1,450.00","1,475.00","1,428.40","174.61K","-0.28%"
"25-10-2024","1,464.55","1,474.35","1,503.50","1,434.55","262.94K","-0.66%"
"24-10-2024","1,474.30","1,503.30","1,507.60","1,450.50","159.42K","-1.72%"
"23-10-2024","1,500.15","1,460.00","1,521.90","1,451.10","499.78K","1.72%"
"22-10-2024","1,474.85","1,497.00","1,508.95","1,457.65","319.79K","-1.52%"
"21-10-2024","1,497.65","1,568.15","1,569.85","1,476.25","293.12K","-4.39%"
"18-10-2024","1,566.45","1,573.00","1,581.00","1,537.50","105.21K","-0.95%"
"17-10-2024","1,581.55","1,594.40","1,599.00","1,556.10","153.69K","-0.04%"
"16-10-2024","1,582.25","1,608.60","1,608.60","1,575.40","106.47K","-1.14%"
"15-10-2024","1,600.55","1,624.00","1,644.00","1,592.00","206.91K","-0.58%"
"14-10-2024","1,609.85","1,645.00","1,660.00","1,601.00","263.74K","-0.59%"
"11-10-2024","1,619.40","1,620.50","1,625.00","1,582.60","122.25K","0.71%"
"10-10-2024","1,608.05","1,619.70","1,647.75","1,590.00","288.03K","-0.07%"
"09-10-2024","1,609.10","1,536.80","1,618.00","1,516.65","475.92K","5.75%"
"08-10-2024","1,521.60","1,505.00","1,529.00","1,473.05","122.57K","1.04%"
"07-10-2024","1,506.00","1,540.00","1,561.45","1,470.05","259.94K","-1.81%"
