"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","712.15","714.00","718.00","705.00","120.95K","0.47%"
"05-11-2024","708.85","717.00","727.30","707.00","105.90K","-1.79%"
"04-11-2024","721.80","754.00","754.00","715.95","185.87K","-3.95%"
"01-11-2024","751.45","756.40","763.80","735.10","55.70K","0.15%"
"31-10-2024","750.30","708.00","755.00","700.70","573.41K","6.60%"
"30-10-2024","703.85","686.00","708.80","686.00","51.02K","1.38%"
"29-10-2024","694.30","678.00","698.00","669.25","141.73K","1.83%"
"28-10-2024","681.85","678.00","685.55","657.65","81.63K","1.06%"
"25-10-2024","674.70","710.00","711.15","663.60","153.41K","-5.05%"
"24-10-2024","710.55","687.00","719.00","683.10","154.05K","2.21%"
"23-10-2024","695.20","682.00","701.75","663.70","112.04K","2.20%"
"22-10-2024","680.25","709.75","710.00","676.60","113.71K","-3.63%"
"21-10-2024","705.90","714.45","744.75","702.00","288.09K","-1.13%"
"18-10-2024","713.95","706.15","717.35","690.60","104.10K","0.26%"
"17-10-2024","712.10","745.00","750.55","705.55","172.13K","-3.65%"
"16-10-2024","739.10","731.20","754.00","721.40","258.05K","1.18%"
"15-10-2024","730.45","731.10","738.60","725.75","107.42K","0.29%"
"14-10-2024","728.35","740.00","743.30","721.60","81.91K","-0.97%"
"11-10-2024","735.50","744.00","748.30","723.25","128.01K","-1.19%"
"10-10-2024","744.35","744.00","758.30","741.60","68.78K","-0.06%"
"09-10-2024","744.80","759.00","761.65","726.95","132.37K","-0.61%"
"08-10-2024","749.40","731.80","757.85","726.40","248.90K","3.17%"
"07-10-2024","726.40","780.35","780.35","720.30","249.47K","-5.52%"
"04-10-2024","768.85","756.00","794.00","736.00","609.19K","2.21%"
"03-10-2024","752.20","754.50","767.80","742.50","177.71K","-2.77%"
"01-10-2024","773.60","795.00","808.80","768.50","385.57K","-2.01%"
"30-09-2024","789.45","762.50","796.00","753.55","358.35K","3.73%"
"27-09-2024","761.05","786.70","796.50","753.60","317.08K","-2.72%"
"26-09-2024","782.30","796.00","813.95","776.05","309.70K","-1.70%"
"25-09-2024","795.80","804.15","806.25","788.75","255.38K","-1.57%"
"24-09-2024","808.50","811.00","816.00","794.50","600.03K","-1.48%"
"23-09-2024","820.65","777.55","833.95","777.55","3.46M","5.54%"
"20-09-2024","777.55","718.80","797.45","712.15","6.31M","9.75%"
"19-09-2024","708.45","675.00","720.45","671.05","634.02K","5.17%"
"18-09-2024","673.60","668.20","686.05","664.00","95.21K","1.16%"
"17-09-2024","665.90","685.35","686.10","662.20","78.50K","-2.55%"
"16-09-2024","683.35","691.90","694.00","678.00","56.04K","-0.22%"
"13-09-2024","684.85","680.60","688.95","673.20","52.38K","0.94%"
"12-09-2024","678.45","691.75","693.00","675.05","81.46K","-1.84%"
"11-09-2024","691.15","714.00","719.20","686.00","295.26K","-2.03%"
"10-09-2024","705.45","712.00","721.60","694.10","430.87K","0.59%"
"09-09-2024","701.30","687.95","707.00","664.75","171.73K","2.20%"
"06-09-2024","686.20","684.00","696.00","674.15","126.35K","0.28%"
"05-09-2024","684.25","688.00","699.00","680.00","317.96K","0.88%"
"04-09-2024","678.30","656.50","688.00","652.00","597.15K","3.32%"
"03-09-2024","656.50","636.00","670.90","634.75","251.88K","3.75%"
"02-09-2024","632.75","635.00","643.95","625.30","86.09K","-0.24%"
"30-08-2024","634.30","646.00","646.00","628.00","71.36K","-1.17%"
"29-08-2024","641.80","640.25","648.80","632.00","75.34K","0.24%"
"28-08-2024","640.25","661.45","661.45","638.00","74.82K","-2.24%"
"27-08-2024","654.95","669.80","669.80","652.50","66.12K","-1.45%"
"26-08-2024","664.60","657.95","668.00","653.95","68.99K","1.84%"
"23-08-2024","652.60","655.00","660.00","648.00","77.31K","-0.59%"
"22-08-2024","656.50","660.00","666.00","654.00","81.23K","-0.08%"
"21-08-2024","657.05","650.00","658.40","645.00","63.65K","1.77%"
"20-08-2024","645.65","644.50","651.00","635.00","54.81K","0.18%"
"19-08-2024","644.50","646.00","646.00","634.00","63.53K","0.95%"
"16-08-2024","638.45","621.00","640.95","616.50","69.90K","4.06%"
"14-08-2024","613.55","622.00","622.00","607.95","40.62K","-0.46%"
"13-08-2024","616.40","636.55","636.55","615.60","41.20K","-2.48%"
"12-08-2024","632.05","631.00","640.00","630.15","49.94K","-0.72%"
"09-08-2024","636.65","644.65","647.95","635.00","30.16K","-0.75%"
"08-08-2024","641.45","646.00","656.30","638.00","93.92K","-0.12%"
"07-08-2024","642.25","631.70","645.95","621.50","106.92K","1.90%"
"06-08-2024","630.25","606.30","638.00","606.30","125.53K","3.33%"
"05-08-2024","609.95","638.00","638.00","607.00","129.34K","-4.88%"
"02-08-2024","641.25","648.05","653.90","639.45","70.70K","-2.37%"
"01-08-2024","656.80","662.00","678.00","652.95","123.70K","-1.44%"
"31-07-2024","666.40","680.50","680.50","651.15","321.50K","-1.16%"
"30-07-2024","674.20","686.00","686.00","670.00","77.66K","-0.63%"
"29-07-2024","678.45","694.00","705.00","675.55","132.95K","-0.59%"
"26-07-2024","682.45","675.00","698.80","670.00","140.04K","1.02%"
"25-07-2024","675.55","692.00","692.00","672.20","103.33K","-2.42%"
"24-07-2024","692.30","690.15","704.95","682.10","347.61K","-0.42%"
"23-07-2024","695.20","643.50","704.75","642.90","2.00M","8.03%"
"22-07-2024","643.50","614.00","661.40","608.00","391.50K","4.21%"
"19-07-2024","617.50","640.00","640.00","615.05","140.85K","-2.94%"
"18-07-2024","636.20","647.95","652.20","635.00","63.56K","-1.63%"
"16-07-2024","646.75","649.90","659.40","645.25","80.08K","-0.43%"
"15-07-2024","649.55","654.95","659.80","648.05","81.60K","-0.57%"
"12-07-2024","653.25","670.00","670.00","645.55","213.05K","-1.71%"
"11-07-2024","664.60","670.00","672.35","659.95","86.23K","0.05%"
"10-07-2024","664.25","678.70","681.45","654.00","108.22K","-1.77%"
"09-07-2024","676.20","677.95","694.00","672.00","124.42K","0.46%"
"08-07-2024","673.10","694.00","694.00","668.15","99.33K","-2.51%"
"05-07-2024","690.45","694.00","698.80","679.90","97.62K","0.28%"
"04-07-2024","688.50","701.00","706.45","683.00","127.78K","-1.61%"
"03-07-2024","699.75","688.20","701.50","679.10","287.36K","2.57%"
"02-07-2024","682.20","692.00","692.90","680.00","75.65K","-0.77%"
"01-07-2024","687.50","678.00","699.05","674.50","230.03K","2.46%"
"28-06-2024","671.00","670.10","684.80","667.65","97.45K","-0.81%"
"27-06-2024","676.50","691.40","697.00","672.50","176.21K","-1.18%"
"26-06-2024","684.55","707.50","708.25","681.60","185.04K","-2.40%"
"25-06-2024","701.40","715.00","722.00","697.00","246.22K","-1.05%"
"24-06-2024","708.85","680.00","718.00","679.95","1.14M","4.57%"
"21-06-2024","677.90","677.00","689.95","672.95","278.02K","0.10%"
"20-06-2024","677.25","672.00","685.00","660.55","252.03K","1.16%"
"19-06-2024","669.50","679.00","690.00","654.00","817.67K","-0.01%"
"18-06-2024","669.55","625.55","673.45","620.00","1.88M","7.97%"
"14-06-2024","620.10","622.55","628.30","615.65","115.32K","0.49%"
"13-06-2024","617.05","619.90","623.00","609.85","86.72K","-0.06%"
"12-06-2024","617.40","624.00","624.05","614.00","76.36K","0.11%"
"11-06-2024","616.70","605.00","633.95","603.00","364.72K","1.93%"
"10-06-2024","605.00","605.75","612.45","602.10","54.73K","0.51%"
"07-06-2024","601.95","598.00","615.40","592.55","96.17K","1.60%"
"06-06-2024","592.45","582.00","600.90","582.00","73.66K","2.07%"
"05-06-2024","580.45","582.00","585.00","557.90","69.20K","0.89%"
"04-06-2024","575.35","594.35","596.95","540.00","130.38K","-3.20%"
"03-06-2024","594.35","598.00","598.00","582.10","90.83K","1.06%"
"31-05-2024","588.10","592.90","604.20","582.35","78.61K","-0.55%"
"30-05-2024","591.35","588.50","599.95","584.50","81.81K","0.48%"
"29-05-2024","588.50","578.70","590.30","576.70","39.31K","0.99%"
"28-05-2024","582.75","590.00","595.95","575.90","62.87K","-1.69%"
"27-05-2024","592.75","604.15","609.45","591.00","68.84K","-1.89%"
"24-05-2024","604.15","592.50","621.90","591.00","105.37K","1.97%"
"23-05-2024","592.50","594.00","598.85","591.15","41.78K","-0.44%"
"22-05-2024","595.10","594.00","602.30","591.05","43.32K","-0.60%"
"21-05-2024","598.70","607.00","610.00","596.10","54.90K","-1.06%"
"18-05-2024","605.10","606.90","621.95","596.95","31.22K","-0.43%"
"17-05-2024","607.70","606.35","614.00","602.85","68.77K","0.24%"
"16-05-2024","606.25","614.90","620.00","600.75","88.84K","-1.21%"
"15-05-2024","613.70","605.00","627.00","594.95","414.03K","1.75%"
"14-05-2024","603.15","592.00","611.00","590.00","143.32K","2.48%"
"13-05-2024","588.55","613.70","613.70","584.10","179.84K","-3.22%"
"10-05-2024","608.15","617.50","618.95","602.85","193.67K","-0.95%"
"09-05-2024","614.00","635.70","645.00","606.25","236.60K","-2.33%"
"08-05-2024","628.65","621.85","638.00","613.40","167.98K","0.88%"
"07-05-2024","623.15","646.00","647.10","621.00","338.34K","-2.66%"
"06-05-2024","640.20","600.10","660.00","599.30","2.64M","6.17%"
"03-05-2024","603.00","610.00","611.30","596.90","72.70K","-0.50%"
"02-05-2024","606.05","598.05","610.00","597.85","71.50K","0.73%"
"30-04-2024","601.65","604.45","609.45","595.00","93.64K","-0.46%"
"29-04-2024","604.45","611.00","617.95","601.25","88.20K","-0.41%"
"26-04-2024","606.95","603.45","611.25","594.45","145.14K","1.45%"
"25-04-2024","598.25","603.50","606.40","593.70","69.98K","-0.87%"
"24-04-2024","603.50","610.90","618.70","600.50","283.88K","-0.06%"
"23-04-2024","603.85","578.95","614.95","573.20","249.64K","4.54%"
"22-04-2024","577.65","579.85","584.85","571.50","52.41K","0.37%"
"19-04-2024","575.50","575.35","580.00","562.80","70.91K","0.03%"
"18-04-2024","575.35","586.85","590.90","573.05","61.42K","-1.67%"
"16-04-2024","585.10","585.80","592.00","581.80","73.83K","-0.31%"
"15-04-2024","586.90","575.10","596.55","566.15","136.36K","-0.14%"
"12-04-2024","587.75","597.85","601.65","585.00","91.25K","-1.98%"
"10-04-2024","599.60","597.50","603.00","589.00","129.36K","0.87%"
"09-04-2024","594.45","599.00","611.10","590.15","155.51K","-0.76%"
"08-04-2024","599.00","599.40","605.40","587.55","185.49K","0.58%"
"05-04-2024","595.55","573.00","617.00","572.45","3.80M","4.92%"
"04-04-2024","567.60","555.00","575.00","555.00","199.67K","1.49%"
"03-04-2024","559.25","564.65","564.65","555.00","57.95K","-0.67%"
"02-04-2024","563.00","550.00","572.70","550.00","204.70K","1.78%"
"01-04-2024","553.15","540.00","558.85","538.05","111.87K","3.13%"
"28-03-2024","536.35","533.00","543.40","531.75","96.74K","0.47%"
"27-03-2024","533.85","529.45","540.00","529.45","155.37K","0.95%"
"26-03-2024","528.80","533.00","540.00","524.75","100.72K","-0.38%"
"22-03-2024","530.80","520.45","533.90","515.50","61.86K","1.99%"
"21-03-2024","520.45","513.55","526.00","513.55","77.99K","1.81%"
"20-03-2024","511.20","516.25","520.30","508.60","288.94K","-0.98%"
"19-03-2024","516.25","506.50","523.45","501.55","445.10K","1.92%"
"18-03-2024","506.50","509.00","515.75","505.00","35.54K","-0.59%"
"15-03-2024","509.50","520.45","523.15","505.30","58.96K","-1.99%"
