"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","2,867.60","2,775.40","2,923.35","2,775.40","243.09K","3.38%"
"05-11-2024","2,773.95","2,741.00","2,819.00","2,732.65","148.77K","0.90%"
"04-11-2024","2,749.20","2,760.75","2,766.00","2,685.00","138.93K","-0.68%"
"01-11-2024","2,768.05","2,758.80","2,789.90","2,752.00","20.76K","0.92%"
"31-10-2024","2,742.80","2,700.00","2,794.00","2,683.85","222.35K","1.76%"
"30-10-2024","2,695.25","2,750.00","2,750.00","2,675.00","117.95K","-1.47%"
"29-10-2024","2,735.60","2,755.00","2,773.95","2,700.90","123.56K","-0.39%"
"28-10-2024","2,746.30","2,640.20","2,927.00","2,600.10","1.14M","4.07%"
"25-10-2024","2,638.85","2,765.00","2,774.50","2,562.05","229.46K","-4.67%"
"24-10-2024","2,768.15","2,850.00","2,861.35","2,750.00","79.99K","-2.29%"
"23-10-2024","2,833.10","2,737.50","2,867.85","2,717.10","445.19K","3.49%"
"22-10-2024","2,737.50","3,008.00","3,009.00","2,712.00","383.33K","-9.67%"
"21-10-2024","3,030.50","3,049.95","3,140.00","2,952.00","455.54K","-0.73%"
"18-10-2024","3,052.80","2,855.95","3,125.00","2,780.65","992.44K","6.89%"
"17-10-2024","2,856.00","2,928.05","2,964.00","2,822.00","137.44K","-2.36%"
"16-10-2024","2,924.95","2,910.00","2,967.00","2,880.05","527.50K","2.33%"
"15-10-2024","2,858.40","2,748.00","2,880.00","2,737.15","285.17K","4.63%"
"14-10-2024","2,731.80","2,710.00","2,780.00","2,701.00","127.29K","1.10%"
"11-10-2024","2,702.15","2,695.00","2,737.00","2,658.00","60.01K","0.58%"
"10-10-2024","2,686.55","2,729.00","2,790.00","2,668.70","51.02K","-1.01%"
"09-10-2024","2,714.05","2,705.00","2,749.00","2,697.30","115.74K","1.05%"
"08-10-2024","2,685.80","2,657.25","2,725.00","2,607.00","333.63K","1.83%"
"07-10-2024","2,637.65","2,764.90","2,885.00","2,590.40","604.25K","-4.14%"
