"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","5,821.55","5,661.00","5,833.50","5,661.00","140.87K","2.67%"
"05-11-2024","5,670.35","5,767.00","5,867.20","5,620.10","192.31K","-2.21%"
"04-11-2024","5,798.30","5,762.40","5,808.20","5,720.00","103.31K","-0.12%"
"01-11-2024","5,805.25","5,820.75","5,837.55","5,750.00","5.41K","0.45%"
"31-10-2024","5,779.25","5,794.65","5,854.50","5,763.40","140.72K","-0.28%"
"30-10-2024","5,795.60","5,930.00","5,975.40","5,773.25","132.45K","-2.24%"
"29-10-2024","5,928.30","6,060.00","6,060.20","5,825.00","188.10K","-1.84%"
"28-10-2024","6,039.55","5,954.30","6,084.50","5,916.00","125.33K","1.63%"
"25-10-2024","5,942.55","5,958.00","6,008.25","5,891.90","93.17K","-0.31%"
"24-10-2024","5,960.95","5,900.00","5,984.95","5,864.05","204.59K","1.82%"
"23-10-2024","5,854.55","6,111.00","6,185.55","5,805.00","246.47K","-4.18%"
"22-10-2024","6,110.25","6,189.90","6,220.75","6,085.60","216.58K","-0.78%"
"21-10-2024","6,158.35","6,170.00","6,250.00","6,099.95","260.24K","0.42%"
"18-10-2024","6,132.75","6,012.50","6,158.00","6,012.50","253.43K","1.82%"
"17-10-2024","6,023.00","6,108.55","6,195.45","5,998.00","159.05K","-1.17%"
"16-10-2024","6,094.30","6,299.95","6,299.95","6,042.50","178.90K","-2.73%"
"15-10-2024","6,265.50","6,267.15","6,318.55","6,230.70","109.58K","0.22%"
"14-10-2024","6,251.45","6,191.30","6,270.00","6,166.50","122.41K","0.97%"
"11-10-2024","6,191.30","6,188.90","6,233.00","6,109.70","110.07K","0.88%"
"10-10-2024","6,137.10","6,310.00","6,340.55","6,071.40","133.29K","-2.49%"
"09-10-2024","6,294.10","6,299.80","6,375.55","6,270.10","142.06K","0.69%"
"08-10-2024","6,250.85","6,125.25","6,266.50","6,104.30","112.14K","1.47%"
"07-10-2024","6,160.25","6,230.00","6,267.20","6,108.65","301.40K","-0.55%"
