"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","2,132.85","2,174.95","2,174.95","2,115.00","74.75K","0.18%"
"05-11-2024","2,129.00","2,105.90","2,270.00","2,086.30","297.41K","1.10%"
"04-11-2024","2,105.90","2,114.95","2,129.95","2,058.00","39.33K","-0.52%"
"01-11-2024","2,117.00","2,104.70","2,122.05","2,090.95","7.56K","1.25%"
"31-10-2024","2,090.95","2,051.00","2,099.00","2,051.00","29.43K","1.42%"
"30-10-2024","2,061.60","2,012.90","2,087.75","2,012.90","35.53K","1.59%"
"29-10-2024","2,029.40","2,018.65","2,045.05","1,978.05","46.47K","0.53%"
"28-10-2024","2,018.65","2,002.25","2,038.80","1,989.00","38.67K","0.86%"
"25-10-2024","2,001.50","2,065.00","2,080.50","1,974.95","55.56K","-3.80%"
"24-10-2024","2,080.55","2,088.05","2,112.95","2,061.00","32.15K","-0.36%"
"23-10-2024","2,088.05","2,055.00","2,114.00","2,039.95","52.10K","0.61%"
"22-10-2024","2,075.30","2,163.00","2,182.70","2,018.05","96.97K","-4.54%"
"21-10-2024","2,173.95","2,237.60","2,252.20","2,153.00","52.69K","-2.84%"
"18-10-2024","2,237.60","2,245.00","2,261.95","2,205.00","51.85K","-0.56%"
"17-10-2024","2,250.30","2,326.00","2,328.45","2,220.10","53.71K","-3.38%"
"16-10-2024","2,329.10","2,330.00","2,348.00","2,301.85","44.76K","-0.08%"
"15-10-2024","2,331.05","2,350.00","2,390.95","2,314.25","95.78K","-0.20%"
"14-10-2024","2,335.70","2,277.15","2,350.00","2,254.90","83.54K","2.57%"
"11-10-2024","2,277.15","2,307.00","2,309.95","2,262.50","35.03K","-1.00%"
"10-10-2024","2,300.25","2,294.85","2,349.00","2,281.55","36.58K","0.24%"
"09-10-2024","2,294.85","2,289.85","2,339.00","2,260.00","49.20K","1.46%"
"08-10-2024","2,261.90","2,185.05","2,289.90","2,185.05","64.99K","2.84%"
"07-10-2024","2,199.50","2,290.00","2,318.90","2,178.60","109.50K","-3.95%"
"04-10-2024","2,290.00","2,339.00","2,350.95","2,230.00","120.04K","-2.11%"
"03-10-2024","2,339.45","2,370.30","2,420.00","2,315.20","230.42K","-2.92%"
"01-10-2024","2,409.70","2,288.00","2,443.15","2,285.00","225.16K","5.08%"
"30-09-2024","2,293.25","2,309.95","2,326.75","2,269.55","82.73K","-0.15%"
"27-09-2024","2,296.70","2,369.95","2,370.20","2,280.00","84.47K","-1.68%"
"26-09-2024","2,335.95","2,366.00","2,369.60","2,323.00","58.84K","-0.86%"
"25-09-2024","2,356.30","2,380.15","2,391.55","2,335.55","69.57K","-1.00%"
