"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","22.630","22.480","22.670","22.320","5.20M","1.25%"
"05-11-2024","22.350","22.090","22.350","22.350","5.43M","1.13%"
"04-11-2024","22.100","22.690","22.690","22.000","5.21M","-3.16%"
"01-11-2024","22.820","22.590","23.100","22.590","2.14M","1.60%"
"31-10-2024","22.460","22.290","22.680","21.900","5.32M","1.26%"
"30-10-2024","22.180","21.490","22.320","21.370","8.71M","3.21%"
"29-10-2024","21.490","21.640","21.710","21.060","7.34M","-0.19%"
"28-10-2024","21.530","20.840","21.800","20.620","10.02M","3.41%"
"25-10-2024","20.820","21.790","21.900","20.680","10.88M","-4.36%"
"24-10-2024","21.770","21.900","22.090","21.500","8.43M","-0.14%"
"23-10-2024","21.800","21.500","22.440","20.960","14.95M","1.21%"
"22-10-2024","21.540","22.540","22.540","21.400","9.72M","-4.73%"
"21-10-2024","22.610","23.640","23.640","22.500","10.36M","-3.33%"
"18-10-2024","23.390","22.950","23.440","22.530","9.22M","1.21%"
"17-10-2024","23.110","23.810","23.890","23.010","8.71M","-2.94%"
"16-10-2024","23.810","24.140","24.140","23.600","9.55M","-0.79%"
"15-10-2024","24.000","24.300","24.490","23.840","11.99M","-2.52%"
"14-10-2024","24.620","25.540","25.660","24.300","14.50M","-2.50%"
"11-10-2024","25.250","24.990","25.590","24.910","11.90M","1.41%"
"10-10-2024","24.900","25.200","25.350","24.810","8.82M","-0.68%"
"09-10-2024","25.070","25.240","25.690","25.000","13.83M","-0.28%"
"08-10-2024","25.140","24.510","25.290","24.110","14.41M","2.86%"
"07-10-2024","24.440","25.690","25.800","24.330","21.79M","-4.98%"
"04-10-2024","25.720","25.950","26.240","25.380","18.28M","-0.85%"
"03-10-2024","25.940","26.740","27.430","25.770","19.81M","-4.95%"
"01-10-2024","27.290","26.160","28.000","26.160","39.94M","2.86%"
"30-09-2024","26.530","25.390","27.290","24.930","40.51M","4.65%"
"27-09-2024","25.350","25.170","25.670","25.050","11.77M","1.16%"
"26-09-2024","25.060","25.400","25.660","25.000","12.52M","-0.67%"
"25-09-2024","25.230","25.500","25.590","25.170","7.17M","-1.14%"
"24-09-2024","25.520","25.900","25.900","25.500","7.21M","-1.01%"
"23-09-2024","25.780","25.490","26.330","25.430","13.86M","1.46%"
"20-09-2024","25.410","25.750","25.760","25.320","8.86M","-0.04%"
"19-09-2024","25.420","25.800","25.950","24.940","15.51M","-1.01%"
"18-09-2024","25.680","25.800","26.150","25.440","14.13M","-0.04%"
"17-09-2024","25.690","26.200","26.370","25.540","12.54M","-1.72%"
"16-09-2024","26.140","26.360","26.620","26.080","10.90M","-0.83%"
"13-09-2024","26.360","26.190","26.650","26.050","9.97M","1.19%"
"12-09-2024","26.050","26.340","26.480","26.000","12.86M","-0.34%"
"11-09-2024","26.140","26.720","26.990","26.000","16.13M","-1.80%"
"10-09-2024","26.620","26.740","27.040","26.510","13.75M","-0.26%"
"09-09-2024","26.690","27.180","27.250","26.420","18.75M","-1.84%"
"06-09-2024","27.190","28.240","28.250","27.000","27.52M","-3.38%"
"05-09-2024","28.140","27.190","28.300","26.810","50.68M","4.22%"
"04-09-2024","27.000","26.600","28.140","26.530","38.28M","0.56%"
"03-09-2024","26.850","26.610","26.950","26.400","13.01M","0.83%"
"02-09-2024","26.630","27.260","27.300","26.460","14.77M","-2.45%"
"30-08-2024","27.300","27.850","27.920","27.000","15.77M","-1.80%"
"29-08-2024","27.800","27.950","28.360","27.320","32.91M","0.18%"
"28-08-2024","27.750","28.540","29.150","27.410","36.79M","-2.39%"
"27-08-2024","28.430","27.970","28.740","27.710","48.30M","2.01%"
"26-08-2024","27.870","28.500","28.880","27.720","65.50M","-1.38%"
"23-08-2024","28.260","29.300","29.790","28.000","106.88M","-3.12%"
"22-08-2024","29.170","28.230","29.500","27.880","140.90M","3.81%"
"21-08-2024","28.100","25.600","29.300","25.440","177.44M","10.67%"
"20-08-2024","25.390","25.350","25.840","25.270","6.81M","0.40%"
"19-08-2024","25.290","25.380","25.630","25.140","7.53M","-0.04%"
"16-08-2024","25.300","25.050","25.500","24.920","9.18M","1.00%"
"14-08-2024","25.050","25.240","25.290","24.480","8.19M","-0.08%"
"13-08-2024","25.070","25.690","26.050","24.980","9.41M","-2.07%"
"12-08-2024","25.600","25.770","26.230","24.940","16.33M","-0.85%"
"09-08-2024","25.820","26.250","26.430","25.720","5.90M","-0.96%"
"08-08-2024","26.070","26.360","26.900","26.010","11.24M","-0.84%"
"07-08-2024","26.290","25.880","26.440","25.560","18.65M","4.87%"
"06-08-2024","25.070","25.020","26.400","24.960","19.98M","0.64%"
"05-08-2024","24.910","25.590","25.750","24.800","11.89M","-4.89%"
"02-08-2024","26.190","26.290","26.550","25.940","6.13M","-1.36%"
"01-08-2024","26.550","26.930","27.140","26.350","7.10M","-1.41%"
"31-07-2024","26.930","27.250","27.550","26.900","8.14M","-0.96%"
