"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","3,982.35","4,045.00","4,045.00","3,977.55","4.64K","-1.64%"
"05-11-2024","4,048.55","3,997.15","4,072.10","3,997.15","1.07K","0.60%"
"04-11-2024","4,024.25","4,150.00","4,150.00","4,000.00","1.24K","-3.11%"
"01-11-2024","4,153.45","4,043.35","4,175.90","4,043.35","0.29K","0.67%"
"31-10-2024","4,125.85","3,842.05","4,141.00","3,842.05","8.73K","5.76%"
"30-10-2024","3,901.05","3,933.00","4,058.95","3,884.10","6.24K","-0.13%"
"29-10-2024","3,906.20","3,930.00","3,949.05","3,892.30","22.86K","-0.59%"
"28-10-2024","3,929.35","3,996.20","3,996.20","3,910.60","1.37K","-1.67%"
"25-10-2024","3,996.20","4,092.00","4,094.10","3,930.00","6.41K","-2.36%"
"24-10-2024","4,092.60","4,050.05","4,147.00","4,035.65","1.87K","1.25%"
"23-10-2024","4,042.00","3,954.05","4,091.50","3,945.00","5.27K","0.18%"
"22-10-2024","4,034.70","4,140.30","4,210.00","4,012.25","2.79K","-2.60%"
"21-10-2024","4,142.45","4,370.30","4,379.00","4,131.10","2.22K","-3.32%"
"18-10-2024","4,284.60","4,050.00","4,375.80","4,023.90","11.18K","5.22%"
"17-10-2024","4,072.20","4,147.70","4,147.70","4,044.10","2.20K","-1.40%"
"16-10-2024","4,130.15","4,134.00","4,210.00","4,087.40","6.59K","-0.19%"
"15-10-2024","4,137.95","4,111.25","4,150.00","4,044.65","11.13K","2.29%"
"14-10-2024","4,045.15","4,041.90","4,164.00","4,015.05","3.03K","0.12%"
"11-10-2024","4,040.50","4,202.05","4,280.00","4,012.60","16.51K","-0.37%"
"10-10-2024","4,055.70","4,193.95","4,193.95","4,026.00","2.94K","-1.50%"
"09-10-2024","4,117.45","3,999.75","4,163.65","3,963.15","5.01K","3.90%"
"08-10-2024","3,962.90","3,880.00","3,967.80","3,861.20","2.36K","1.97%"
"07-10-2024","3,886.35","3,861.35","3,992.75","3,820.60","5.06K","-0.65%"
"04-10-2024","3,911.90","3,900.00","3,972.55","3,816.50","2.44K","0.16%"
"03-10-2024","3,905.50","3,810.15","3,940.00","3,810.10","2.32K","0.57%"
"01-10-2024","3,883.40","3,916.40","3,916.40","3,860.70","0.77K","-0.85%"
"30-09-2024","3,916.65","3,769.65","3,999.00","3,769.65","8.08K","0.95%"
"27-09-2024","3,879.60","3,958.80","3,958.80","3,855.00","2.19K","-1.40%"
"26-09-2024","3,934.55","3,961.05","3,961.05","3,860.05","2.01K","0.89%"
"25-09-2024","3,899.95","3,933.50","3,950.95","3,896.35","0.46K","-0.27%"
"24-09-2024","3,910.60","3,953.00","3,953.00","3,783.45","0.70K","0.83%"
"23-09-2024","3,878.50","3,949.50","3,997.75","3,845.35","2.68K","-0.75%"
"20-09-2024","3,907.75","3,871.05","3,948.95","3,778.30","2.17K","2.55%"
"19-09-2024","3,810.40","3,708.00","3,904.35","3,708.00","1.71K","-2.07%"
"18-09-2024","3,890.75","3,969.35","3,969.35","3,821.20","0.96K","-1.42%"
"17-09-2024","3,946.95","3,925.70","4,004.05","3,925.70","4.30K","-0.22%"
"16-09-2024","3,955.85","3,922.00","4,000.00","3,843.65","2.01K","0.86%"
"13-09-2024","3,922.05","3,900.65","3,942.90","3,895.00","0.87K","0.57%"
"12-09-2024","3,899.65","3,964.00","3,964.00","3,878.60","1.83K","-0.48%"
"11-09-2024","3,918.60","3,900.00","3,954.10","3,881.55","1.25K","0.91%"
"10-09-2024","3,883.40","3,832.15","3,928.00","3,832.15","0.62K","1.29%"
"09-09-2024","3,834.10","3,850.05","3,900.05","3,790.00","3.44K","-2.32%"
"06-09-2024","3,925.15","3,989.85","4,052.40","3,870.00","2.18K","-0.06%"
"05-09-2024","3,927.45","3,849.85","3,935.00","3,847.25","1.43K","2.31%"
"04-09-2024","3,838.60","3,848.50","3,908.35","3,811.45","0.64K","-1.30%"
"03-09-2024","3,889.20","3,743.00","3,990.00","3,743.00","5.05K","0.49%"
"02-09-2024","3,870.20","3,828.85","3,905.00","3,827.05","2.03K","1.50%"
"30-08-2024","3,813.10","3,727.70","3,823.10","3,727.70","2.30K","2.29%"
"29-08-2024","3,727.70","3,700.00","3,779.00","3,700.00","3.27K","-0.10%"
"28-08-2024","3,731.55","3,708.80","3,805.00","3,708.80","4.47K","-0.34%"
"27-08-2024","3,744.45","3,669.40","3,766.00","3,669.40","5.60K","2.05%"
"26-08-2024","3,669.40","3,615.00","3,690.00","3,466.80","8.94K","1.77%"
"23-08-2024","3,605.55","3,787.25","3,787.25","3,590.00","3.04K","-3.99%"
"22-08-2024","3,755.20","3,784.00","3,799.20","3,728.55","3.49K","0.03%"
"21-08-2024","3,754.00","3,600.00","3,896.35","3,600.00","10.76K","4.43%"
