"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","2,949.00","2,949.90","2,984.45","2,927.95","1.01M","1.13%"
"05-11-2024","2,915.95","2,897.00","2,930.00","2,833.05","1.71M","1.04%"
"04-11-2024","2,886.05","3,057.00","3,074.90","2,861.10","1.44M","-6.00%"
"01-11-2024","3,070.20","3,079.00","3,100.00","3,050.00","276.25K","0.61%"
"31-10-2024","3,051.60","3,044.00","3,069.00","2,976.05","1.04M","0.76%"
"30-10-2024","3,028.50","2,969.55","3,124.00","2,961.85","2.23M","1.99%"
"29-10-2024","2,969.55","2,871.00","2,983.15","2,824.80","1.54M","3.61%"
"28-10-2024","2,866.00","2,841.95","2,940.00","2,810.30","2.05M","2.40%"
"25-10-2024","2,798.80","2,885.00","2,925.00","2,760.30","1.42M","-2.47%"
"24-10-2024","2,869.80","2,980.00","2,992.95","2,860.00","1.17M","-3.14%"
"23-10-2024","2,962.80","2,889.25","3,049.00","2,860.00","2.62M","2.95%"
"22-10-2024","2,877.90","3,018.40","3,057.70","2,858.00","2.15M","-4.59%"
"21-10-2024","3,016.35","3,136.60","3,167.05","3,000.00","2.04M","-3.15%"
"18-10-2024","3,114.40","3,114.10","3,217.85","3,061.00","4.15M","-0.43%"
"17-10-2024","3,127.85","3,219.95","3,230.00","3,082.30","4.88M","-3.34%"
"16-10-2024","3,236.00","3,165.00","3,393.00","3,094.20","13.20M","0.36%"
"15-10-2024","3,224.55","2,940.00","3,258.00","2,866.00","20.91M","18.42%"
"14-10-2024","2,723.05","2,718.90","2,830.00","2,676.00","3.43M","0.74%"
"11-10-2024","2,703.10","2,610.00","2,718.65","2,607.10","1.29M","3.70%"
"10-10-2024","2,606.55","2,600.00","2,634.35","2,551.00","740.98K","0.48%"
"09-10-2024","2,594.05","2,597.15","2,671.00","2,580.05","777.06K","-0.12%"
"08-10-2024","2,597.15","2,525.00","2,615.00","2,522.65","1.12M","3.28%"
"07-10-2024","2,514.75","2,689.70","2,689.70","2,496.05","1.83M","-5.52%"
"04-10-2024","2,661.70","2,707.45","2,749.80","2,620.00","2.80M","-2.93%"
"03-10-2024","2,742.15","2,525.00","2,794.30","2,450.00","7.56M","5.46%"
