"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","764.35","757.00","765.00","741.00","759.83K","1.98%"
"05-11-2024","749.50","725.50","757.90","715.05","894.58K","3.09%"
"04-11-2024","727.05","757.20","759.30","716.10","875.71K","-3.98%"
"01-11-2024","757.20","748.00","768.00","748.00","418.73K","2.21%"
"31-10-2024","740.80","695.00","748.95","695.00","2.37M","6.94%"
"30-10-2024","692.75","687.40","699.00","683.00","484.21K","1.38%"
"29-10-2024","683.35","701.95","704.70","667.05","1.08M","0.32%"
"28-10-2024","681.15","663.90","686.30","635.10","1.23M","3.11%"
"25-10-2024","660.60","691.00","695.45","644.00","1.45M","-4.32%"
"24-10-2024","690.45","692.00","699.90","680.50","651.85K","0.01%"
"23-10-2024","690.35","699.95","726.90","678.55","1.36M","0.19%"
"22-10-2024","689.05","731.90","743.10","680.25","1.48M","-6.15%"
"21-10-2024","734.20","770.85","776.35","725.55","576.16K","-4.28%"
"18-10-2024","767.05","763.35","771.75","735.00","768.71K","0.25%"
"17-10-2024","765.15","783.00","783.10","762.45","694.27K","-1.81%"
"16-10-2024","779.25","781.50","796.25","765.10","958.01K","0.26%"
"15-10-2024","777.20","768.05","783.00","754.70","857.62K","1.54%"
"14-10-2024","765.40","749.95","769.80","741.90","659.91K","2.03%"
"11-10-2024","750.20","756.30","767.00","741.80","715.07K","-0.68%"
"10-10-2024","755.30","744.00","762.00","740.05","1.27M","2.25%"
"09-10-2024","738.65","735.80","745.75","719.20","1.29M","1.41%"
"08-10-2024","728.40","664.55","740.00","653.50","2.53M","9.61%"
"07-10-2024","664.55","736.20","747.80","656.05","3.04M","-7.84%"
"04-10-2024","721.05","701.55","728.00","670.90","1.61M","2.76%"
"03-10-2024","701.65","714.85","725.50","700.00","894.04K","-3.57%"
"01-10-2024","727.60","704.75","734.00","701.75","911.73K","3.29%"
"30-09-2024","704.40","714.00","714.00","696.00","798.57K","-2.38%"
"27-09-2024","721.55","726.35","726.35","712.00","1.09M","-1.11%"
"26-09-2024","729.65","725.35","734.00","703.65","948.84K","0.90%"
"25-09-2024","723.15","720.25","731.00","705.55","1.18M","0.45%"
"24-09-2024","719.90","743.30","746.00","718.00","1.18M","-2.90%"
"23-09-2024","741.40","729.95","748.00","718.35","3.67M","2.57%"
"20-09-2024","722.85","684.75","749.00","684.05","12.65M","6.44%"
"19-09-2024","679.10","677.00","685.00","651.05","1.68M","2.30%"
"18-09-2024","663.80","649.50","680.00","647.35","2.63M","2.19%"
"17-09-2024","649.60","647.75","663.00","643.80","1.21M","0.29%"
"16-09-2024","647.75","650.00","659.95","640.75","990.18K","0.29%"
"13-09-2024","645.85","641.90","660.00","632.85","1.36M","1.33%"
"12-09-2024","637.40","627.90","650.00","622.00","2.22M","2.82%"
"11-09-2024","619.90","611.20","635.00","601.55","1.47M","1.70%"
"10-09-2024","609.55","611.50","625.00","605.00","1.36M","0.16%"
"09-09-2024","608.60","615.40","615.40","594.10","841.01K","-0.78%"
"06-09-2024","613.40","628.80","628.80","609.00","1.02M","-1.78%"
"05-09-2024","624.50","615.00","629.50","612.50","1.57M","2.08%"
"04-09-2024","611.75","598.85","615.95","595.10","1.17M","1.22%"
"03-09-2024","604.40","595.20","610.95","593.00","1.05M","1.86%"
"02-09-2024","593.35","599.80","606.70","591.20","731.71K","-0.43%"
"30-08-2024","595.90","603.00","610.50","592.00","1.30M","-0.72%"
"29-08-2024","600.20","610.50","614.10","593.35","1.24M","-1.49%"
"28-08-2024","609.25","609.10","619.00","598.85","1.50M","0.35%"
"27-08-2024","607.15","615.00","627.95","602.10","1.03M","-0.76%"
"26-08-2024","611.80","591.70","636.85","587.30","3.28M","4.38%"
"23-08-2024","586.15","587.05","603.95","582.25","1.78M","0.15%"
"22-08-2024","585.25","598.10","606.00","583.80","1.43M","-1.53%"
"21-08-2024","594.35","598.00","616.00","588.75","1.65M","0.13%"
"20-08-2024","593.55","607.25","607.25","590.45","961.38K","-2.26%"
"19-08-2024","607.25","590.00","613.80","586.25","3.94M","3.60%"
"16-08-2024","586.15","523.90","604.40","522.50","6.89M","12.88%"
"14-08-2024","519.25","510.65","523.60","500.00","1.89M","2.31%"
"13-08-2024","507.55","516.20","522.45","506.00","807.33K","-1.30%"
"12-08-2024","514.25","516.00","528.65","511.30","742.38K","-1.07%"
"09-08-2024","519.80","544.95","544.95","515.05","1.28M","0.00%"
"08-08-2024","519.80","510.75","532.45","510.65","1.20M","1.99%"
"07-08-2024","509.65","511.65","515.25","503.00","873.89K","2.08%"
"06-08-2024","499.25","500.00","520.30","493.80","1.31M","-0.20%"
"05-08-2024","500.25","501.00","518.95","497.00","1.96M","-4.07%"
"02-08-2024","521.50","525.00","528.95","515.55","1.19M","-2.19%"
"01-08-2024","533.20","550.00","559.50","529.65","1.12M","-3.95%"
"31-07-2024","555.10","562.10","562.10","550.35","790.96K","-0.72%"
"30-07-2024","559.10","557.80","560.85","548.20","1.10M","0.23%"
"29-07-2024","557.80","561.40","565.00","540.70","3.89M","3.83%"
"26-07-2024","537.25","516.00","542.50","510.30","2.05M","4.39%"
"25-07-2024","514.65","513.90","518.95","506.20","872.70K","-0.72%"
"24-07-2024","518.40","516.80","535.00","510.90","1.81M","0.60%"
"23-07-2024","515.30","521.00","526.00","480.00","3.33M","1.05%"
"22-07-2024","509.95","510.00","540.75","496.60","7.91M","6.08%"
"19-07-2024","480.70","478.75","495.50","468.05","1.92M","0.34%"
"18-07-2024","479.05","482.95","486.25","473.70","1.01M","-0.81%"
"16-07-2024","482.95","488.00","493.20","481.00","899.51K","-0.90%"
"15-07-2024","487.35","500.00","500.00","484.85","980.78K","-1.82%"
"12-07-2024","496.40","506.50","508.35","492.55","652.52K","-1.51%"
"11-07-2024","504.00","509.00","517.00","502.05","1.27M","-0.17%"
"10-07-2024","504.85","528.05","529.75","502.20","2.22M","-4.15%"
"09-07-2024","526.70","548.50","548.50","521.00","1.42M","-3.23%"
"08-07-2024","544.30","530.05","552.00","525.85","3.25M","5.78%"
"05-07-2024","514.55","490.00","520.00","490.00","2.88M","4.88%"
"04-07-2024","490.60","488.95","498.00","479.15","1.80M","0.66%"
"03-07-2024","487.40","485.90","495.00","483.60","1.61M","1.20%"
"02-07-2024","481.60","462.00","489.00","456.35","7.65M","8.55%"
"01-07-2024","443.65","434.00","446.60","430.60","803.86K","3.25%"
"28-06-2024","429.70","440.00","440.20","428.45","592.47K","-1.77%"
"27-06-2024","437.45","442.00","446.00","433.15","578.27K","-0.61%"
"26-06-2024","440.15","445.90","449.00","436.00","1.20M","-0.43%"
"25-06-2024","442.05","449.60","450.00","440.40","1.90M","-1.59%"
"24-06-2024","449.20","439.00","451.00","430.60","1.36M","1.93%"
"21-06-2024","440.70","440.95","447.00","436.85","1.15M","0.20%"
"20-06-2024","439.80","443.70","447.00","438.15","848.97K","-0.48%"
"19-06-2024","441.90","445.00","453.00","430.40","1.86M","-0.21%"
"18-06-2024","442.85","430.00","449.40","428.75","2.50M","4.32%"
"14-06-2024","424.50","414.55","426.70","414.55","1.19M","2.40%"
"13-06-2024","414.55","422.05","424.90","411.50","1.03M","-1.47%"
"12-06-2024","420.75","427.50","432.00","418.45","2.54M","-0.66%"
"11-06-2024","423.55","404.00","426.55","403.10","2.42M","5.89%"
"10-06-2024","400.00","392.80","406.95","391.05","2.18M","2.34%"
"07-06-2024","390.85","378.15","393.20","377.00","1.17M","3.36%"
"06-06-2024","378.15","359.05","381.40","359.05","1.70M","6.49%"
"05-06-2024","355.10","345.00","356.00","324.00","1.67M","5.98%"
"04-06-2024","335.05","396.90","396.90","319.15","4.36M","-16.01%"
"03-06-2024","398.90","406.00","408.40","392.95","1.91M","3.48%"
