"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","1,546.20","1,526.75","1,547.45","1,526.75","146.74K","1.96%"
"05-11-2024","1,516.50","1,515.00","1,540.00","1,499.25","456.07K","0.15%"
"04-11-2024","1,514.25","1,540.10","1,545.10","1,499.00","376.98K","-1.75%"
"01-11-2024","1,541.15","1,530.00","1,544.50","1,517.60","56.74K","1.36%"
"31-10-2024","1,520.45","1,486.70","1,554.90","1,482.15","636.93K","1.94%"
"30-10-2024","1,491.45","1,465.60","1,516.00","1,460.40","1.44M","-1.25%"
"29-10-2024","1,510.40","1,449.05","1,536.35","1,376.70","1.26M","4.23%"
"28-10-2024","1,449.05","1,459.95","1,488.90","1,441.05","184.61K","-1.67%"
"25-10-2024","1,473.70","1,495.75","1,508.70","1,439.30","250.74K","-1.22%"
"24-10-2024","1,491.85","1,482.90","1,510.00","1,466.95","198.39K","0.33%"
"23-10-2024","1,486.90","1,506.00","1,539.70","1,451.10","609.02K","-2.83%"
"22-10-2024","1,530.25","1,539.85","1,546.75","1,505.00","536.21K","-0.57%"
"21-10-2024","1,539.05","1,580.00","1,589.90","1,530.00","296.73K","-2.35%"
"18-10-2024","1,576.05","1,555.00","1,585.00","1,532.60","262.55K","1.53%"
"17-10-2024","1,552.25","1,580.00","1,601.50","1,549.00","690.23K","-1.76%"
"16-10-2024","1,580.00","1,549.50","1,598.25","1,540.00","482.87K","1.76%"
"15-10-2024","1,552.65","1,554.50","1,561.65","1,532.05","445.55K","-0.58%"
"14-10-2024","1,561.65","1,569.85","1,591.95","1,548.50","299.64K","-0.64%"
"11-10-2024","1,571.70","1,573.00","1,587.55","1,542.00","211.77K","-0.13%"
"10-10-2024","1,573.75","1,544.95","1,582.25","1,526.45","293.85K","2.46%"
"09-10-2024","1,536.00","1,544.80","1,573.70","1,530.75","227.56K","-0.57%"
"08-10-2024","1,544.80","1,530.00","1,558.50","1,507.00","627.75K","-1.16%"
"07-10-2024","1,562.95","1,610.00","1,613.90","1,504.20","379.00K","-2.88%"
