"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","1,395.00","1,405.90","1,410.60","1,392.90","1.32M","-0.14%"
"05-11-2024","1,396.95","1,407.00","1,417.30","1,360.65","999.96K","-0.73%"
"04-11-2024","1,407.20","1,396.45","1,410.60","1,382.40","872.40K","0.46%"
"01-11-2024","1,400.70","1,407.45","1,410.00","1,394.00","39.84K","0.30%"
"31-10-2024","1,396.50","1,405.90","1,418.90","1,388.95","766.78K","-0.62%"
"30-10-2024","1,405.15","1,406.00","1,419.95","1,385.05","535.06K","-0.51%"
"29-10-2024","1,412.35","1,442.00","1,442.00","1,398.05","569.91K","-1.55%"
"28-10-2024","1,434.55","1,422.35","1,442.35","1,405.80","1.26M","0.45%"
"25-10-2024","1,428.15","1,441.10","1,456.85","1,415.20","470.07K","-0.97%"
"24-10-2024","1,442.20","1,432.00","1,451.85","1,428.55","451.11K","0.57%"
"23-10-2024","1,434.00","1,446.10","1,466.15","1,429.45","623.14K","-0.94%"
"22-10-2024","1,447.60","1,460.25","1,482.30","1,441.20","661.46K","-0.87%"
"21-10-2024","1,460.25","1,473.10","1,499.50","1,448.60","874.69K","-0.85%"
"18-10-2024","1,472.70","1,460.00","1,481.55","1,450.00","437.61K","0.28%"
"17-10-2024","1,468.65","1,482.05","1,487.05","1,462.40","736.44K","-0.90%"
"16-10-2024","1,482.05","1,480.05","1,487.35","1,464.25","606.48K","0.14%"
"15-10-2024","1,480.05","1,497.00","1,499.15","1,466.55","574.29K","-0.62%"
"14-10-2024","1,489.25","1,496.10","1,502.70","1,469.25","741.19K","-0.44%"
"11-10-2024","1,495.85","1,477.00","1,499.00","1,474.30","620.34K","2.04%"
"10-10-2024","1,465.95","1,511.95","1,515.90","1,456.40","1.15M","-2.87%"
"09-10-2024","1,509.30","1,492.05","1,520.05","1,483.30","791.24K","1.21%"
"08-10-2024","1,491.25","1,453.00","1,495.50","1,439.50","661.52K","1.68%"
"07-10-2024","1,466.60","1,467.00","1,488.85","1,442.30","1.22M","0.04%"
"04-10-2024","1,466.05","1,458.00","1,489.70","1,442.20","923.93K","0.51%"
"03-10-2024","1,458.60","1,438.30","1,463.25","1,425.00","1.53M","1.41%"
"01-10-2024","1,438.30","1,455.00","1,461.70","1,407.00","2.60M","-1.53%"
"30-09-2024","1,460.70","1,512.05","1,518.90","1,444.00","1.86M","-3.35%"
"27-09-2024","1,511.35","1,505.00","1,520.85","1,489.65","704.35K","-0.26%"
"26-09-2024","1,515.30","1,530.10","1,530.30","1,493.90","853.88K","-0.75%"
"25-09-2024","1,526.75","1,507.00","1,531.45","1,498.50","1.03M","1.71%"
"24-09-2024","1,501.15","1,487.00","1,508.30","1,471.70","1.15M","1.36%"
"23-09-2024","1,480.95","1,498.00","1,510.50","1,470.00","2.36M","-1.03%"
"20-09-2024","1,496.35","1,537.80","1,540.85","1,482.60","2.01M","-2.08%"
"19-09-2024","1,528.10","1,550.10","1,559.90","1,511.00","692.59K","-0.72%"
"18-09-2024","1,539.15","1,552.45","1,559.90","1,518.05","581.46K","-0.86%"
"17-09-2024","1,552.45","1,564.00","1,568.30","1,549.05","584.86K","-0.74%"
"16-09-2024","1,564.00","1,574.85","1,583.95","1,551.30","1.28M","-0.21%"
"13-09-2024","1,567.25","1,565.00","1,592.00","1,555.00","1.19M","0.37%"
"12-09-2024","1,561.45","1,521.50","1,578.00","1,521.50","4.07M","3.59%"
"11-09-2024","1,507.40","1,533.60","1,546.20","1,502.40","979.90K","-0.72%"
"10-09-2024","1,518.40","1,528.00","1,534.70","1,515.20","877.18K","-0.01%"
"09-09-2024","1,518.50","1,537.35","1,540.00","1,512.75","841.71K","-1.23%"
"06-09-2024","1,537.40","1,533.80","1,546.75","1,516.25","1.04M","0.25%"
"05-09-2024","1,533.55","1,542.15","1,559.00","1,529.50","1.02M","-1.07%"
"04-09-2024","1,550.15","1,528.00","1,556.50","1,528.00","1.07M","0.05%"
"03-09-2024","1,549.40","1,553.00","1,569.80","1,546.40","1.03M","-0.29%"
"02-09-2024","1,553.95","1,580.80","1,584.45","1,549.10","728.91K","-0.98%"
"30-08-2024","1,569.40","1,560.00","1,580.60","1,551.00","1.76M","0.40%"
"29-08-2024","1,563.15","1,555.55","1,574.90","1,555.10","573.39K","-0.07%"
"28-08-2024","1,564.20","1,551.95","1,578.35","1,544.95","999.09K","0.79%"
"27-08-2024","1,551.95","1,543.60","1,556.15","1,537.90","434.25K","0.26%"
"26-08-2024","1,547.85","1,538.00","1,555.15","1,531.10","738.25K","0.63%"
"23-08-2024","1,538.20","1,529.05","1,547.00","1,525.55","852.28K","0.28%"
"22-08-2024","1,533.85","1,519.00","1,539.65","1,504.00","1.06M","1.48%"
"21-08-2024","1,511.50","1,537.30","1,539.95","1,490.10","1.79M","-1.68%"
"20-08-2024","1,537.30","1,520.00","1,543.25","1,515.00","1.11M","1.19%"
"19-08-2024","1,519.20","1,502.10","1,536.65","1,490.30","1.47M","1.09%"
"16-08-2024","1,502.75","1,525.00","1,527.00","1,421.45","4.46M","-1.12%"
"14-08-2024","1,519.70","1,506.90","1,525.00","1,474.05","1.96M","0.92%"
"13-08-2024","1,505.80","1,476.00","1,533.20","1,461.80","3.87M","3.01%"
"12-08-2024","1,461.80","1,460.00","1,490.00","1,440.60","2.46M","0.83%"
"09-08-2024","1,449.70","1,480.40","1,488.30","1,431.05","1.98M","-2.00%"
"08-08-2024","1,479.30","1,470.00","1,487.95","1,448.00","1.98M","0.97%"
"07-08-2024","1,465.15","1,416.60","1,472.10","1,414.25","2.82M","4.53%"
"06-08-2024","1,401.60","1,421.90","1,439.45","1,395.00","846.79K","-1.38%"
"05-08-2024","1,421.25","1,428.35","1,442.00","1,408.40","1.86M","-1.53%"
"02-08-2024","1,443.30","1,422.10","1,450.80","1,419.05","1.19M","0.73%"
"01-08-2024","1,432.85","1,434.10","1,441.00","1,424.10","542.55K","-0.09%"
"31-07-2024","1,434.15","1,399.50","1,440.70","1,399.45","1.27M","2.48%"
"30-07-2024","1,399.45","1,399.00","1,423.05","1,393.60","709.70K","-0.40%"
"29-07-2024","1,405.00","1,390.00","1,417.00","1,387.60","2.17M","1.36%"
"26-07-2024","1,386.20","1,365.80","1,389.00","1,360.95","862.02K","1.72%"
"25-07-2024","1,362.80","1,349.45","1,366.40","1,340.25","530.04K","0.67%"
"24-07-2024","1,353.70","1,357.75","1,366.70","1,348.20","504.76K","-0.30%"
"23-07-2024","1,357.75","1,344.55","1,363.80","1,318.00","650.57K","0.98%"
"22-07-2024","1,344.55","1,332.00","1,363.70","1,314.45","1.40M","1.03%"
"19-07-2024","1,330.80","1,341.35","1,353.70","1,323.65","696.14K","-0.42%"
"18-07-2024","1,336.40","1,371.05","1,377.80","1,320.10","1.84M","-2.53%"
"16-07-2024","1,371.05","1,380.00","1,388.05","1,367.30","1.17M","-0.28%"
"15-07-2024","1,374.85","1,360.00","1,409.90","1,342.20","6.36M","3.62%"
"12-07-2024","1,326.85","1,317.90","1,330.00","1,311.00","479.84K","0.68%"
"11-07-2024","1,317.90","1,334.00","1,338.15","1,315.10","487.86K","-1.44%"
"10-07-2024","1,337.10","1,335.00","1,344.20","1,306.00","1.30M","0.35%"
"09-07-2024","1,332.40","1,304.80","1,338.00","1,290.25","1.71M","2.07%"
"08-07-2024","1,305.40","1,305.10","1,327.70","1,285.75","1.49M","0.14%"
"05-07-2024","1,303.55","1,255.00","1,311.80","1,255.00","2.71M","3.90%"
