"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","684.70","682.00","692.90","682.00","274.95K","0.10%"
"05-11-2024","684.00","652.75","691.80","649.15","1.10M","4.65%"
"04-11-2024","653.60","649.45","659.80","636.10","429.25K","0.60%"
"01-11-2024","649.70","646.65","654.65","644.55","138.12K","0.58%"
"31-10-2024","645.95","641.00","649.00","633.75","212.38K","0.95%"
"30-10-2024","639.85","628.90","643.75","625.05","250.96K","1.85%"
"29-10-2024","628.20","637.15","645.85","622.10","497.83K","-3.62%"
"28-10-2024","651.80","630.80","694.60","630.80","6.45M","9.21%"
"25-10-2024","596.85","609.00","617.20","590.05","269.30K","-1.94%"
"24-10-2024","608.65","620.10","623.95","607.00","191.82K","-1.80%"
"23-10-2024","619.80","620.00","632.40","605.80","241.91K","0.33%"
"22-10-2024","617.75","647.00","648.35","613.00","286.13K","-4.38%"
"21-10-2024","646.05","658.00","662.00","640.60","214.82K","-1.95%"
"18-10-2024","658.90","663.00","665.60","631.90","277.06K","-0.80%"
"17-10-2024","664.20","666.05","674.00","660.20","130.66K","-0.02%"
"16-10-2024","664.35","669.00","672.10","660.85","175.76K","-0.62%"
"15-10-2024","668.50","669.65","673.75","660.60","176.43K","-0.17%"
"14-10-2024","669.65","673.90","680.00","666.10","199.64K","-0.40%"
"11-10-2024","672.35","674.00","681.20","670.10","161.64K","0.21%"
"10-10-2024","670.95","687.70","690.90","667.00","337.48K","-1.33%"
"09-10-2024","680.00","695.00","701.30","670.55","375.18K","-1.46%"
"08-10-2024","690.05","677.00","699.00","665.55","308.41K","1.83%"
"07-10-2024","677.65","704.25","710.00","670.00","425.50K","-3.76%"
"04-10-2024","704.15","715.00","718.00","695.00","304.16K","-1.70%"
"03-10-2024","716.35","700.55","726.55","700.50","484.26K","-0.51%"
"01-10-2024","720.05","721.80","729.55","710.10","287.93K","-0.24%"
"30-09-2024","721.80","696.85","725.00","689.10","520.89K","3.60%"
"27-09-2024","696.75","693.00","707.25","690.25","254.36K","0.80%"
"26-09-2024","691.20","690.00","695.80","682.00","272.40K","0.48%"
"25-09-2024","687.90","708.00","708.05","685.15","294.20K","-2.52%"
"24-09-2024","705.70","695.00","708.80","691.00","270.38K","2.13%"
"23-09-2024","691.00","699.95","702.00","688.20","187.57K","-0.67%"
"20-09-2024","695.65","702.00","707.00","693.75","214.48K","-0.11%"
"19-09-2024","696.45","710.90","711.90","689.15","224.39K","-1.13%"
"18-09-2024","704.40","705.00","719.90","701.55","377.37K","0.56%"
"17-09-2024","700.50","701.05","710.95","696.35","186.76K","0.13%"
"16-09-2024","699.60","713.60","715.90","696.10","345.58K","-1.22%"
"13-09-2024","708.25","716.70","716.70","706.05","190.95K","-0.27%"
"12-09-2024","710.15","716.50","720.35","704.60","272.63K","-0.76%"
"11-09-2024","715.60","725.95","734.00","711.10","340.06K","-0.89%"
"10-09-2024","722.05","705.00","723.90","705.00","312.10K","3.03%"
"09-09-2024","700.80","717.00","718.00","699.00","393.97K","-2.57%"
"06-09-2024","719.30","729.70","734.30","710.40","271.28K","-1.29%"
"05-09-2024","728.70","737.85","753.85","726.30","535.13K","-0.46%"
"04-09-2024","732.10","716.50","737.90","712.75","743.95K","1.57%"
"03-09-2024","720.80","714.00","727.90","711.45","628.03K","1.84%"
