"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","215.95","213.55","216.14","211.85","5.90M","1.94%"
"05-11-2024","211.84","208.69","212.90","207.01","5.75M","1.50%"
"04-11-2024","208.71","210.70","210.70","202.00","11.41M","-0.26%"
"01-11-2024","209.25","209.79","210.25","208.00","1.16M","0.51%"
"31-10-2024","208.18","209.44","210.43","206.81","6.72M","-0.58%"
"30-10-2024","209.39","207.80","212.15","206.60","5.61M","0.60%"
"29-10-2024","208.15","212.00","212.50","206.18","11.02M","-1.77%"
"28-10-2024","211.89","213.60","216.40","211.50","8.07M","-0.99%"
"25-10-2024","214.00","218.90","219.26","210.87","10.31M","-1.50%"
"24-10-2024","217.26","214.50","218.34","214.15","8.71M","1.47%"
"23-10-2024","214.11","212.00","216.07","210.89","6.62M","0.72%"
"22-10-2024","212.58","217.99","219.74","211.75","7.79M","-2.40%"
"21-10-2024","217.80","223.28","224.20","217.22","5.60M","-2.45%"
"18-10-2024","223.28","218.50","223.90","217.80","4.76M","1.69%"
"17-10-2024","219.56","223.89","225.00","218.37","12.47M","-2.14%"
"16-10-2024","224.36","225.30","225.66","222.78","4.98M","-0.86%"
"15-10-2024","226.30","229.50","229.59","223.90","10.63M","-1.05%"
"14-10-2024","228.71","228.69","230.65","226.15","7.90M","0.37%"
"11-10-2024","227.86","225.95","228.82","224.00","15.33M","0.96%"
"10-10-2024","225.70","223.70","226.42","219.49","16.79M","1.75%"
"09-10-2024","221.82","220.00","224.04","215.20","25.02M","-0.29%"
"08-10-2024","222.47","222.05","224.60","220.09","6.74M","0.02%"
"07-10-2024","222.42","225.39","227.39","219.20","10.61M","-1.32%"
"04-10-2024","225.39","232.00","232.00","223.87","17.37M","-2.30%"
"03-10-2024","230.70","233.98","236.75","229.34","7.33M","-3.12%"
"01-10-2024","238.13","235.90","242.19","233.50","11.62M","1.16%"
"30-09-2024","235.40","239.55","241.00","234.50","10.20M","-1.73%"
"27-09-2024","239.55","240.95","242.70","238.25","6.35M","-0.68%"
"26-09-2024","241.20","238.35","242.00","236.35","12.75M","1.20%"
"25-09-2024","238.35","237.30","239.20","235.15","5.66M","0.44%"
"24-09-2024","237.30","236.45","239.10","236.35","6.10M","0.36%"
"23-09-2024","236.45","238.50","240.00","235.05","11.20M","-0.59%"
"20-09-2024","237.85","238.00","239.55","235.65","10.31M","0.13%"
"19-09-2024","237.55","238.00","238.50","233.05","14.21M","0.68%"
"18-09-2024","235.95","240.40","240.40","234.80","7.47M","-2.01%"
"17-09-2024","240.80","243.80","244.65","237.85","5.32M","-1.23%"
"16-09-2024","243.80","245.95","248.20","243.30","5.87M","-0.75%"
"13-09-2024","245.65","248.00","248.55","245.20","4.30M","-0.20%"
"12-09-2024","246.15","244.45","247.90","242.00","9.91M","1.90%"
"11-09-2024","241.55","248.20","249.45","240.15","7.33M","-2.70%"
"10-09-2024","248.25","244.65","249.80","244.40","5.00M","1.78%"
"09-09-2024","243.90","247.85","247.85","242.10","6.41M","-1.57%"
"06-09-2024","247.80","251.90","251.90","246.40","5.07M","-1.33%"
"05-09-2024","251.15","252.90","254.75","250.30","8.54M","0.26%"
"04-09-2024","250.50","247.80","252.10","247.60","5.45M","-0.20%"
"03-09-2024","251.00","251.50","252.50","249.95","6.32M","-0.14%"
"02-09-2024","251.35","258.10","258.10","250.45","7.39M","-1.99%"
"30-08-2024","256.45","255.20","258.60","251.10","15.82M","1.04%"
"29-08-2024","253.80","260.00","260.95","251.85","10.58M","-2.55%"
"28-08-2024","260.45","262.50","263.35","260.00","4.40M","-0.65%"
"27-08-2024","262.15","260.15","264.65","258.60","9.38M","0.77%"
"26-08-2024","260.15","260.05","261.15","258.55","4.78M","-0.10%"
"23-08-2024","260.40","261.95","262.85","258.95","5.77M","-0.52%"
"22-08-2024","261.75","260.20","262.40","259.75","4.21M","0.58%"
"21-08-2024","260.25","258.45","261.50","258.15","3.58M","0.10%"
"20-08-2024","260.00","258.10","261.75","256.85","8.62M","0.97%"
"19-08-2024","257.50","258.00","260.15","255.70","14.62M","0.61%"
"16-08-2024","255.95","249.05","256.90","248.50","11.25M","3.85%"
"14-08-2024","246.45","251.50","252.35","245.70","4.65M","-2.09%"
"13-08-2024","251.70","253.35","255.25","251.05","8.12M","-0.14%"
"12-08-2024","252.05","249.95","253.80","249.60","9.42M","-0.41%"
"09-08-2024","253.10","248.00","254.60","247.20","11.60M","2.76%"
"08-08-2024","246.30","247.25","249.50","245.15","10.68M","-0.40%"
"07-08-2024","247.30","246.35","248.70","244.20","5.26M","1.71%"
"06-08-2024","243.15","244.35","251.95","242.25","11.07M","-0.35%"
"05-08-2024","244.00","240.00","247.80","240.00","16.27M","-2.46%"
"02-08-2024","250.15","245.75","253.35","244.45","10.07M","-0.02%"
"01-08-2024","250.20","258.45","258.45","246.95","17.61M","-2.68%"
"31-07-2024","257.09","254.00","259.00","252.90","9.63M","1.38%"
"30-07-2024","253.59","256.40","256.40","251.57","10.30M","-1.08%"
"29-07-2024","256.35","249.00","258.85","249.00","28.70M","4.05%"
"26-07-2024","246.38","235.10","248.89","235.10","45.80M","6.00%"
"25-07-2024","232.43","229.81","233.48","224.85","21.03M","-0.03%"
"24-07-2024","232.50","228.00","233.50","227.15","6.72M","1.25%"
"23-07-2024","229.63","231.29","233.40","219.35","18.41M","-0.46%"
"22-07-2024","230.70","225.15","232.95","222.52","18.93M","3.01%"
"19-07-2024","223.95","228.33","228.80","223.00","7.81M","-1.92%"
"18-07-2024","228.33","229.50","230.33","225.56","8.46M","-0.04%"
"16-07-2024","228.41","230.70","230.70","227.56","9.39M","0.09%"
"15-07-2024","228.20","225.00","228.69","223.40","11.70M","1.76%"
"12-07-2024","224.26","227.90","228.00","223.96","9.39M","-1.18%"
"11-07-2024","226.94","226.00","228.50","225.20","6.83M","0.43%"
"10-07-2024","225.97","228.50","229.28","221.25","10.97M","-1.01%"
"09-07-2024","228.28","227.25","230.45","227.25","13.24M","0.99%"
"08-07-2024","226.05","230.00","231.28","224.85","11.75M","-1.53%"
"05-07-2024","229.56","227.00","230.45","226.00","13.56M","1.08%"
"04-07-2024","227.11","231.30","231.90","226.45","10.96M","-1.03%"
"03-07-2024","229.47","235.30","235.97","226.15","17.21M","-2.15%"
"02-07-2024","234.52","238.90","239.00","233.45","9.42M","-1.78%"
"01-07-2024","238.78","241.90","243.29","235.37","10.77M","-1.29%"
"28-06-2024","241.89","241.30","243.95","240.61","5.96M","-0.11%"
"27-06-2024","242.16","240.19","242.69","238.33","6.62M","0.82%"
"26-06-2024","240.19","241.60","243.88","239.30","6.27M","-0.69%"
"25-06-2024","241.86","241.00","245.67","240.90","13.09M","0.65%"
"24-06-2024","240.30","233.60","241.40","231.23","17.97M","1.97%"
"21-06-2024","235.65","236.90","238.16","234.55","7.69M","-0.51%"
"20-06-2024","236.86","234.01","237.90","233.29","6.60M","1.22%"
"19-06-2024","234.01","239.00","239.88","231.55","12.17M","-2.19%"
"18-06-2024","239.24","240.60","242.65","238.15","12.64M","-0.25%"
"14-06-2024","239.84","237.00","242.69","235.89","17.01M","1.29%"
"13-06-2024","236.79","238.90","240.52","235.55","9.11M","-0.53%"
"12-06-2024","238.04","239.00","241.50","237.31","12.25M","0.03%"
"11-06-2024","237.96","232.35","238.85","230.10","13.55M","2.83%"
"10-06-2024","231.42","233.90","233.95","228.82","17.58M","-0.01%"
"07-06-2024","231.45","225.70","232.15","224.15","13.37M","2.55%"
"06-06-2024","225.70","225.40","231.05","223.55","18.59M","0.69%"
"05-06-2024","224.15","215.35","225.50","205.20","29.01M","7.89%"
"04-06-2024","207.75","235.00","235.00","192.00","45.85M","-12.16%"
"03-06-2024","236.50","235.00","237.95","231.00","27.25M","5.58%"
"31-05-2024","224.00","222.00","225.70","219.70","25.22M","1.93%"
"30-05-2024","219.75","221.65","223.50","218.30","10.16M","-0.86%"
"29-05-2024","221.65","223.00","229.00","221.10","20.86M","-2.29%"
"28-05-2024","226.85","227.75","230.80","224.30","27.42M","0.07%"
"27-05-2024","226.70","216.00","228.30","212.60","82.85M","7.59%"
"24-05-2024","210.70","212.75","219.45","207.00","44.28M","-0.78%"
"23-05-2024","212.35","209.65","213.70","206.15","18.19M","1.99%"
"22-05-2024","208.20","211.85","211.85","206.15","11.33M","-1.49%"
"21-05-2024","211.35","210.95","211.95","209.05","15.42M","0.36%"
"18-05-2024","210.60","208.90","211.10","208.35","4.14M","1.32%"
