"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","1,808.10","1,778.55","1,809.45","1,769.00","688.33K","2.17%"
"05-11-2024","1,769.75","1,755.95","1,789.35","1,755.95","1.17M","1.08%"
"04-11-2024","1,750.80","1,779.95","1,804.00","1,729.00","351.19K","-1.54%"
"01-11-2024","1,778.25","1,783.80","1,784.10","1,774.05","47.68K","0.45%"
"31-10-2024","1,770.35","1,749.95","1,775.00","1,740.00","514.16K","1.34%"
"30-10-2024","1,746.90","1,766.30","1,769.95","1,733.35","684.71K","-0.74%"
"29-10-2024","1,759.90","1,804.00","1,806.45","1,740.00","640.67K","-1.97%"
"28-10-2024","1,795.25","1,801.95","1,814.20","1,790.70","362.06K","-0.23%"
"25-10-2024","1,799.30","1,800.95","1,820.95","1,753.20","993.36K","0.41%"
"24-10-2024","1,791.95","1,809.05","1,810.00","1,773.45","591.03K","-0.07%"
"23-10-2024","1,793.15","1,790.15","1,809.00","1,766.55","819.05K","0.17%"
"22-10-2024","1,790.15","1,861.40","1,867.75","1,780.65","540.60K","-3.24%"
"21-10-2024","1,850.05","1,874.85","1,898.00","1,834.85","639.52K","-1.16%"
"18-10-2024","1,871.70","1,866.55","1,879.00","1,843.35","313.81K","0.48%"
"17-10-2024","1,862.75","1,884.00","1,890.60","1,848.20","528.72K","-1.68%"
"16-10-2024","1,894.60","1,904.50","1,907.10","1,882.05","183.56K","-0.52%"
"15-10-2024","1,904.50","1,906.90","1,917.55","1,893.15","289.32K","-0.05%"
"14-10-2024","1,905.40","1,895.00","1,914.00","1,884.30","551.59K","0.42%"
"11-10-2024","1,897.45","1,898.95","1,904.00","1,882.00","316.31K","-0.11%"
"10-10-2024","1,899.45","1,905.00","1,915.00","1,890.95","269.73K","-0.12%"
"09-10-2024","1,901.75","1,899.10","1,922.45","1,895.00","340.80K","0.14%"
"08-10-2024","1,899.10","1,885.00","1,905.95","1,880.50","313.47K","0.61%"
"07-10-2024","1,887.50","1,897.85","1,907.55","1,849.10","603.55K","-0.30%"
"04-10-2024","1,893.15","1,921.00","1,925.00","1,878.05","544.09K","-1.34%"
"03-10-2024","1,918.95","1,945.00","1,972.00","1,907.55","492.78K","-2.81%"
"01-10-2024","1,974.50","1,990.00","2,001.70","1,958.50","558.48K","-0.76%"
"30-09-2024","1,989.55","2,010.00","2,013.50","1,972.75","827.25K","-0.76%"
"27-09-2024","2,004.85","1,986.15","2,026.50","1,986.15","368.52K","-0.18%"
"26-09-2024","2,008.55","2,029.80","2,029.90","2,000.00","317.88K","-0.81%"
"25-09-2024","2,024.95","2,032.00","2,037.95","2,000.05","661.75K","0.80%"
"24-09-2024","2,008.95","1,986.50","2,015.95","1,973.95","1.24M","1.85%"
"23-09-2024","1,972.40","1,947.00","1,981.75","1,939.35","1.14M","2.31%"
"20-09-2024","1,927.90","1,923.00","1,942.00","1,903.00","518.57K","1.02%"
"19-09-2024","1,908.40","1,899.90","1,919.95","1,880.00","308.61K","0.63%"
"18-09-2024","1,896.40","1,909.10","1,919.95","1,875.00","273.49K","-0.67%"
"17-09-2024","1,909.10","1,910.00","1,916.45","1,900.50","196.81K","0.26%"
"16-09-2024","1,904.15","1,934.45","1,943.50","1,897.55","505.78K","-1.57%"
"13-09-2024","1,934.45","1,939.95","1,956.05","1,930.00","286.17K","-0.27%"
"12-09-2024","1,939.70","1,930.00","1,948.40","1,926.65","510.53K","0.86%"
"11-09-2024","1,923.10","1,952.00","1,960.00","1,914.30","335.57K","-0.98%"
"10-09-2024","1,942.05","1,925.95","1,952.00","1,917.00","352.81K","1.33%"
"09-09-2024","1,916.55","1,910.00","1,923.30","1,877.50","484.58K","0.90%"
"06-09-2024","1,899.50","1,934.95","1,939.90","1,896.00","312.99K","-1.74%"
"05-09-2024","1,933.10","1,947.00","1,947.00","1,916.85","368.39K","-0.14%"
"04-09-2024","1,935.80","1,910.75","1,943.50","1,910.75","256.23K","0.51%"
"03-09-2024","1,926.05","1,920.40","1,943.70","1,916.55","330.87K","0.50%"
"02-09-2024","1,916.50","1,934.65","1,937.70","1,910.00","420.36K","-0.15%"
"30-08-2024","1,919.35","1,945.00","1,945.00","1,914.00","441.02K","-0.59%"
"29-08-2024","1,930.80","1,958.45","1,961.95","1,912.35","281.38K","-1.39%"
