"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","7,602.50","7,458.05","7,675.00","7,445.80","17.09K","1.49%"
"05-11-2024","7,490.60","7,325.00","7,660.70","7,232.05","21.96K","1.89%"
"04-11-2024","7,351.45","7,550.00","7,550.00","7,215.55","11.79K","-2.64%"
"01-11-2024","7,550.95","7,600.00","7,600.00","7,460.70","3.68K","-0.97%"
"31-10-2024","7,624.90","7,305.00","7,695.70","7,243.45","42.95K","3.89%"
"30-10-2024","7,339.10","7,340.70","7,434.15","7,281.35","10.59K","-0.01%"
"29-10-2024","7,340.00","7,088.25","7,497.45","6,955.00","14.55K","3.95%"
"28-10-2024","7,060.80","7,142.20","7,160.75","7,038.10","8.45K","-1.14%"
"25-10-2024","7,142.20","7,155.05","7,205.30","7,025.00","22.29K","-0.18%"
"24-10-2024","7,155.25","7,223.25","7,229.10","7,110.00","7.09K","-0.94%"
"23-10-2024","7,223.25","7,248.00","7,295.00","7,075.00","17.54K","0.45%"
"22-10-2024","7,190.60","7,421.00","7,421.00","7,170.20","17.41K","-2.73%"
"21-10-2024","7,392.15","7,550.00","7,550.00","7,311.50","20.25K","-1.70%"
"18-10-2024","7,520.30","7,642.95","7,659.95","7,306.05","33.61K","-1.40%"
"17-10-2024","7,627.45","7,649.75","7,773.85","7,520.85","22.14K","-0.29%"
"16-10-2024","7,649.75","7,661.65","7,820.00","7,592.05","35.02K","0.44%"
"15-10-2024","7,615.95","7,778.30","7,778.30","7,575.00","25.01K","-1.06%"
"14-10-2024","7,697.45","7,800.00","7,914.95","7,613.00","41.69K","-1.18%"
"11-10-2024","7,789.20","7,789.95","7,951.00","7,722.10","60.39K","0.64%"
"10-10-2024","7,739.70","7,879.85","7,880.65","7,704.00","31.96K","-1.79%"
"09-10-2024","7,880.65","7,859.90","8,094.00","7,802.00","89.90K","1.23%"
"08-10-2024","7,784.60","7,700.00","7,935.00","7,661.90","153.69K","-0.78%"
"07-10-2024","7,845.55","7,442.65","8,139.00","7,440.00","1.12M","5.50%"
"04-10-2024","7,436.70","7,636.55","7,699.90","7,374.90","56.22K","-2.62%"
"03-10-2024","7,636.75","7,690.00","7,880.00","7,514.95","108.06K","-1.26%"
"01-10-2024","7,734.50","7,735.05","7,925.00","7,685.00","152.23K","-2.96%"
"30-09-2024","7,970.05","7,150.00","8,137.50","7,125.05","1.20M","10.92%"
"27-09-2024","7,185.60","7,300.00","7,355.80","7,155.55","36.76K","-2.11%"
"26-09-2024","7,340.65","7,533.00","7,533.00","7,301.00","46.23K","-2.50%"
"25-09-2024","7,528.85","7,635.05","7,777.60","7,465.75","355.93K","-4.43%"
"24-09-2024","7,878.25","6,900.00","8,040.00","6,851.30","1.60M","16.75%"
"23-09-2024","6,748.10","6,938.90","6,974.95","6,721.80","7.92K","-1.82%"
"20-09-2024","6,872.95","6,785.00","6,894.00","6,680.00","7.10K","2.33%"
"19-09-2024","6,716.25","6,731.45","6,785.10","6,529.60","6.39K","0.01%"
"18-09-2024","6,715.50","6,669.00","6,788.85","6,619.55","4.12K","0.87%"
"17-09-2024","6,657.45","6,749.80","6,749.80","6,603.55","6.11K","-1.33%"
"16-09-2024","6,747.35","6,722.05","6,832.35","6,722.05","5.17K","-0.77%"
"13-09-2024","6,799.60","6,915.00","6,915.00","6,771.45","4.16K","-0.41%"
"12-09-2024","6,827.90","6,951.10","6,966.40","6,801.35","10.02K","-1.08%"
"11-09-2024","6,902.75","6,874.80","6,995.00","6,846.20","8.41K","0.32%"
"10-09-2024","6,881.00","7,089.95","7,089.95","6,802.85","41.79K","1.30%"
"09-09-2024","6,792.85","6,878.05","6,878.05","6,719.65","7.58K","-1.33%"
"06-09-2024","6,884.40","6,875.40","7,309.90","6,845.60","67.59K","-0.08%"
"05-09-2024","6,889.65","6,950.20","7,123.45","6,867.55","20.40K","-0.15%"
"04-09-2024","6,900.20","6,880.00","7,060.00","6,844.50","16.78K","0.34%"
"03-09-2024","6,876.90","6,746.65","6,989.00","6,714.05","23.19K","2.52%"
"02-09-2024","6,707.85","6,594.95","6,795.00","6,367.55","13.44K","1.84%"
"30-08-2024","6,586.65","6,661.50","6,718.80","6,534.00","6.17K","-1.12%"
"29-08-2024","6,661.50","6,710.00","6,748.95","6,632.90","4.29K","-1.13%"
"28-08-2024","6,737.30","6,795.00","6,860.00","6,719.95","3.67K","-0.26%"
"27-08-2024","6,754.65","6,873.00","6,899.75","6,727.65","10.17K","-1.72%"
"26-08-2024","6,873.00","6,850.50","6,983.95","6,829.20","6.75K","0.33%"
"23-08-2024","6,850.35","6,780.35","6,915.65","6,780.35","12.26K","1.03%"
"22-08-2024","6,780.35","6,627.75","6,886.50","6,565.00","16.07K","2.30%"
"21-08-2024","6,627.75","6,599.90","6,671.45","6,540.80","5.01K","1.10%"
"20-08-2024","6,555.45","6,621.00","6,671.85","6,520.35","4.08K","-1.06%"
"19-08-2024","6,625.50","6,659.00","6,705.05","6,596.40","4.09K","-0.18%"
"16-08-2024","6,637.20","6,589.70","6,656.00","6,531.05","6.37K","1.03%"
"14-08-2024","6,569.50","6,574.35","6,639.80","6,464.65","10.81K","-0.39%"
"13-08-2024","6,595.25","7,196.40","7,196.40","6,525.00","40.89K","0.91%"
"12-08-2024","6,535.55","6,705.05","6,720.00","6,501.00","8.77K","-2.53%"
"09-08-2024","6,705.05","6,640.00","6,799.00","6,625.10","29.80K","1.24%"
"08-08-2024","6,622.65","7,100.05","7,250.05","6,540.00","79.68K","-6.60%"
"07-08-2024","7,090.80","7,115.00","7,133.00","6,995.00","7.96K","1.77%"
"06-08-2024","6,967.55","6,808.80","7,134.90","6,808.80","20.57K","2.33%"
"05-08-2024","6,808.80","6,985.00","6,985.00","6,701.00","17.11K","-3.28%"
"02-08-2024","7,039.80","7,000.25","7,099.00","6,925.00","9.24K","-0.07%"
"01-08-2024","7,044.45","7,108.05","7,123.70","6,968.85","7.38K","0.11%"
"31-07-2024","7,036.45","6,931.00","7,180.00","6,931.00","19.70K","0.64%"
"30-07-2024","6,991.75","7,027.85","7,062.45","6,953.85","9.02K","-0.51%"
"29-07-2024","7,027.85","7,181.00","7,234.35","6,975.40","18.68K","-2.02%"
"26-07-2024","7,172.60","6,997.95","7,388.60","6,946.95","65.76K","3.36%"
"25-07-2024","6,939.65","6,939.90","7,085.00","6,888.00","22.66K","-2.01%"
"24-07-2024","7,081.70","7,099.70","7,189.00","6,875.10","117.81K","0.20%"
"23-07-2024","7,067.60","6,249.80","7,361.95","6,225.00","354.54K","13.14%"
"22-07-2024","6,247.05","6,289.05","6,338.00","6,230.00","11.97K","-1.59%"
"19-07-2024","6,347.80","6,469.80","6,510.30","6,307.40","7.63K","-1.62%"
"18-07-2024","6,452.05","6,565.80","6,615.55","6,431.95","13.57K","-1.73%"
"16-07-2024","6,565.80","6,610.70","6,850.00","6,551.00","15.69K","-0.68%"
"15-07-2024","6,610.75","6,750.20","6,790.00","6,575.55","8.78K","-2.07%"
"12-07-2024","6,750.25","6,878.35","6,896.60","6,700.00","6.22K","-1.86%"
"11-07-2024","6,878.35","6,815.00","6,999.90","6,741.50","14.22K","1.85%"
"10-07-2024","6,753.35","6,932.55","6,932.55","6,720.50","8.98K","-2.47%"
"09-07-2024","6,924.55","6,800.00","6,949.00","6,696.25","23.12K","2.77%"
"08-07-2024","6,737.85","6,860.00","6,860.00","6,725.55","16.79K","-2.29%"
"05-07-2024","6,895.75","7,190.00","7,190.00","6,849.15","65.58K","-3.27%"
"04-07-2024","7,128.85","6,399.00","7,572.20","6,398.10","458.35K","11.42%"
"03-07-2024","6,398.10","6,369.00","6,514.90","6,350.00","15.55K","0.54%"
"02-07-2024","6,363.90","6,408.25","6,540.90","6,300.30","16.74K","-0.46%"
"01-07-2024","6,393.40","6,225.00","6,482.00","6,150.00","9.89K","2.28%"
"28-06-2024","6,250.75","6,429.00","6,999.00","6,206.25","26.12K","-2.02%"
"27-06-2024","6,379.85","6,435.60","6,444.00","6,280.00","7.39K","-0.14%"
"26-06-2024","6,388.95","6,280.05","6,449.95","6,069.70","12.60K","0.95%"
"25-06-2024","6,328.95","6,369.00","6,385.00","6,277.65","7.95K","0.18%"
"24-06-2024","6,317.55","6,340.25","6,490.00","6,252.50","11.32K","-0.62%"
"21-06-2024","6,357.10","6,380.00","6,500.00","6,330.00","16.24K","-0.40%"
"20-06-2024","6,382.40","6,380.00","6,444.75","6,345.35","2.72K","0.05%"
"19-06-2024","6,379.45","6,535.90","6,538.95","6,302.00","16.94K","-0.93%"
"18-06-2024","6,439.30","6,549.00","6,549.00","6,380.25","4.09K","-0.30%"
"14-06-2024","6,458.55","6,320.00","6,625.00","6,320.00","14.50K","1.34%"
"13-06-2024","6,373.40","6,349.80","6,470.10","6,259.55","6.03K","0.49%"
"12-06-2024","6,342.50","6,399.00","6,399.00","6,303.15","3.79K","0.15%"
"11-06-2024","6,332.85","6,239.80","6,488.30","6,219.50","11.04K","1.63%"
