"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","442.25","438.20","443.45","435.30","1.52M","0.68%"
"05-11-2024","439.25","438.80","439.25","439.25","777.86K","0.08%"
"04-11-2024","438.90","442.05","443.75","434.80","619.00K","-1.35%"
"01-11-2024","444.90","446.25","450.60","441.35","126.17K","0.07%"
"31-10-2024","444.60","436.95","446.00","434.80","858.43K","1.58%"
"30-10-2024","437.70","430.65","442.95","430.65","739.06K","1.64%"
"29-10-2024","430.65","439.15","441.70","427.00","739.12K","-1.82%"
"28-10-2024","438.65","452.75","452.75","437.00","1.13M","-2.25%"
"25-10-2024","448.75","439.00","464.00","437.05","6.63M","1.20%"
"24-10-2024","443.45","430.00","457.90","422.35","22.41M","10.31%"
"23-10-2024","402.00","407.00","411.25","396.20","702.23K","-0.79%"
"22-10-2024","405.20","425.00","428.80","402.35","1.02M","-5.39%"
"21-10-2024","428.30","424.00","430.65","418.15","662.80K","0.72%"
"18-10-2024","425.25","415.90","427.10","411.00","486.96K","1.33%"
"17-10-2024","419.65","428.00","433.00","418.10","408.95K","-1.94%"
"16-10-2024","427.95","422.00","436.35","420.80","1.02M","0.48%"
"15-10-2024","425.90","416.80","428.45","413.05","723.94K","2.18%"
"14-10-2024","416.80","420.00","423.15","414.05","255.44K","-0.81%"
"11-10-2024","420.20","418.00","420.95","413.45","281.67K","0.45%"
"10-10-2024","418.30","421.00","426.80","417.00","294.38K","-0.59%"
"09-10-2024","420.80","420.05","425.00","416.05","484.63K","0.59%"
"08-10-2024","418.35","405.85","422.00","402.55","753.99K","3.08%"
"07-10-2024","405.85","412.00","419.85","401.70","787.18K","-1.60%"
"04-10-2024","412.45","421.00","421.00","407.00","806.03K","-2.33%"
"03-10-2024","422.30","412.05","423.20","411.00","765.77K","1.19%"
"01-10-2024","417.35","415.00","419.85","411.80","328.03K","0.54%"
"30-09-2024","415.10","414.95","416.70","407.10","326.00K","-0.11%"
"27-09-2024","415.55","411.10","417.20","409.05","658.59K","1.08%"
"26-09-2024","411.10","420.30","421.05","408.10","637.46K","-2.18%"
"25-09-2024","420.25","421.50","425.00","417.90","586.00K","-0.15%"
"24-09-2024","420.90","423.00","424.85","418.00","621.91K","-0.34%"
"23-09-2024","422.35","427.65","431.85","421.00","711.95K","0.26%"
"20-09-2024","421.25","419.85","425.90","416.95","852.80K","0.96%"
"19-09-2024","417.25","437.75","439.00","410.40","2.53M","-0.88%"
"18-09-2024","420.95","413.00","429.35","408.70","1.54M","1.70%"
"17-09-2024","413.90","416.95","419.05","408.40","704.49K","-0.67%"
"16-09-2024","416.70","420.00","420.00","412.15","536.39K","0.24%"
"13-09-2024","415.70","419.10","420.75","414.00","856.71K","-0.31%"
"12-09-2024","417.00","410.45","421.00","409.75","1.71M","2.08%"
"11-09-2024","408.50","410.00","411.25","406.70","379.98K","-0.40%"
"10-09-2024","410.15","409.25","413.95","406.50","412.73K","0.47%"
"09-09-2024","408.25","415.00","415.00","405.30","1.05M","-1.10%"
"06-09-2024","412.80","407.00","422.50","405.10","2.18M","1.67%"
"05-09-2024","406.00","407.70","408.00","403.80","382.10K","-0.21%"
"04-09-2024","406.85","400.30","409.00","398.75","1.09M","1.64%"
"03-09-2024","400.30","402.00","407.95","399.45","410.57K","-0.47%"
"02-09-2024","402.20","408.00","408.60","401.00","892.06K","-1.11%"
"30-08-2024","406.70","402.00","411.80","399.35","1.99M","1.13%"
"29-08-2024","402.15","410.20","412.30","400.10","925.30K","-1.89%"
"28-08-2024","409.90","407.05","417.50","407.05","488.15K","-0.09%"
"27-08-2024","410.25","406.90","415.00","399.70","1.25M","1.28%"
"26-08-2024","405.05","399.05","408.15","397.60","1.27M","1.17%"
"23-08-2024","400.35","399.00","403.65","397.00","1.55M","-0.24%"
"22-08-2024","401.30","399.00","402.70","395.25","793.89K","0.04%"
"21-08-2024","401.15","393.40","402.00","388.80","1.03M","1.97%"
"20-08-2024","393.40","398.00","398.40","388.25","842.77K","-0.63%"
"19-08-2024","395.90","393.00","396.85","389.80","496.83K","1.23%"
"16-08-2024","391.10","390.45","392.55","384.25","552.64K","0.76%"
"14-08-2024","388.15","391.50","395.00","382.30","945.10K","-0.47%"
"13-08-2024","390.00","386.15","392.40","381.05","1.98M","1.17%"
"12-08-2024","385.50","408.50","408.50","383.10","2.50M","-5.53%"
"09-08-2024","408.05","403.55","410.45","392.65","7.77M","2.55%"
"08-08-2024","397.90","394.55","400.75","390.00","2.31M","0.61%"
"07-08-2024","395.50","383.70","397.40","375.00","3.49M","4.35%"
"06-08-2024","379.00","378.00","383.60","374.30","3.12M","2.84%"
"05-08-2024","368.55","367.00","372.15","358.10","2.62M","-0.97%"
"02-08-2024","372.15","368.00","379.20","359.25","3.24M","1.07%"
"01-08-2024","368.20","362.50","373.60","354.90","9.61M","6.09%"
"31-07-2024","347.05","349.15","349.95","344.05","711.86K","-0.29%"
"30-07-2024","348.05","342.00","349.50","335.50","3.09M","1.77%"
"29-07-2024","342.00","332.15","344.70","332.15","1.87M","3.04%"
"26-07-2024","331.90","325.00","336.15","324.05","804.50K","1.95%"
"25-07-2024","325.55","320.00","328.90","319.50","1.65M","1.15%"
"24-07-2024","321.85","321.30","325.55","319.45","1.37M","-1.24%"
"23-07-2024","325.90","332.00","332.60","321.00","748.95K","-0.63%"
"22-07-2024","327.95","317.00","329.60","315.50","991.32K","1.93%"
"19-07-2024","321.75","333.00","333.00","316.30","2.33M","-3.58%"
"18-07-2024","333.70","334.95","335.60","330.50","1.68M","-0.52%"
"16-07-2024","335.45","334.20","337.00","332.05","1.09M","0.06%"
"15-07-2024","335.25","339.60","339.60","332.80","696.70K","-0.55%"
"12-07-2024","337.10","339.70","340.50","335.25","689.16K","-0.63%"
"11-07-2024","339.25","343.95","343.95","338.50","569.38K","-0.80%"
"10-07-2024","342.00","341.10","344.90","338.50","961.25K","0.32%"
"09-07-2024","340.90","342.05","342.05","336.10","1.17M","0.24%"
"08-07-2024","340.10","341.95","342.10","335.60","982.07K","0.00%"
"05-07-2024","340.10","347.45","348.00","339.60","1.74M","-1.45%"
"04-07-2024","345.10","346.40","349.90","343.35","939.19K","-0.48%"
"03-07-2024","346.75","351.05","351.10","345.50","643.19K","-0.87%"
"02-07-2024","349.80","352.70","353.65","345.30","1.06M","-0.23%"
"01-07-2024","350.60","347.90","353.95","344.05","1.54M","1.14%"
"28-06-2024","346.65","346.00","350.30","343.40","1.95M","-0.06%"
"27-06-2024","346.85","353.25","353.95","342.20","2.19M","-1.52%"
