"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","616.05","604.00","616.75","582.60","61.73K","2.04%"
"05-11-2024","603.75","602.00","603.75","603.75","37.89K","0.17%"
"04-11-2024","602.75","630.05","637.30","600.80","89.91K","-3.89%"
"01-11-2024","627.15","628.95","634.70","620.05","115.78K","3.30%"
"31-10-2024","607.10","587.80","616.50","587.80","40.53K","3.37%"
"30-10-2024","587.30","583.70","599.00","581.00","58.02K","1.11%"
"29-10-2024","580.85","575.00","595.70","567.90","48.46K","2.38%"
"28-10-2024","567.35","582.85","585.00","555.00","130.90K","-1.59%"
"25-10-2024","576.50","603.80","606.45","573.55","115.18K","-4.51%"
"24-10-2024","603.70","611.15","617.45","601.00","41.80K","0.76%"
"23-10-2024","599.15","590.00","608.00","566.80","149.20K","0.43%"
"22-10-2024","596.60","624.05","629.40","596.60","53.57K","-5.00%"
"21-10-2024","628.00","628.05","659.25","622.30","37.69K","-0.01%"
"18-10-2024","628.05","635.65","638.00","625.00","33.57K","-2.08%"
"17-10-2024","641.40","644.75","645.10","633.00","24.27K","-0.27%"
"16-10-2024","643.15","642.00","653.85","639.05","45.69K","1.48%"
"15-10-2024","633.75","628.00","639.95","625.00","49.55K","0.61%"
"14-10-2024","629.90","635.05","636.95","625.00","30.88K","-0.28%"
"11-10-2024","631.65","654.90","654.90","629.00","27.81K","-1.63%"
"10-10-2024","642.10","644.35","654.65","636.05","25.20K","-0.35%"
"09-10-2024","644.35","631.10","654.90","631.10","37.76K","2.55%"
"08-10-2024","628.35","605.00","635.60","595.00","45.66K","1.40%"
"07-10-2024","619.70","650.00","675.00","619.10","58.55K","-4.90%"
"04-10-2024","651.65","649.90","659.00","643.00","29.77K","0.15%"
"03-10-2024","650.70","650.10","695.00","638.05","52.92K","-2.87%"
"01-10-2024","669.90","644.90","669.90","626.05","63.72K","5.00%"
"30-09-2024","638.00","650.00","650.00","632.95","32.06K","0.11%"
"27-09-2024","637.30","644.60","655.00","635.00","29.08K","-1.13%"
"26-09-2024","644.60","640.05","655.00","640.05","21.44K","0.31%"
"25-09-2024","642.60","635.05","653.00","635.05","24.87K","-0.28%"
"24-09-2024","644.40","652.60","659.70","642.00","21.01K","-0.75%"
"23-09-2024","649.25","650.00","660.00","640.00","21.79K","0.15%"
"20-09-2024","648.25","654.95","665.00","635.10","34.49K","-0.56%"
"19-09-2024","651.90","660.00","671.00","642.00","33.37K","-1.76%"
"18-09-2024","663.60","663.95","669.50","660.00","39.65K","-0.05%"
"17-09-2024","663.95","678.00","678.00","660.10","24.71K","-1.17%"
"16-09-2024","671.80","680.00","680.00","660.00","20.87K","0.39%"
"13-09-2024","669.20","675.00","680.00","667.00","33.70K","0.45%"
"12-09-2024","666.20","675.00","679.90","661.00","26.50K","0.02%"
"11-09-2024","666.10","684.90","684.90","662.10","33.28K","-0.81%"
"10-09-2024","671.55","664.65","678.00","664.65","29.65K","1.63%"
"09-09-2024","660.75","698.85","698.85","655.00","75.46K","-3.27%"
"06-09-2024","683.10","701.00","716.50","678.00","60.52K","-3.31%"
"05-09-2024","706.50","713.55","713.55","691.00","40.61K","-0.99%"
"04-09-2024","713.55","698.00","724.00","670.30","106.68K","2.08%"
"03-09-2024","699.00","697.00","699.00","680.00","92.64K","4.99%"
"02-09-2024","665.75","655.00","665.75","650.00","39.98K","5.00%"
"30-08-2024","634.05","637.10","649.00","633.10","16.36K","-0.48%"
"29-08-2024","637.10","648.00","648.00","635.00","22.18K","-1.26%"
"28-08-2024","645.25","642.90","651.00","642.10","24.36K","-0.10%"
"27-08-2024","645.90","648.00","654.90","640.00","26.57K","0.12%"
"26-08-2024","645.15","637.15","654.90","635.90","32.89K","1.45%"
"23-08-2024","635.90","642.80","648.80","626.00","17.39K","-1.07%"
"22-08-2024","642.80","645.00","654.90","640.00","24.73K","-0.31%"
"21-08-2024","644.80","652.05","654.00","640.00","29.17K","-0.65%"
"20-08-2024","649.05","665.00","665.00","641.70","18.16K","-1.40%"
"19-08-2024","658.25","652.10","665.00","640.95","26.62K","2.28%"
"16-08-2024","643.60","643.90","659.00","630.10","31.91K","0.72%"
"14-08-2024","639.00","634.00","644.90","610.00","37.15K","0.74%"
"13-08-2024","634.30","661.00","685.00","631.95","71.80K","-4.65%"
"12-08-2024","665.20","685.00","685.00","660.00","41.70K","-3.04%"
"09-08-2024","686.05","686.70","691.70","670.00","30.88K","1.40%"
"08-08-2024","676.60","675.00","694.00","660.00","53.88K","1.50%"
"07-08-2024","666.60","645.90","666.60","645.90","46.30K","4.99%"
"06-08-2024","634.90","667.00","688.00","633.55","74.37K","-4.80%"
"05-08-2024","666.90","670.00","694.00","666.90","74.73K","-5.00%"
"02-08-2024","702.00","700.00","712.00","685.10","46.93K","-1.40%"
"01-08-2024","712.00","724.80","725.00","705.00","49.63K","-1.77%"
"31-07-2024","724.80","731.10","746.55","720.00","62.98K","-0.25%"
"30-07-2024","726.60","723.00","735.00","718.95","48.36K","1.11%"
"29-07-2024","718.65","729.00","738.00","712.45","36.20K","-0.43%"
"26-07-2024","721.75","716.80","726.00","705.00","45.13K","1.29%"
"25-07-2024","712.55","710.00","720.00","703.20","40.22K","-0.52%"
"24-07-2024","716.30","706.00","738.00","702.00","95.67K","1.49%"
"23-07-2024","705.80","715.95","715.95","680.15","75.59K","-1.42%"
"22-07-2024","715.95","682.00","720.10","682.00","65.86K","3.27%"
"19-07-2024","693.30","713.90","714.00","680.75","100.80K","-2.41%"
"18-07-2024","710.40","732.80","732.80","703.00","85.52K","-3.06%"
"16-07-2024","732.85","749.50","768.00","728.45","67.54K","-1.70%"
