"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","610.95","613.15","619.20","606.70","2.03M","-0.46%"
"05-11-2024","613.80","624.95","626.85","605.25","2.13M","-1.86%"
"04-11-2024","625.45","619.95","628.40","616.40","3.69M","1.31%"
"01-11-2024","617.35","617.90","621.00","615.65","180.97K","0.80%"
"31-10-2024","612.45","608.85","616.00","606.15","2.13M","0.50%"
"30-10-2024","609.40","619.95","625.65","604.00","5.25M","-1.95%"
"29-10-2024","621.50","621.00","623.50","611.85","1.36M","0.24%"
"28-10-2024","620.00","610.00","622.65","602.65","3.37M","2.56%"
"25-10-2024","604.50","636.50","636.50","599.25","6.95M","-6.37%"
"24-10-2024","645.65","660.00","682.90","641.70","5.12M","-0.98%"
"23-10-2024","652.05","638.50","655.45","630.05","2.50M","2.12%"
"22-10-2024","638.50","664.85","669.40","636.10","1.32M","-3.96%"
"21-10-2024","664.85","684.35","688.75","661.25","2.16M","-2.75%"
"18-10-2024","683.65","683.05","687.50","676.50","920.59K","-0.48%"
"17-10-2024","686.95","699.00","702.40","684.30","323.93K","-1.36%"
"16-10-2024","696.45","691.10","698.35","684.40","1.33M","0.09%"
"15-10-2024","695.80","704.00","704.95","690.65","527.54K","-0.74%"
"14-10-2024","701.00","693.60","708.10","682.90","1.87M","1.54%"
"11-10-2024","690.40","703.80","706.55","688.75","801.61K","-1.36%"
"10-10-2024","699.95","711.50","714.90","698.10","1.06M","-0.76%"
"09-10-2024","705.30","728.95","731.85","703.30","3.30M","-3.03%"
"08-10-2024","727.35","733.00","735.60","721.50","1.29M","-0.77%"
"07-10-2024","733.00","726.10","742.45","722.00","3.96M","1.95%"
"04-10-2024","718.95","727.00","744.65","716.90","2.16M","-1.74%"
"03-10-2024","731.70","723.05","735.65","723.05","1.82M","-0.14%"
"01-10-2024","732.70","740.05","748.15","730.25","1.43M","-1.01%"
"30-09-2024","740.20","720.00","743.90","720.00","2.37M","1.24%"
"27-09-2024","731.10","731.10","735.20","726.50","2.79M","-0.66%"
"26-09-2024","735.95","732.20","738.00","729.50","2.16M","0.62%"
"25-09-2024","731.40","736.20","741.90","727.65","2.60M","-0.65%"
"24-09-2024","736.20","736.00","740.40","730.30","1.68M","0.06%"
"23-09-2024","735.75","732.00","738.30","723.85","1.56M","0.61%"
"20-09-2024","731.30","752.50","754.90","729.15","2.77M","-2.82%"
"19-09-2024","752.50","730.00","755.40","725.00","6.13M","3.90%"
"18-09-2024","724.25","720.00","727.65","715.20","1.82M","0.67%"
"17-09-2024","719.45","717.80","723.40","714.45","969.84K","0.07%"
"16-09-2024","718.95","725.50","727.05","710.55","1.58M","-0.55%"
"13-09-2024","722.90","723.00","728.65","717.25","1.23M","0.33%"
"12-09-2024","720.50","727.85","727.85","717.80","969.18K","-0.24%"
"11-09-2024","722.25","718.20","726.95","713.15","2.75M","0.56%"
"10-09-2024","718.20","720.95","724.50","713.00","2.15M","0.56%"
"09-09-2024","714.20","705.00","716.75","696.85","3.86M","1.59%"
"06-09-2024","703.00","702.00","712.75","700.00","3.84M","0.01%"
"05-09-2024","702.90","702.00","722.85","694.25","7.49M","2.20%"
"04-09-2024","687.75","680.00","692.60","671.10","5.34M","2.00%"
"03-09-2024","674.25","679.00","687.85","672.00","4.01M","-0.96%"
"02-09-2024","680.80","684.95","693.80","679.20","3.22M","-1.15%"
"30-08-2024","688.70","641.50","697.00","641.50","16.43M","7.55%"
"29-08-2024","640.35","631.00","649.40","630.20","3.77M","1.23%"
"28-08-2024","632.55","633.15","636.75","625.85","1.98M","-0.40%"
"27-08-2024","635.10","639.25","639.25","632.10","1.24M","0.26%"
"26-08-2024","633.45","631.75","639.05","629.00","2.56M","1.22%"
"23-08-2024","625.80","630.25","636.00","622.90","1.10M","-1.20%"
"22-08-2024","633.40","632.00","637.35","629.30","1.21M","1.31%"
"21-08-2024","625.20","618.00","627.50","615.70","3.11M","0.65%"
"20-08-2024","621.15","621.40","626.05","618.65","2.03M","0.96%"
"19-08-2024","615.25","614.10","622.55","610.00","2.27M","0.33%"
"16-08-2024","613.20","607.00","614.00","605.80","1.27M","1.68%"
"14-08-2024","603.05","612.00","615.85","600.25","1.82M","-1.45%"
"13-08-2024","611.95","609.75","615.45","606.90","2.33M","0.36%"
"12-08-2024","609.75","620.10","621.40","605.15","5.71M","-2.59%"
"09-08-2024","625.95","635.00","636.00","623.25","1.15M","-0.02%"
"08-08-2024","626.10","629.00","635.30","624.55","1.37M","-0.75%"
"07-08-2024","630.85","640.50","643.90","626.30","2.59M","-0.79%"
"06-08-2024","635.90","635.30","644.90","633.00","1.64M","0.62%"
"05-08-2024","632.00","629.90","637.90","622.30","2.17M","-0.88%"
"02-08-2024","637.60","638.00","650.95","635.50","3.04M","-1.11%"
"01-08-2024","644.75","646.75","659.85","641.95","1.64M","-0.20%"
"31-07-2024","646.05","653.45","653.45","637.35","3.72M","-0.83%"
"30-07-2024","651.45","652.00","661.50","649.15","2.01M","0.22%"
"29-07-2024","650.05","655.00","658.10","644.35","4.79M","-0.05%"
"26-07-2024","650.40","621.00","652.35","620.55","4.56M","2.97%"
"25-07-2024","631.65","657.30","661.75","625.55","2.40M","-4.23%"
"24-07-2024","659.55","656.25","663.30","647.25","5.46M","0.50%"
"23-07-2024","656.25","657.00","658.90","643.45","2.32M","0.13%"
"22-07-2024","655.40","628.00","660.40","625.00","6.53M","3.43%"
"19-07-2024","633.65","630.50","635.35","625.15","1.32M","0.09%"
"18-07-2024","633.05","635.00","638.50","630.00","2.22M","-0.22%"
"16-07-2024","634.45","644.00","645.70","633.20","2.09M","-1.00%"
"15-07-2024","640.85","645.00","648.15","638.25","1.86M","-0.46%"
"12-07-2024","643.80","634.00","648.90","633.05","2.04M","1.64%"
"11-07-2024","633.40","626.00","635.95","624.75","1.71M","0.55%"
"10-07-2024","629.95","640.60","642.95","624.55","6.04M","-1.58%"
"09-07-2024","640.05","642.70","647.05","638.15","1.44M","-0.41%"
"08-07-2024","642.70","667.95","668.25","639.10","6.19M","-4.45%"
"05-07-2024","672.60","674.00","678.20","668.15","1.23M","-0.13%"
"04-07-2024","673.45","669.35","680.00","661.80","1.22M","1.08%"
"03-07-2024","666.25","675.95","682.20","663.00","3.89M","-1.05%"
"02-07-2024","673.30","674.55","679.55","668.25","1.33M","-0.08%"
"01-07-2024","673.85","672.05","676.70","665.00","1.16M","0.27%"
"28-06-2024","672.05","670.10","674.90","668.15","1.93M","0.89%"
"27-06-2024","666.10","691.00","696.00","661.30","4.95M","-3.81%"
"26-06-2024","692.45","682.20","700.95","674.75","6.73M","1.50%"
"25-06-2024","682.20","683.00","690.40","673.00","4.46M","0.40%"
"24-06-2024","679.50","660.25","682.75","638.50","6.99M","1.78%"
"21-06-2024","667.60","669.95","672.65","666.00","3.78M","0.13%"
"20-06-2024","666.75","659.90","672.45","657.10","2.05M","1.49%"
"19-06-2024","656.95","663.00","676.00","650.00","19.44M","-1.14%"
"18-06-2024","664.50","663.45","671.00","660.55","2.23M","0.49%"
"14-06-2024","661.25","672.65","673.15","658.00","2.85M","-1.03%"
"13-06-2024","668.15","667.05","678.95","666.00","1.79M","0.16%"
"12-06-2024","667.05","674.85","679.60","663.30","2.70M","-0.68%"
"11-06-2024","671.60","671.00","677.00","663.05","1.94M","0.32%"
"10-06-2024","669.45","669.20","679.50","648.00","5.31M","0.07%"
"07-06-2024","669.00","663.00","670.50","660.40","1.34M","1.28%"
"06-06-2024","660.55","670.00","678.50","654.00","2.36M","-1.34%"
"05-06-2024","669.55","632.00","688.90","623.25","8.90M","6.49%"
"04-06-2024","628.75","649.95","649.95","605.90","3.58M","-2.45%"
"03-06-2024","644.55","663.40","667.90","641.80","7.16M","-1.31%"
"31-05-2024","653.10","639.85","655.35","639.85","24.74M","2.27%"
"30-05-2024","638.60","646.90","654.35","636.10","3.97M","-1.50%"
"29-05-2024","648.30","636.35","652.80","633.10","5.14M","1.88%"
"28-05-2024","636.35","638.45","647.65","630.55","3.80M","0.28%"
"27-05-2024","634.60","624.80","641.75","621.00","5.54M","2.25%"
"24-05-2024","620.65","617.80","623.10","616.15","1.97M","0.19%"
"23-05-2024","619.45","607.80","621.25","605.30","2.26M","2.68%"
"22-05-2024","603.30","618.80","620.55","600.55","4.89M","-1.98%"
"21-05-2024","615.50","625.00","626.00","612.45","2.52M","-1.41%"
"18-05-2024","624.30","624.30","624.30","624.30","","-0.01%"
"17-05-2024","624.35","625.25","626.40","621.65","1.76M","0.43%"
"16-05-2024","621.65","626.45","628.50","615.00","1.77M","-0.21%"
"15-05-2024","622.95","642.45","648.90","616.85","4.65M","-2.47%"
"14-05-2024","638.70","635.10","639.90","627.50","1.21M","0.77%"
"13-05-2024","633.85","635.90","636.00","618.25","2.41M","-0.20%"
"10-05-2024","635.10","630.00","636.00","625.70","1.60M","1.14%"
"09-05-2024","627.95","627.00","636.30","622.05","1.86M","0.50%"
"08-05-2024","624.85","630.15","635.20","620.10","3.72M","-0.84%"
"07-05-2024","630.15","634.00","645.00","626.65","1.79M","-0.59%"
"06-05-2024","633.90","648.00","655.45","631.30","2.20M","-1.72%"
"03-05-2024","645.00","648.00","655.55","639.50","3.66M","-0.05%"
"02-05-2024","645.30","636.40","649.00","634.00","4.31M","1.85%"
"30-04-2024","633.60","644.10","645.30","623.55","7.59M","-0.68%"
"29-04-2024","637.95","625.50","647.65","612.25","10.20M","6.36%"
"26-04-2024","599.80","613.10","613.40","598.15","2.42M","-1.49%"
"25-04-2024","608.85","613.90","633.60","605.75","6.26M","-1.63%"
"24-04-2024","618.95","613.70","622.05","605.35","5.32M","1.55%"
"23-04-2024","609.50","614.00","616.00","607.35","3.06M","0.31%"
"22-04-2024","607.60","623.80","623.80","603.65","4.36M","-1.16%"
"19-04-2024","614.70","617.85","618.95","607.60","2.30M","-1.03%"
"18-04-2024","621.10","620.50","631.00","618.00","3.27M","1.26%"
"16-04-2024","613.40","629.70","629.70","608.55","4.44M","-2.99%"
"15-04-2024","632.30","620.00","635.55","618.50","2.87M","-1.01%"
"12-04-2024","638.75","630.00","644.00","627.30","2.75M","0.68%"
"10-04-2024","634.45","634.00","637.95","629.50","2.23M","0.35%"
"09-04-2024","632.25","634.00","645.50","629.10","1.78M","-0.26%"
"08-04-2024","633.90","637.20","637.20","625.80","3.40M","-0.13%"
"05-04-2024","634.75","624.95","637.00","614.40","4.50M","2.22%"
"04-04-2024","620.95","620.00","639.95","618.50","12.03M","2.63%"
"03-04-2024","605.05","590.00","607.90","576.65","11.12M","2.27%"
"02-04-2024","591.60","593.00","598.20","583.25","4.02M","0.38%"
"01-04-2024","589.35","570.90","591.35","567.00","4.22M","4.31%"
"28-03-2024","565.00","563.85","570.45","561.00","2.78M","0.62%"
"27-03-2024","561.50","564.80","566.80","557.20","4.92M","-0.27%"
"26-03-2024","563.00","564.25","568.80","561.70","1.57M","-0.22%"
"22-03-2024","564.25","564.00","568.90","561.25","2.31M","-0.30%"
"21-03-2024","565.95","568.40","571.90","563.55","2.03M","1.08%"
"20-03-2024","559.90","562.20","568.50","553.70","5.08M","-0.04%"
"19-03-2024","560.15","576.50","582.40","558.05","3.11M","-1.70%"
"18-03-2024","569.85","581.90","583.75","567.70","3.33M","-1.45%"
"15-03-2024","578.25","583.90","587.30","575.10","2.18M","-0.98%"
"14-03-2024","583.95","573.00","587.85","569.00","2.14M","1.22%"
"13-03-2024","576.90","578.00","586.45","570.90","4.61M","0.15%"
"12-03-2024","576.05","586.80","590.85","574.65","2.66M","-1.40%"
"11-03-2024","584.20","572.00","585.35","569.30","4.58M","2.27%"
"07-03-2024","571.25","570.00","575.95","565.50","2.33M","0.79%"
"06-03-2024","566.80","575.35","578.20","564.45","3.66M","-0.87%"
"05-03-2024","571.75","589.40","590.00","571.00","2.73M","-1.44%"
"04-03-2024","580.10","578.05","583.90","575.95","3.88M","0.36%"
"02-03-2024","578.00","577.00","583.70","574.05","329.64K","0.43%"
"01-03-2024","575.55","574.40","579.80","570.45","1.67M","1.00%"
"29-02-2024","569.85","573.90","576.45","564.45","3.31M","-0.23%"
"28-02-2024","571.15","594.00","594.00","567.80","3.00M","-3.26%"
"27-02-2024","590.40","588.45","595.70","586.30","1.68M","0.72%"
"26-02-2024","586.20","599.95","603.90","583.85","6.64M","-2.29%"
"23-02-2024","599.95","596.45","606.95","593.40","3.45M","1.26%"
"22-02-2024","592.50","588.55","594.00","583.60","2.32M","0.74%"
"21-02-2024","588.15","602.55","602.55","584.40","3.18M","-1.83%"
"20-02-2024","599.10","602.40","610.40","597.85","2.94M","-0.04%"
"19-02-2024","599.35","584.50","603.90","581.70","4.84M","3.03%"
"16-02-2024","581.75","582.10","585.85","579.00","2.15M","-0.03%"
"15-02-2024","581.90","595.00","595.00","580.45","2.11M","-1.50%"
"14-02-2024","590.75","589.95","594.75","580.20","4.56M","-0.51%"
"13-02-2024","593.80","600.00","602.45","587.35","3.19M","-0.15%"
"12-02-2024","594.70","608.00","609.45","585.50","5.18M","-1.52%"
"09-02-2024","603.90","600.00","605.75","592.25","2.34M","1.39%"
"08-02-2024","595.60","621.00","625.80","594.00","3.86M","-3.76%"
"07-02-2024","618.90","620.40","623.45","612.10","2.77M","0.39%"
"06-02-2024","616.50","622.60","622.60","613.00","1.71M","-0.98%"
"05-02-2024","622.60","628.95","630.00","616.70","5.68M","-1.02%"
"02-02-2024","629.00","638.75","645.70","627.60","2.69M","-0.94%"
"01-02-2024","634.95","639.85","644.00","632.30","2.01M","-0.26%"
"31-01-2024","636.60","628.00","640.45","620.80","5.58M","1.82%"
"30-01-2024","625.25","630.00","631.85","613.50","7.44M","-0.18%"
"29-01-2024","626.35","670.00","670.00","624.05","21.67M","-11.51%"
"25-01-2024","707.85","740.00","741.45","703.20","5.48M","-3.99%"
"24-01-2024","737.25","716.50","739.00","709.05","2.55M","2.90%"
"23-01-2024","716.50","755.00","758.00","709.05","3.08M","-4.47%"
"20-01-2024","750.00","737.65","755.40","736.00","1.93M","2.66%"
"19-01-2024","730.55","740.00","746.15","724.50","4.47M","-0.48%"
"18-01-2024","734.10","754.35","758.75","732.85","2.68M","-3.08%"
"17-01-2024","757.40","759.95","783.95","744.20","5.35M","-2.34%"
"16-01-2024","775.55","772.05","781.90","770.75","1.36M","0.45%"
"15-01-2024","772.05","790.80","792.00","770.05","1.42M","-2.07%"
"12-01-2024","788.35","783.00","791.00","772.00","1.34M","1.51%"
"11-01-2024","776.60","780.00","786.90","772.75","922.88K","0.54%"
"10-01-2024","772.45","770.45","781.45","764.40","2.83M","-0.62%"
"09-01-2024","777.30","813.40","813.40","775.00","2.71M","-3.04%"
"08-01-2024","801.70","794.00","813.20","792.00","2.50M","0.08%"
"05-01-2024","801.05","805.00","809.70","791.55","2.34M","0.46%"
"04-01-2024","797.35","778.00","804.15","745.05","2.62M","3.50%"
"03-01-2024","770.35","766.85","774.15","754.00","2.03M","0.46%"
"02-01-2024","766.85","786.00","788.00","761.60","2.20M","-2.44%"
"01-01-2024","786.00","790.90","790.90","779.00","1.26M","-0.18%"
"29-12-2023","787.40","790.00","794.95","775.60","1.42M","-0.16%"
"28-12-2023","788.65","779.00","798.85","768.05","3.28M","1.81%"
"27-12-2023","774.60","774.90","780.00","768.00","1.07M","0.66%"
"26-12-2023","769.55","768.60","772.30","762.20","847.14K","0.54%"
"22-12-2023","765.45","774.00","785.80","758.00","2.82M","-0.76%"
"21-12-2023","771.30","750.00","773.00","743.50","2.31M","1.48%"
"20-12-2023","760.05","737.40","772.15","734.90","5.72M","3.93%"
"19-12-2023","731.30","749.55","751.60","730.05","1.74M","-2.32%"
"18-12-2023","748.65","758.25","758.25","743.00","1.84M","-1.27%"
"15-12-2023","758.30","760.00","769.45","750.10","2.25M","-0.22%"
"14-12-2023","760.00","740.50","761.00","737.00","1.67M","3.33%"
"13-12-2023","735.50","742.00","742.05","729.00","2.37M","-0.80%"
"12-12-2023","741.40","742.90","748.95","739.45","1.20M","0.22%"
"11-12-2023","739.75","744.45","746.00","735.75","1.73M","-0.10%"
"08-12-2023","740.50","752.25","753.70","734.25","1.27M","-1.40%"
"07-12-2023","751.00","750.00","752.00","739.35","678.39K","0.47%"
"06-12-2023","747.50","764.95","764.95","743.25","2.38M","-1.77%"
"05-12-2023","760.95","756.00","767.00","744.20","2.29M","0.96%"
"04-12-2023","753.75","755.00","756.80","742.85","2.87M","1.52%"
"01-12-2023","742.45","745.00","751.40","740.05","1.18M","0.14%"
"30-11-2023","741.40","751.00","754.90","738.05","2.29M","-0.92%"
"29-11-2023","748.25","737.80","750.95","735.05","2.35M","1.51%"
"28-11-2023","737.15","724.55","742.70","718.20","1.52M","2.07%"
"24-11-2023","722.20","720.00","726.10","711.55","1.62M","0.40%"
"23-11-2023","719.30","721.90","725.50","717.50","1.61M","0.31%"
"22-11-2023","717.10","720.00","723.40","710.10","1.50M","-0.38%"
"21-11-2023","719.80","735.00","740.60","717.65","1.02M","-1.95%"
"20-11-2023","734.15","732.80","744.40","725.70","1.91M","0.54%"
"17-11-2023","730.20","719.00","737.50","718.95","1.17M","0.08%"
"16-11-2023","729.60","727.80","733.85","719.00","1.48M","0.42%"
