"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","1,687.60","1,694.85","1,703.55","1,680.30","46.35K","0.49%"
"05-11-2024","1,679.30","1,681.00","1,689.55","1,655.15","65.78K","-0.56%"
"04-11-2024","1,688.70","1,675.00","1,705.60","1,660.00","112.14K","0.35%"
"01-11-2024","1,682.80","1,692.00","1,694.90","1,675.85","24.70K","0.61%"
"31-10-2024","1,672.65","1,667.05","1,679.90","1,654.75","76.56K","0.23%"
"30-10-2024","1,668.75","1,635.00","1,684.65","1,635.00","77.77K","0.77%"
"29-10-2024","1,656.00","1,633.80","1,664.35","1,633.80","101.32K","0.44%"
"28-10-2024","1,648.80","1,684.90","1,695.40","1,646.05","201.01K","-1.50%"
"25-10-2024","1,673.95","1,653.80","1,690.00","1,640.05","182.72K","0.30%"
"24-10-2024","1,668.95","1,684.85","1,698.00","1,664.00","225.05K","-0.94%"
"23-10-2024","1,684.85","1,651.10","1,717.40","1,651.10","94.42K","0.21%"
"22-10-2024","1,681.30","1,714.00","1,730.00","1,680.00","102.97K","-1.47%"
"21-10-2024","1,706.30","1,739.85","1,747.00","1,694.70","99.66K","-1.44%"
"18-10-2024","1,731.15","1,710.00","1,741.95","1,702.00","91.38K","0.18%"
"17-10-2024","1,728.00","1,755.80","1,780.00","1,710.10","107.14K","-1.06%"
"16-10-2024","1,746.60","1,776.35","1,783.00","1,730.00","117.09K","-1.67%"
"15-10-2024","1,776.35","1,732.75","1,781.80","1,725.00","152.91K","2.80%"
"14-10-2024","1,728.05","1,764.95","1,814.95","1,725.00","235.03K","0.54%"
"11-10-2024","1,718.85","1,710.05","1,733.60","1,710.05","53.22K","-0.15%"
"10-10-2024","1,721.50","1,731.60","1,744.45","1,711.85","71.04K","-0.06%"
"09-10-2024","1,722.55","1,750.00","1,796.70","1,720.00","194.90K","-1.11%"
"08-10-2024","1,741.80","1,729.00","1,752.90","1,705.00","124.41K","0.84%"
"07-10-2024","1,727.30","1,782.80","1,785.80","1,690.00","271.63K","-2.79%"
