"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","3,925.00","3,931.60","3,950.00","3,916.05","348.39K","-0.04%"
"05-11-2024","3,926.55","3,945.85","3,958.85","3,905.05","353.93K","-0.49%"
"04-11-2024","3,945.85","4,000.75","4,006.10","3,899.65","391.41K","-1.39%"
"01-11-2024","4,001.60","3,949.95","4,010.00","3,939.95","67.51K","1.80%"
"31-10-2024","3,930.70","3,930.00","3,939.35","3,876.00","267.67K","-0.04%"
"30-10-2024","3,932.45","4,000.00","4,036.95","3,920.00","651.05K","-0.82%"
"29-10-2024","3,965.15","4,000.00","4,010.00","3,940.20","304.48K","-0.56%"
"28-10-2024","3,987.50","4,052.20","4,094.30","3,975.00","297.23K","-1.60%"
"25-10-2024","4,052.20","4,061.95","4,125.00","3,985.45","423.22K","-0.19%"
"24-10-2024","4,060.10","4,155.75","4,187.90","4,044.65","435.99K","-2.31%"
"23-10-2024","4,156.10","4,009.00","4,224.80","3,978.00","686.72K","3.77%"
"22-10-2024","4,005.20","3,999.90","4,057.00","3,965.90","698.10K","0.80%"
"21-10-2024","3,973.45","4,000.05","4,073.00","3,961.00","494.82K","-0.33%"
"18-10-2024","3,986.70","4,100.00","4,114.00","3,975.10","1.09M","-2.47%"
"17-10-2024","4,087.70","4,175.00","4,180.00","4,044.00","731.37K","-2.06%"
"16-10-2024","4,173.80","4,209.00","4,215.00","4,149.00","688.90K","-0.47%"
"15-10-2024","4,193.55","4,230.00","4,238.95","4,180.60","1.36M","0.24%"
"14-10-2024","4,183.60","4,204.00","4,299.00","4,139.95","4.88M","-8.51%"
"11-10-2024","4,572.70","4,643.10","4,643.10","4,529.00","410.58K","-0.76%"
"10-10-2024","4,607.50","4,664.80","4,698.90","4,572.00","316.73K","-0.82%"
"09-10-2024","4,645.40","4,510.00","4,688.75","4,481.65","1.06M","4.03%"
"08-10-2024","4,465.45","4,544.15","4,619.90","4,435.00","1.01M","-1.73%"
"07-10-2024","4,544.15","4,741.00","4,752.90","4,518.00","1.86M","-4.08%"
"04-10-2024","4,737.55","4,875.00","4,875.00","4,696.10","2.98M","-4.15%"
"03-10-2024","4,942.60","4,924.55","5,015.00","4,881.00","615.25K","-0.24%"
"01-10-2024","4,954.35","5,095.00","5,138.00","4,936.10","562.72K","-2.79%"
"30-09-2024","5,096.30","5,102.30","5,215.00","5,080.00","437.17K","-0.12%"
"27-09-2024","5,102.30","5,224.60","5,226.00","5,090.00","566.69K","-1.84%"
"26-09-2024","5,198.05","5,313.45","5,313.45","5,164.00","372.44K","-1.28%"
"25-09-2024","5,265.50","5,400.00","5,417.50","5,232.00","529.35K","-2.34%"
"24-09-2024","5,391.45","5,304.95","5,484.85","5,231.15","672.94K","1.77%"
"23-09-2024","5,297.45","5,355.15","5,363.00","5,260.25","179.53K","-0.43%"
"20-09-2024","5,320.55","5,360.00","5,417.95","5,225.10","598.43K","-0.41%"
"19-09-2024","5,342.50","5,295.00","5,443.95","5,180.00","392.20K","1.47%"
"18-09-2024","5,265.20","5,225.00","5,289.00","5,219.90","201.98K","0.87%"
"17-09-2024","5,219.85","5,227.00","5,254.00","5,200.10","155.98K","0.29%"
"16-09-2024","5,204.80","5,188.05","5,260.00","5,176.15","198.48K","0.34%"
"13-09-2024","5,187.05","5,250.90","5,255.85","5,155.00","395.55K","-0.98%"
"12-09-2024","5,238.55","5,330.00","5,376.05","5,216.90","380.59K","-1.14%"
"11-09-2024","5,299.10","5,357.90","5,449.00","5,279.10","461.78K","-0.85%"
"10-09-2024","5,344.40","5,361.40","5,422.45","5,315.00","400.99K","-0.32%"
"09-09-2024","5,361.40","5,303.45","5,395.00","5,216.05","594.88K","1.09%"
"06-09-2024","5,303.45","5,293.00","5,354.55","5,202.00","721.16K","-0.09%"
"05-09-2024","5,308.15","5,084.10","5,361.15","5,077.10","1.32M","4.06%"
"04-09-2024","5,100.90","4,974.00","5,109.00","4,960.35","319.84K","2.42%"
"03-09-2024","4,980.60","5,029.00","5,039.80","4,965.00","222.03K","-0.39%"
"02-09-2024","4,999.85","4,977.00","5,023.95","4,951.00","290.60K","1.47%"
"30-08-2024","4,927.45","5,020.00","5,042.00","4,900.00","564.04K","-1.62%"
"29-08-2024","5,008.80","4,991.50","5,155.55","4,980.65","939.64K","0.89%"
"28-08-2024","4,964.85","4,995.50","4,995.50","4,905.00","504.52K","0.13%"
"27-08-2024","4,958.55","5,010.00","5,010.00","4,925.65","144.91K","-0.02%"
"26-08-2024","4,959.40","4,903.00","4,978.75","4,900.10","475.10K","1.18%"
"23-08-2024","4,901.50","5,045.00","5,088.80","4,880.00","802.97K","-3.09%"
"22-08-2024","5,057.85","5,145.00","5,145.00","5,021.15","353.20K","-0.82%"
"21-08-2024","5,099.45","5,095.00","5,164.00","5,051.85","796.49K","0.40%"
"20-08-2024","5,079.20","5,008.00","5,095.95","4,987.70","320.09K","1.53%"
"19-08-2024","5,002.70","5,040.00","5,048.00","4,982.05","171.80K","-0.37%"
"16-08-2024","5,021.30","4,995.00","5,025.00","4,902.70","193.83K","1.23%"
"14-08-2024","4,960.30","4,950.00","5,020.00","4,913.30","282.58K","0.62%"
"13-08-2024","4,929.50","5,039.95","5,048.00","4,905.50","138.44K","-1.68%"
"12-08-2024","5,013.80","4,999.00","5,025.00","4,960.55","167.41K","0.48%"
"09-08-2024","4,989.95","5,033.00","5,063.80","4,971.35","102.06K","0.20%"
"08-08-2024","4,980.10","5,049.95","5,063.90","4,942.00","348.30K","-0.77%"
"07-08-2024","5,018.50","4,960.00","5,063.55","4,954.45","322.15K","2.21%"
"06-08-2024","4,909.90","4,818.15","5,045.25","4,818.15","798.72K","1.92%"
"05-08-2024","4,817.45","4,861.50","5,010.00","4,801.00","715.44K","-1.88%"
"02-08-2024","4,909.70","4,950.00","5,029.75","4,890.15","486.36K","-1.68%"
"01-08-2024","4,993.80","4,949.00","5,008.00","4,883.00","202.18K","1.17%"
"31-07-2024","4,935.95","5,040.00","5,068.90","4,910.20","912.33K","-1.82%"
"30-07-2024","5,027.20","5,140.00","5,175.55","5,000.10","299.95K","-1.68%"
"29-07-2024","5,112.85","5,144.00","5,144.00","5,041.80","206.61K","0.81%"
"26-07-2024","5,071.60","5,199.00","5,199.00","5,040.00","234.45K","-1.93%"
"25-07-2024","5,171.35","5,148.00","5,184.90","5,058.10","393.01K","0.25%"
"24-07-2024","5,158.45","5,100.00","5,205.00","5,082.65","630.16K","1.84%"
"23-07-2024","5,065.25","5,013.00","5,095.45","4,925.10","431.81K","1.05%"
"22-07-2024","5,012.85","4,955.00","5,031.95","4,922.75","559.76K","0.04%"
"19-07-2024","5,010.70","5,062.10","5,078.50","4,955.00","444.96K","-1.43%"
"18-07-2024","5,083.45","5,039.85","5,096.95","5,028.00","837.64K","0.87%"
"16-07-2024","5,039.85","5,000.00","5,104.00","4,979.00","1.06M","1.02%"
"15-07-2024","4,988.85","5,126.45","5,164.00","4,943.65","1.41M","0.91%"
"12-07-2024","4,943.65","4,939.90","5,016.95","4,909.00","598.09K","0.91%"
"11-07-2024","4,898.90","4,853.90","4,969.00","4,832.25","568.25K","1.33%"
"10-07-2024","4,834.45","4,825.00","4,894.35","4,731.10","284.15K","0.58%"
"09-07-2024","4,806.35","4,853.10","4,893.95","4,780.00","421.55K","-0.93%"
"08-07-2024","4,851.55","4,860.00","4,935.20","4,820.00","706.77K","-0.03%"
"05-07-2024","4,853.10","4,768.85","4,871.00","4,742.80","359.69K","1.78%"
"04-07-2024","4,768.10","4,785.10","4,825.00","4,725.00","317.76K","-0.52%"
"03-07-2024","4,792.90","4,760.00","4,810.90","4,700.70","799.11K","0.40%"
"02-07-2024","4,773.85","4,759.10","4,825.25","4,719.55","360.01K","0.80%"
"01-07-2024","4,735.90","4,725.10","4,754.45","4,612.50","642.17K","0.41%"
"28-06-2024","4,716.75","4,900.00","4,921.95","4,680.00","685.01K","-3.74%"
"27-06-2024","4,900.10","4,819.95","4,960.00","4,738.00","503.72K","2.06%"
"26-06-2024","4,801.00","4,775.00","4,823.95","4,690.00","546.31K","0.37%"
"25-06-2024","4,783.35","4,850.00","4,905.00","4,755.00","376.89K","-1.04%"
"24-06-2024","4,833.70","4,792.00","4,875.00","4,765.85","356.82K","0.60%"
"21-06-2024","4,804.85","4,928.00","5,082.95","4,763.00","726.52K","-1.17%"
"20-06-2024","4,861.70","4,947.45","5,022.50","4,832.20","577.84K","-1.46%"
"19-06-2024","4,933.90","5,079.00","5,219.00","4,901.35","1.44M","-2.09%"
"18-06-2024","5,039.30","4,739.95","5,080.00","4,734.80","2.05M","6.32%"
"14-06-2024","4,739.95","4,692.00","4,759.95","4,671.05","258.98K","1.79%"
"13-06-2024","4,656.65","4,697.25","4,739.95","4,640.05","238.27K","-0.22%"
"12-06-2024","4,666.75","4,710.05","4,740.00","4,645.00","555.09K","-0.74%"
"11-06-2024","4,701.45","4,800.00","4,829.90","4,676.00","266.81K","-1.61%"
"10-06-2024","4,778.40","4,769.05","4,812.00","4,688.00","276.91K","0.66%"
"07-06-2024","4,747.25","4,700.00","4,806.35","4,690.75","352.97K","1.28%"
"06-06-2024","4,687.05","4,861.95","4,861.95","4,675.25","664.30K","-3.60%"
"05-06-2024","4,862.25","4,590.00","4,900.00","4,562.20","1.50M","6.89%"
"04-06-2024","4,548.75","4,399.00","4,590.00","4,355.65","1.09M","4.58%"
"03-06-2024","4,349.35","4,392.95","4,400.00","4,301.00","279.80K","1.10%"
"31-05-2024","4,302.15","4,440.00","4,450.00","4,250.40","866.44K","-3.21%"
"30-05-2024","4,444.95","4,475.90","4,497.25","4,410.00","141.71K","-0.71%"
"29-05-2024","4,476.85","4,474.00","4,564.85","4,435.10","234.52K","0.05%"
"28-05-2024","4,474.45","4,551.90","4,588.85","4,440.20","224.69K","-1.39%"
"27-05-2024","4,537.35","4,651.55","4,669.00","4,508.00","392.85K","-3.14%"
"24-05-2024","4,684.50","4,797.90","4,841.40","4,674.10","307.32K","-2.27%"
"23-05-2024","4,793.55","4,794.50","4,812.00","4,755.80","151.03K","-0.11%"
"22-05-2024","4,798.80","4,763.15","4,924.20","4,737.15","716.98K","1.97%"
"21-05-2024","4,705.90","4,670.00","4,737.45","4,605.45","179.17K","0.75%"
"18-05-2024","4,670.65","4,670.65","4,670.65","4,670.65","","-0.26%"
"17-05-2024","4,682.90","4,680.00","4,710.00","4,665.05","203.11K","0.25%"
"16-05-2024","4,671.25","4,674.30","4,699.00","4,660.05","519.29K","0.40%"
"15-05-2024","4,652.45","4,614.95","4,680.00","4,597.10","298.26K","1.21%"
"14-05-2024","4,597.05","4,739.00","4,755.00","4,550.35","376.74K","-2.06%"
"13-05-2024","4,693.70","4,799.95","4,809.00","4,667.00","190.78K","-2.15%"
"10-05-2024","4,796.80","4,798.65","4,852.00","4,735.85","290.60K","-0.04%"
"09-05-2024","4,798.65","4,806.75","4,895.60","4,730.00","618.01K","-0.17%"
"08-05-2024","4,806.75","4,674.80","4,863.80","4,670.00","829.72K","3.14%"
"07-05-2024","4,660.45","4,619.95","4,698.00","4,581.00","431.03K","1.30%"
"06-05-2024","4,600.60","4,620.00","4,739.90","4,576.00","643.04K","-0.25%"
"03-05-2024","4,612.35","4,626.95","4,627.00","4,545.05","436.79K","0.16%"
"02-05-2024","4,605.05","4,609.95","4,642.45","4,578.00","256.07K","0.03%"
"30-04-2024","4,603.80","4,455.15","4,650.00","4,455.15","637.70K","2.68%"
"29-04-2024","4,483.80","4,560.50","4,562.45","4,450.00","385.60K","-1.52%"
"26-04-2024","4,553.15","4,657.05","4,719.95","4,531.50","254.51K","-2.23%"
"25-04-2024","4,657.10","4,801.00","4,817.65","4,615.15","462.02K","-2.93%"
"24-04-2024","4,797.55","4,820.00","4,835.70","4,778.00","199.88K","-0.06%"
"23-04-2024","4,800.55","4,804.50","4,890.00","4,773.00","458.15K","0.89%"
"22-04-2024","4,758.00","4,743.00","4,815.95","4,692.05","257.71K","1.32%"
"19-04-2024","4,696.00","4,766.95","4,836.70","4,651.10","778.08K","1.49%"
"18-04-2024","4,627.10","4,644.30","4,694.30","4,605.00","417.77K","-0.37%"
"16-04-2024","4,644.30","4,650.00","4,689.30","4,611.35","245.23K","-0.91%"
"15-04-2024","4,686.80","4,680.00","4,736.55","4,620.60","358.71K","-1.64%"
"12-04-2024","4,765.05","4,753.90","4,806.75","4,725.00","676.86K","0.23%"
"10-04-2024","4,754.00","4,736.60","4,831.85","4,711.00","728.45K","0.80%"
"09-04-2024","4,716.15","4,671.95","4,747.80","4,622.00","285.67K","0.93%"
"08-04-2024","4,672.80","4,648.15","4,748.00","4,640.00","461.32K","1.16%"
"05-04-2024","4,619.25","4,645.00","4,685.00","4,557.00","418.02K","-0.56%"
"04-04-2024","4,645.05","4,562.00","4,715.00","4,540.00","1.56M","4.13%"
"03-04-2024","4,460.90","4,455.00","4,494.45","4,415.00","257.33K","1.11%"
"02-04-2024","4,411.85","4,503.00","4,563.00","4,400.05","442.91K","-1.59%"
"01-04-2024","4,483.30","4,570.00","4,592.00","4,456.30","410.98K","-0.93%"
"28-03-2024","4,525.60","4,424.95","4,560.00","4,397.05","892.57K","2.38%"
"27-03-2024","4,420.55","4,480.50","4,533.00","4,387.05","814.04K","-1.46%"
"26-03-2024","4,486.20","4,315.75","4,509.45","4,297.25","1.84M","4.39%"
"22-03-2024","4,297.60","4,159.80","4,330.50","4,151.15","921.65K","3.23%"
"21-03-2024","4,163.10","4,117.00","4,238.00","4,091.50","1.13M","2.63%"
