"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","596.35","583.75","598.75","581.50","203.88K","2.68%"
"05-11-2024","580.80","576.65","583.95","571.50","159.01K","1.13%"
"04-11-2024","574.30","592.55","593.00","572.00","172.08K","-2.90%"
"01-11-2024","591.45","588.10","595.75","586.10","39.01K","0.57%"
"31-10-2024","588.10","582.80","589.95","575.55","150.58K","0.91%"
"30-10-2024","582.80","567.00","586.30","567.00","157.96K","2.42%"
"29-10-2024","569.05","568.30","573.20","556.50","161.60K","0.34%"
"28-10-2024","567.10","551.00","571.60","541.50","229.54K","3.02%"
"25-10-2024","550.50","578.05","579.00","544.05","347.18K","-4.01%"
"24-10-2024","573.50","585.00","588.00","570.35","179.51K","-1.15%"
"23-10-2024","580.20","575.00","591.85","558.40","277.02K","1.37%"
"22-10-2024","572.35","601.95","604.90","570.00","305.69K","-4.44%"
"21-10-2024","598.95","619.90","624.80","594.50","146.41K","-3.37%"
"18-10-2024","619.85","615.00","624.50","603.20","210.49K","0.32%"
"17-10-2024","617.90","642.10","644.75","615.05","226.44K","-3.77%"
"16-10-2024","642.10","640.70","645.00","627.90","241.15K","0.71%"
"15-10-2024","637.55","627.95","639.90","625.05","329.95K","1.80%"
"14-10-2024","626.30","606.70","632.70","606.00","546.35K","2.60%"
"11-10-2024","610.40","603.00","617.95","598.25","237.05K","0.87%"
"10-10-2024","605.15","614.50","616.00","603.05","140.45K","-0.46%"
"09-10-2024","607.95","602.30","613.00","600.75","225.58K","1.41%"
"08-10-2024","599.50","579.75","604.00","576.10","239.86K","3.04%"
"07-10-2024","581.80","609.20","615.20","576.30","402.64K","-4.19%"
"04-10-2024","607.25","613.00","619.80","602.00","219.93K","-0.94%"
"03-10-2024","613.00","608.95","621.70","606.10","263.21K","-1.59%"
"01-10-2024","622.90","629.50","638.45","621.00","298.26K","-0.89%"
"30-09-2024","628.50","624.00","631.90","613.00","521.38K","1.63%"
"27-09-2024","618.45","645.00","653.70","615.00","762.87K","-4.05%"
"26-09-2024","644.55","650.70","654.00","640.70","247.47K","-0.93%"
"25-09-2024","650.60","660.00","666.50","646.00","248.91K","-1.88%"
"24-09-2024","663.05","670.55","672.80","655.00","481.85K","-1.45%"
"23-09-2024","672.80","676.00","679.60","668.60","192.70K","0.08%"
"20-09-2024","672.25","676.55","686.55","670.00","232.85K","-0.11%"
"19-09-2024","673.00","686.85","695.00","658.50","421.50K","-1.84%"
"18-09-2024","685.60","679.85","688.40","678.00","306.11K","0.70%"
"17-09-2024","680.85","690.70","705.00","674.05","554.14K","-0.98%"
"16-09-2024","687.60","678.35","691.00","669.80","391.23K","1.87%"
"13-09-2024","674.95","677.65","686.30","671.40","248.03K","0.03%"
"12-09-2024","674.75","677.35","686.45","668.90","279.83K","0.24%"
"11-09-2024","673.15","692.85","692.95","668.55","313.32K","-2.47%"
"10-09-2024","690.20","693.10","699.40","680.00","499.59K","0.00%"
"09-09-2024","690.20","657.00","694.90","646.80","1.23M","3.69%"
"06-09-2024","665.65","676.00","679.15","660.00","290.17K","-1.11%"
"05-09-2024","673.15","680.50","688.75","671.25","384.68K","-0.42%"
"04-09-2024","676.00","675.00","699.40","673.05","743.75K","-0.47%"
"03-09-2024","679.20","674.50","688.00","668.65","568.84K","1.24%"
"02-09-2024","670.90","680.60","692.00","667.10","403.98K","-1.09%"
"30-08-2024","678.30","664.75","682.00","657.70","515.76K","2.61%"
"29-08-2024","661.05","671.25","675.10","655.55","559.68K","-1.40%"
"28-08-2024","670.45","690.55","700.00","667.05","569.65K","-2.38%"
"27-08-2024","686.80","688.35","702.20","685.00","496.70K","0.20%"
"26-08-2024","685.45","695.00","699.85","683.00","576.22K","-1.36%"
"23-08-2024","694.90","703.05","709.10","690.00","463.98K","-0.58%"
"22-08-2024","698.95","704.00","713.90","695.00","912.97K","-0.19%"
