"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","607.95","613.05","616.00","605.50","468.82K","-0.39%"
"05-11-2024","610.35","604.00","624.90","601.55","998.58K","0.16%"
"04-11-2024","609.35","625.60","625.80","606.20","591.32K","-3.05%"
"01-11-2024","628.50","626.95","633.55","626.00","245.71K","0.11%"
"31-10-2024","627.80","661.00","664.95","611.60","3.03M","-4.81%"
"30-10-2024","659.55","640.00","666.00","638.05","1.42M","2.61%"
"29-10-2024","642.80","629.55","646.15","622.85","1.14M","2.34%"
"28-10-2024","628.10","607.25","631.20","605.75","986.63K","3.43%"
"25-10-2024","607.25","613.60","619.40","598.90","780.59K","-1.03%"
"24-10-2024","613.60","611.00","621.55","608.80","606.72K","-0.03%"
"23-10-2024","613.80","598.00","619.90","593.10","1.14M","1.80%"
"22-10-2024","602.95","632.90","632.90","601.50","1.28M","-4.73%"
"21-10-2024","632.90","644.40","648.95","624.50","1.39M","-0.84%"
"18-10-2024","638.25","636.00","646.30","632.00","1.02M","-0.06%"
"17-10-2024","638.65","646.10","654.05","635.70","3.04M","-1.60%"
"16-10-2024","649.05","660.85","665.00","633.70","1.81M","-2.61%"
"15-10-2024","666.45","653.40","674.00","648.80","1.07M","2.01%"
"14-10-2024","653.35","648.10","657.75","644.10","453.67K","0.72%"
"11-10-2024","648.65","655.00","656.70","645.45","478.88K","-0.96%"
"10-10-2024","654.95","657.70","660.75","648.90","638.37K","0.28%"
"09-10-2024","653.15","657.40","661.60","650.60","842.81K","-0.03%"
"08-10-2024","653.35","627.80","657.55","623.10","1.41M","4.06%"
"07-10-2024","627.85","662.00","668.45","625.35","2.43M","-4.97%"
"04-10-2024","660.70","668.40","675.95","653.20","2.73M","-1.20%"
"03-10-2024","668.75","676.95","691.80","665.70","4.08M","-1.73%"
"01-10-2024","680.55","645.00","688.55","642.00","5.93M","4.88%"
"30-09-2024","648.90","648.00","659.70","641.00","2.65M","-0.90%"
"27-09-2024","654.80","630.05","664.85","620.00","12.96M","6.86%"
"26-09-2024","612.75","613.00","614.75","602.65","1.93M","0.79%"
"25-09-2024","607.95","611.75","616.60","601.70","1.63M","-0.30%"
"24-09-2024","609.75","598.95","612.50","595.10","1.99M","2.41%"
"23-09-2024","595.40","594.00","602.00","586.25","2.19M","0.20%"
"20-09-2024","594.20","593.00","606.80","583.15","4.74M","1.83%"
"19-09-2024","583.50","580.70","592.80","568.80","3.32M","1.79%"
"18-09-2024","573.25","570.75","581.00","568.00","1.73M","0.55%"
"17-09-2024","570.10","566.00","571.80","562.55","668.96K","0.24%"
"16-09-2024","568.75","565.35","575.40","562.50","1.54M","2.05%"
"13-09-2024","557.30","572.45","574.00","556.00","947.31K","-2.70%"
"12-09-2024","572.75","557.00","576.00","555.00","2.20M","3.84%"
"11-09-2024","551.55","562.30","564.20","546.10","709.68K","-1.93%"
"10-09-2024","562.40","559.20","567.00","557.35","792.29K","1.23%"
"09-09-2024","555.55","565.00","578.40","552.80","1.47M","-2.20%"
"06-09-2024","568.05","586.50","589.00","565.00","1.68M","-3.20%"
"05-09-2024","586.85","589.85","597.95","584.60","737.72K","-0.04%"
"04-09-2024","587.10","583.30","605.35","579.25","2.47M","-0.09%"
"03-09-2024","587.65","591.85","594.05","584.50","771.61K","-0.71%"
"02-09-2024","591.85","598.00","600.00","587.30","1.90M","-1.14%"
"30-08-2024","598.65","597.15","625.00","595.05","15.54M","3.43%"
"29-08-2024","578.80","582.20","588.65","566.45","3.75M","-1.46%"
"28-08-2024","587.40","570.00","590.95","569.40","4.87M","3.13%"
"27-08-2024","569.55","561.00","574.50","555.15","2.34M","0.97%"
"26-08-2024","564.10","564.40","577.00","559.50","1.37M","-0.05%"
"23-08-2024","564.40","582.00","582.00","558.50","3.00M","-2.55%"
"22-08-2024","579.15","563.00","585.40","557.00","3.31M","3.41%"
"21-08-2024","560.05","570.95","570.95","555.10","2.84M","-1.89%"
"20-08-2024","570.85","535.00","578.20","535.00","8.33M","7.30%"
"19-08-2024","532.00","527.50","544.55","525.90","3.88M","1.81%"
"16-08-2024","522.55","511.00","525.90","502.10","3.52M","3.99%"
"14-08-2024","502.50","514.90","522.00","501.45","3.02M","-1.74%"
"13-08-2024","511.40","505.00","523.00","495.50","9.40M","3.28%"
"12-08-2024","495.15","490.00","505.90","485.00","3.88M","0.85%"
"09-08-2024","491.00","491.00","498.00","488.25","1.09M","0.44%"
"08-08-2024","488.85","494.75","499.75","486.80","1.71M","-0.67%"
"07-08-2024","492.15","474.90","493.80","471.90","2.51M","5.06%"
"06-08-2024","468.45","475.00","485.15","467.00","2.99M","-1.11%"
"05-08-2024","473.70","478.00","481.05","468.05","2.86M","-1.66%"
"02-08-2024","481.70","482.95","491.65","475.35","2.99M","-0.55%"
"01-08-2024","484.35","484.00","489.85","474.30","2.39M","0.73%"
"31-07-2024","480.85","480.90","493.90","473.50","4.08M","0.09%"
"30-07-2024","480.40","470.00","485.95","468.20","2.62M","2.17%"
"29-07-2024","470.20","465.10","474.80","463.00","2.88M","1.93%"
"26-07-2024","461.30","445.50","465.00","445.50","2.05M","3.13%"
"25-07-2024","447.30","447.00","461.35","444.75","2.35M","-1.16%"
"24-07-2024","452.55","442.00","456.95","441.95","1.90M","1.93%"
"23-07-2024","444.00","446.65","449.30","426.10","1.73M","-0.11%"
"22-07-2024","444.50","437.00","449.25","434.40","1.71M","0.67%"
"19-07-2024","441.55","450.40","451.35","438.00","1.46M","-1.81%"
"18-07-2024","449.70","449.50","453.95","446.80","1.47M","-0.11%"
"16-07-2024","450.20","445.85","460.00","445.50","5.23M","1.28%"
"15-07-2024","444.50","441.00","447.30","440.00","1.36M","0.94%"
"12-07-2024","440.35","449.00","451.90","439.05","2.59M","-1.06%"
"11-07-2024","445.05","436.30","447.80","436.30","3.85M","1.95%"
"10-07-2024","436.55","431.00","437.40","424.40","2.65M","1.23%"
"09-07-2024","431.25","424.70","441.60","424.00","3.65M","1.77%"
"08-07-2024","423.75","426.25","431.70","422.00","1.10M","-0.67%"
"05-07-2024","426.60","428.05","433.05","423.45","964.58K","-0.23%"
"04-07-2024","427.60","430.05","435.00","426.85","1.00M","-0.31%"
"03-07-2024","428.95","440.00","440.05","426.65","1.13M","-1.54%"
"02-07-2024","435.65","435.00","443.90","427.00","1.59M","0.33%"
"01-07-2024","434.20","435.00","438.30","432.15","940.14K","1.05%"
"28-06-2024","429.70","427.05","437.35","427.05","1.53M","0.19%"
"27-06-2024","428.90","430.90","433.20","423.45","1.29M","-0.24%"
"26-06-2024","429.95","440.60","440.60","427.00","3.78M","-2.44%"
"25-06-2024","440.70","445.45","448.35","440.05","2.33M","-0.45%"
"24-06-2024","442.70","445.00","448.00","440.00","2.08M","-0.16%"
"21-06-2024","443.40","442.00","455.85","436.25","4.81M","0.37%"
"20-06-2024","441.75","442.00","447.35","437.00","2.81M","0.20%"
"19-06-2024","440.85","431.25","444.40","422.20","6.37M","2.75%"
"18-06-2024","429.05","431.00","432.55","424.00","2.05M","-0.27%"
"14-06-2024","430.20","443.50","445.90","427.00","7.42M","-2.04%"
"13-06-2024","439.15","426.00","441.40","420.00","10.57M","4.67%"
"12-06-2024","419.55","409.10","421.25","408.00","7.96M","3.49%"
"11-06-2024","405.40","398.00","407.00","396.25","3.04M","2.17%"
"10-06-2024","396.80","400.00","400.90","393.35","1.66M","-0.90%"
"07-06-2024","400.40","390.90","407.40","386.75","4.87M","3.64%"
"06-06-2024","386.35","390.90","394.00","385.25","1.00M","-1.15%"
"05-06-2024","390.85","365.50","392.00","362.00","2.16M","7.35%"
