"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","301.85","288.60","304.30","288.00","52.79M","5.41%"
"05-11-2024","286.35","282.50","287.20","277.15","18.76M","0.77%"
"04-11-2024","284.15","289.00","289.00","280.30","15.16M","-1.56%"
"01-11-2024","288.65","286.65","290.25","286.00","5.27M","1.32%"
"31-10-2024","284.90","287.95","288.45","283.75","18.72M","-1.26%"
"30-10-2024","288.55","283.45","294.75","282.05","40.79M","1.73%"
"29-10-2024","283.65","271.20","284.50","270.85","34.27M","5.04%"
"28-10-2024","270.05","276.70","277.95","267.40","24.48M","-0.84%"
"25-10-2024","272.35","271.00","276.00","257.45","40.41M","0.37%"
"24-10-2024","271.35","269.00","273.15","268.35","10.70M","1.01%"
"23-10-2024","268.65","271.00","274.70","266.30","13.50M","-1.10%"
"22-10-2024","271.65","282.00","282.15","270.65","15.24M","-3.77%"
"21-10-2024","282.30","286.30","287.45","281.10","8.39M","-1.69%"
"18-10-2024","287.15","282.90","287.80","277.80","10.10M","0.91%"
"17-10-2024","284.55","286.05","287.90","281.70","11.70M","-0.40%"
"16-10-2024","285.70","288.15","291.05","284.75","11.84M","-1.09%"
"15-10-2024","288.85","287.15","289.45","285.75","14.70M","1.10%"
"14-10-2024","285.70","286.10","289.20","284.65","11.39M","-0.07%"
"11-10-2024","285.90","287.20","288.65","284.15","9.68M","-0.35%"
"10-10-2024","286.90","283.95","289.60","283.40","19.16M","1.59%"
"09-10-2024","282.40","282.00","286.60","278.50","18.98M","0.77%"
"08-10-2024","280.25","267.00","281.50","265.55","29.19M","4.83%"
"07-10-2024","267.35","277.40","278.90","265.00","21.70M","-3.55%"
"04-10-2024","277.20","278.70","281.90","273.55","17.45M","-0.54%"
"03-10-2024","278.70","275.05","286.30","275.05","27.32M","-1.85%"
"01-10-2024","283.95","285.10","286.60","282.55","13.88M","-0.40%"
"30-09-2024","285.10","293.45","294.60","283.60","32.70M","-2.85%"
"27-09-2024","293.45","292.35","294.85","289.20","208.59M","1.02%"
"26-09-2024","290.50","290.60","291.90","289.05","18.34M","0.22%"
"25-09-2024","289.85","294.00","295.00","287.65","19.26M","-0.67%"
"24-09-2024","291.80","286.30","293.40","284.55","25.35M","1.92%"
"23-09-2024","286.30","280.00","286.70","278.65","19.45M","3.23%"
"20-09-2024","277.35","274.00","279.40","272.85","38.50M","1.71%"
"19-09-2024","272.70","284.00","284.85","267.10","44.56M","-3.59%"
"18-09-2024","282.85","284.90","286.00","280.40","10.45M","-0.51%"
"17-09-2024","284.30","290.50","290.85","283.90","15.95M","-2.10%"
"16-09-2024","290.40","290.90","292.20","288.40","9.18M","0.16%"
"13-09-2024","289.95","293.00","294.00","289.60","12.33M","-0.60%"
"12-09-2024","291.70","290.90","292.50","289.00","16.10M","1.27%"
"11-09-2024","288.05","286.45","290.45","284.35","21.65M","0.80%"
"10-09-2024","285.75","282.50","288.35","282.30","19.98M","1.49%"
"09-09-2024","281.55","282.00","284.50","275.75","29.17M","-0.72%"
"06-09-2024","283.60","290.35","290.35","282.05","30.06M","-2.41%"
"05-09-2024","290.60","299.00","299.50","290.00","26.34M","-2.79%"
"04-09-2024","298.95","297.15","301.90","295.30","17.94M","0.61%"
"03-09-2024","297.15","300.00","301.35","296.75","13.97M","0.08%"
"02-09-2024","296.90","301.95","301.95","295.05","11.71M","-0.80%"
"30-08-2024","299.30","296.80","302.15","294.35","28.69M","1.05%"
