"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","2,133.70","2,140.00","2,147.85","2,111.85","30.09K","1.09%"
"05-11-2024","2,110.75","2,112.00","2,110.75","2,110.75","54.62K","-0.01%"
"04-11-2024","2,111.05","2,153.00","2,155.25","2,097.05","29.43K","-1.97%"
"01-11-2024","2,153.55","2,132.90","2,160.80","2,131.00","6.79K","1.14%"
"31-10-2024","2,129.30","2,122.10","2,147.95","2,098.25","31.39K","0.16%"
"30-10-2024","2,125.85","2,034.90","2,136.95","2,032.30","45.20K","4.60%"
"29-10-2024","2,032.30","2,050.00","2,055.00","2,012.00","31.79K","0.01%"
"28-10-2024","2,032.00","2,050.00","2,059.50","2,000.50","37.93K","0.56%"
"25-10-2024","2,020.75","2,089.00","2,089.00","2,001.05","51.53K","-2.28%"
"24-10-2024","2,067.85","2,102.30","2,112.95","2,058.15","23.53K","-0.47%"
"23-10-2024","2,077.65","2,085.00","2,127.85","2,031.15","51.07K","0.54%"
"22-10-2024","2,066.50","2,154.90","2,158.65","2,055.55","45.32K","-3.49%"
"21-10-2024","2,141.15","2,179.85","2,189.95","2,135.00","30.18K","-1.49%"
"18-10-2024","2,173.60","2,198.00","2,200.05","2,157.05","21.92K","-1.19%"
"17-10-2024","2,199.70","2,234.95","2,240.00","2,195.00","28.17K","-1.17%"
"16-10-2024","2,225.80","2,243.15","2,252.25","2,220.00","22.84K","-0.28%"
"15-10-2024","2,232.00","2,228.75","2,262.00","2,221.60","32.39K","0.52%"
"14-10-2024","2,220.40","2,242.00","2,250.00","2,201.00","35.55K","-0.26%"
"11-10-2024","2,226.25","2,236.05","2,246.95","2,220.00","20.71K","-0.92%"
"10-10-2024","2,247.00","2,250.00","2,269.90","2,226.05","31.15K","0.30%"
"09-10-2024","2,240.35","2,243.00","2,266.95","2,226.65","23.77K","0.43%"
"08-10-2024","2,230.75","2,135.05","2,240.00","2,130.15","48.76K","3.03%"
"07-10-2024","2,165.10","2,247.80","2,263.95","2,148.90","71.55K","-3.68%"
"04-10-2024","2,247.80","2,264.30","2,277.80","2,200.25","54.90K","-0.73%"
"03-10-2024","2,264.30","2,345.95","2,368.90","2,256.00","81.08K","-3.73%"
"01-10-2024","2,351.95","2,291.55","2,374.00","2,285.00","111.81K","2.84%"
"30-09-2024","2,287.05","2,284.75","2,311.00","2,270.00","32.27K","0.10%"
"27-09-2024","2,284.75","2,290.15","2,325.00","2,275.05","34.01K","-0.08%"
"26-09-2024","2,286.60","2,301.25","2,310.00","2,281.00","23.05K","-0.48%"
"25-09-2024","2,297.55","2,330.00","2,341.60","2,286.25","45.18K","-0.64%"
"24-09-2024","2,312.40","2,317.95","2,385.30","2,305.55","103.01K","-0.11%"
"23-09-2024","2,314.90","2,309.95","2,326.50","2,280.00","54.38K","0.38%"
"20-09-2024","2,306.25","2,376.80","2,376.80","2,296.20","93.22K","-1.83%"
"19-09-2024","2,349.25","2,376.00","2,425.05","2,305.00","147.55K","0.17%"
"18-09-2024","2,345.35","2,313.05","2,433.00","2,302.05","485.98K","1.90%"
"17-09-2024","2,301.55","2,270.00","2,309.90","2,266.85","39.82K","0.50%"
"16-09-2024","2,290.00","2,286.05","2,324.00","2,278.00","48.88K","0.69%"
"13-09-2024","2,274.35","2,266.55","2,306.40","2,266.55","37.35K","0.34%"
"12-09-2024","2,266.55","2,296.50","2,318.00","2,255.00","34.81K","-1.09%"
"11-09-2024","2,291.45","2,350.00","2,350.05","2,266.55","64.41K","-0.29%"
"10-09-2024","2,298.10","2,229.10","2,318.55","2,229.05","98.21K","3.49%"
"09-09-2024","2,220.55","2,250.00","2,250.90","2,205.15","32.93K","-0.65%"
"06-09-2024","2,235.00","2,223.90","2,293.50","2,220.00","150.76K","0.70%"
"05-09-2024","2,219.45","2,208.00","2,247.00","2,208.00","44.08K","0.61%"
"04-09-2024","2,206.05","2,190.00","2,239.00","2,181.00","68.74K","0.39%"
"03-09-2024","2,197.45","2,215.00","2,224.00","2,190.05","31.22K","-0.03%"
"02-09-2024","2,198.15","2,245.20","2,245.20","2,190.10","30.91K","-1.18%"
"30-08-2024","2,224.35","2,220.05","2,231.40","2,200.00","34.69K","0.73%"
"29-08-2024","2,208.30","2,209.70","2,249.00","2,184.00","95.99K","0.67%"
"28-08-2024","2,193.70","2,223.05","2,241.00","2,188.05","32.87K","-1.32%"
"27-08-2024","2,223.05","2,184.35","2,229.95","2,174.30","83.97K","2.33%"
