"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","183.23","183.35","185.18","181.69","8.36M","1.08%"
"05-11-2024","181.27","180.00","182.01","178.13","6.26M","0.60%"
"04-11-2024","180.18","183.50","183.50","177.25","7.64M","-1.89%"
"01-11-2024","183.65","184.45","184.45","183.00","2.28M","0.79%"
"31-10-2024","182.21","179.60","183.25","176.77","17.00M","2.62%"
"30-10-2024","177.55","178.50","179.80","177.15","9.47M","-0.88%"
"29-10-2024","179.13","182.10","183.93","177.13","19.12M","-3.07%"
"28-10-2024","184.81","175.00","189.68","172.50","43.36M","9.87%"
"25-10-2024","168.21","180.00","180.48","167.30","21.11M","-6.89%"
"24-10-2024","180.66","182.05","182.95","180.15","5.94M","-0.89%"
"23-10-2024","182.29","174.70","183.67","172.80","16.73M","4.88%"
"22-10-2024","173.80","182.51","184.90","173.00","20.53M","-6.00%"
"21-10-2024","184.89","191.95","191.95","184.00","14.43M","-3.68%"
"18-10-2024","191.96","190.00","192.68","188.19","9.90M","0.93%"
"17-10-2024","190.19","193.05","193.45","188.37","13.65M","-1.32%"
"16-10-2024","192.74","194.01","194.68","191.86","12.64M","-0.83%"
"15-10-2024","194.35","200.79","201.45","193.81","21.66M","-2.85%"
"14-10-2024","200.06","210.64","210.65","198.71","36.98M","-4.85%"
"11-10-2024","210.26","202.00","211.80","198.45","129.82M","12.02%"
"10-10-2024","187.70","190.30","190.40","187.07","5.38M","-0.61%"
"09-10-2024","188.85","188.50","191.44","187.81","8.32M","0.63%"
"08-10-2024","187.66","184.25","189.00","183.76","7.43M","1.80%"
"07-10-2024","184.34","190.00","192.35","182.55","15.91M","-1.35%"
"04-10-2024","186.86","189.00","190.93","186.52","11.29M","-1.14%"
"03-10-2024","189.01","193.99","194.24","188.16","15.06M","-3.21%"
"01-10-2024","195.28","198.71","199.27","195.00","13.47M","-1.74%"
"30-09-2024","198.74","202.50","204.38","197.85","9.41M","-2.20%"
"27-09-2024","203.22","206.32","206.90","202.30","26.88M","-1.02%"
"26-09-2024","205.32","205.25","206.00","202.31","8.62M","0.29%"
"25-09-2024","204.72","206.95","207.64","202.75","10.58M","-1.52%"
"24-09-2024","207.87","212.70","212.82","207.49","10.26M","-2.33%"
"23-09-2024","212.82","210.50","215.44","208.00","15.05M","1.32%"
"20-09-2024","210.04","211.89","212.80","209.17","13.72M","-0.62%"
"19-09-2024","211.35","214.10","215.40","206.00","19.93M","-0.84%"
"18-09-2024","213.13","208.31","214.20","207.61","30.13M","2.62%"
"17-09-2024","207.68","206.55","209.91","206.55","20.25M","1.17%"
"16-09-2024","205.28","207.60","209.38","204.70","9.40M","-0.88%"
"13-09-2024","207.10","199.00","207.75","198.05","31.71M","5.14%"
"12-09-2024","196.98","197.50","197.73","195.30","8.45M","0.66%"
"11-09-2024","195.69","199.80","200.60","195.11","12.19M","-2.17%"
"10-09-2024","200.04","197.50","201.09","196.50","7.82M","2.37%"
"09-09-2024","195.41","195.00","196.42","193.66","5.96M","-0.47%"
"06-09-2024","196.33","203.60","203.60","195.80","19.50M","-3.60%"
"05-09-2024","203.66","200.60","208.25","200.02","27.30M","2.03%"
"04-09-2024","199.61","196.50","203.44","196.50","19.07M","-0.87%"
"03-09-2024","201.37","201.83","204.60","200.71","13.86M","-0.12%"
"02-09-2024","201.61","202.25","203.64","199.38","13.65M","0.65%"
"30-08-2024","200.30","195.04","201.92","195.04","109.89M","3.28%"
"29-08-2024","193.93","196.68","197.44","191.64","21.25M","-1.39%"
"28-08-2024","196.66","202.00","202.84","196.12","12.86M","-2.19%"
"27-08-2024","201.06","200.10","202.24","198.62","7.99M","0.50%"
"26-08-2024","200.06","202.00","203.00","199.61","7.08M","-0.82%"
"23-08-2024","201.72","206.00","206.40","201.00","6.11M","-1.81%"
"22-08-2024","205.43","206.00","211.07","204.71","20.21M","0.81%"
"21-08-2024","203.77","197.00","204.76","197.00","17.81M","3.48%"
"20-08-2024","196.91","193.00","197.20","192.60","8.11M","2.55%"
"19-08-2024","192.02","193.45","194.75","191.50","5.49M","0.22%"
"16-08-2024","191.59","192.50","193.50","189.75","11.03M","0.84%"
"14-08-2024","189.99","192.60","193.98","189.50","9.92M","-1.36%"
"13-08-2024","192.60","197.04","197.82","191.32","14.98M","-2.26%"
"12-08-2024","197.05","199.10","200.00","196.40","5.83M","-1.23%"
"09-08-2024","199.50","201.99","202.90","199.00","6.13M","0.16%"
"08-08-2024","199.18","203.61","203.89","198.20","6.76M","-2.18%"
"07-08-2024","203.61","204.54","205.87","201.58","11.95M","1.26%"
"06-08-2024","201.08","205.00","206.50","199.68","9.20M","-0.57%"
"05-08-2024","202.24","206.20","209.20","200.60","15.97M","-4.84%"
"02-08-2024","212.53","210.10","214.60","209.00","14.18M","-0.55%"
"01-08-2024","213.71","217.10","218.49","212.71","13.34M","-2.00%"
"31-07-2024","218.08","219.00","219.90","215.25","19.67M","-0.77%"
