"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","8,289.20","8,385.40","8,491.20","8,255.00","21.28K","-0.58%"
"05-11-2024","8,337.75","8,299.00","8,337.75","8,337.75","74.71K","0.60%"
"04-11-2024","8,288.40","8,350.00","8,499.00","8,101.00","64.78K","-0.26%"
"01-11-2024","8,310.30","7,840.00","8,393.60","7,700.00","47.79K","8.52%"
"31-10-2024","7,658.20","7,293.00","7,700.00","7,250.00","38.44K","5.42%"
"30-10-2024","7,264.50","7,341.00","7,447.00","7,235.00","13.66K","-0.36%"
"29-10-2024","7,290.50","7,315.00","7,384.95","7,190.05","9.29K","-0.27%"
"28-10-2024","7,310.35","6,978.20","7,384.65","6,962.35","23.97K","2.87%"
"25-10-2024","7,106.45","7,401.40","7,418.85","6,830.60","32.87K","-3.99%"
"24-10-2024","7,401.40","7,599.00","7,677.90","7,376.00","13.04K","-2.60%"
"23-10-2024","7,599.00","7,294.95","7,693.70","7,218.45","27.40K","4.20%"
"22-10-2024","7,292.80","7,740.00","7,747.05","7,255.10","34.74K","-5.50%"
"21-10-2024","7,717.35","8,020.00","8,112.15","7,682.75","24.27K","-3.76%"
"18-10-2024","8,018.85","8,216.00","8,255.55","7,952.20","32.34K","-2.83%"
"17-10-2024","8,252.45","8,360.80","8,450.00","8,150.50","27.93K","-0.75%"
"16-10-2024","8,314.70","8,553.85","8,699.00","8,291.20","30.04K","-2.82%"
"15-10-2024","8,555.70","8,090.00","8,619.25","8,080.15","65.41K","5.65%"
"14-10-2024","8,098.40","8,225.00","8,268.25","8,045.30","24.50K","-0.86%"
"11-10-2024","8,168.25","8,120.00","8,287.00","8,074.90","19.60K","0.68%"
"10-10-2024","8,112.85","8,347.05","8,442.70","8,086.45","28.06K","-2.81%"
"09-10-2024","8,347.60","8,513.00","8,644.00","8,311.00","43.47K","-2.04%"
"08-10-2024","8,521.55","8,348.00","8,638.00","8,011.90","66.13K","3.47%"
"07-10-2024","8,235.90","8,289.00","8,750.00","8,182.95","158.67K","0.65%"
"04-10-2024","8,182.95","8,119.00","8,245.00","7,900.00","65.95K","0.89%"
"03-10-2024","8,111.15","7,800.00","8,244.70","7,763.00","115.67K","2.46%"
"01-10-2024","7,916.15","7,386.40","8,246.00","7,385.25","426.55K","7.19%"
"30-09-2024","7,385.25","7,399.00","7,450.00","7,108.15","61.67K","1.65%"
"27-09-2024","7,265.25","6,920.00","7,466.00","6,801.05","80.16K","5.92%"
"26-09-2024","6,859.15","6,705.05","6,925.00","6,651.05","25.44K","1.93%"
"25-09-2024","6,729.45","6,874.90","6,874.90","6,700.00","9.21K","0.45%"
"24-09-2024","6,699.25","6,733.40","6,745.00","6,670.05","7.61K","-0.43%"
"23-09-2024","6,728.40","6,780.05","6,811.70","6,668.55","8.53K","0.03%"
"20-09-2024","6,726.30","6,944.70","6,965.95","6,651.20","25.85K","-1.86%"
"19-09-2024","6,854.10","6,947.95","6,948.00","6,639.05","22.02K","-0.27%"
"18-09-2024","6,872.40","7,238.00","7,300.00","6,813.05","29.82K","-4.12%"
"17-09-2024","7,167.85","6,835.00","7,271.35","6,767.25","45.43K","4.94%"
"16-09-2024","6,830.30","6,874.00","6,874.00","6,721.15","14.98K","0.47%"
"13-09-2024","6,798.35","6,642.45","6,842.45","6,601.25","15.36K","2.35%"
"12-09-2024","6,642.45","6,729.95","6,763.90","6,625.00","8.67K","-1.05%"
"11-09-2024","6,713.15","6,869.00","6,888.80","6,700.25","9.41K","-2.34%"
"10-09-2024","6,873.65","6,832.00","6,899.00","6,753.00","22.28K","1.40%"
"09-09-2024","6,778.80","6,849.00","6,849.00","6,660.05","21.88K","0.01%"
"06-09-2024","6,778.25","6,735.00","6,878.40","6,690.00","35.37K","1.43%"
"05-09-2024","6,682.95","6,603.00","6,789.20","6,602.70","30.26K","1.84%"
"04-09-2024","6,562.20","6,499.05","6,599.00","6,454.15","12.35K","0.74%"
"03-09-2024","6,513.80","6,534.00","6,574.90","6,487.00","12.95K","-0.23%"
