"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","1,358.40","1,356.10","1,370.00","1,351.05","352.40K","0.17%"
"05-11-2024","1,356.10","1,300.05","1,359.60","1,300.05","1.13M","1.47%"
"04-11-2024","1,336.40","1,362.00","1,362.00","1,330.00","366.26K","-1.50%"
"01-11-2024","1,356.75","1,365.00","1,365.00","1,354.00","44.28K","0.08%"
"31-10-2024","1,355.65","1,363.85","1,370.00","1,346.55","242.38K","-0.60%"
"30-10-2024","1,363.85","1,360.25","1,380.20","1,352.05","330.46K","0.26%"
"29-10-2024","1,360.25","1,375.00","1,375.00","1,347.50","169.42K","-0.93%"
"28-10-2024","1,372.95","1,370.05","1,386.60","1,363.65","98.76K","0.60%"
"25-10-2024","1,364.75","1,385.55","1,398.50","1,356.75","137.41K","-1.44%"
"24-10-2024","1,384.65","1,400.00","1,400.15","1,371.00","117.52K","-0.76%"
"23-10-2024","1,395.20","1,385.00","1,419.90","1,373.90","347.46K","-0.05%"
"22-10-2024","1,395.95","1,428.15","1,436.95","1,389.05","616.99K","-2.44%"
"21-10-2024","1,430.80","1,458.10","1,465.80","1,417.20","311.45K","-2.33%"
"18-10-2024","1,464.95","1,430.00","1,468.80","1,416.00","364.81K","2.09%"
"17-10-2024","1,435.00","1,425.00","1,443.95","1,419.00","450.23K","0.72%"
"16-10-2024","1,424.70","1,450.00","1,451.50","1,420.05","163.68K","-1.79%"
"15-10-2024","1,450.65","1,418.00","1,454.90","1,416.00","287.86K","2.47%"
"14-10-2024","1,415.70","1,407.00","1,423.90","1,392.55","157.35K","0.68%"
"11-10-2024","1,406.10","1,397.40","1,409.50","1,389.15","291.91K","0.82%"
"10-10-2024","1,394.65","1,407.00","1,413.70","1,389.00","360.71K","-0.47%"
"09-10-2024","1,401.25","1,392.00","1,406.00","1,383.60","274.92K","0.73%"
"08-10-2024","1,391.15","1,354.20","1,398.65","1,350.20","289.31K","2.69%"
"07-10-2024","1,354.70","1,373.00","1,378.30","1,340.00","160.06K","-0.72%"
