"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","2,806.35","2,711.95","2,830.40","2,711.95","118.57K","3.55%"
"05-11-2024","2,710.05","2,670.00","2,737.95","2,651.05","80.03K","1.52%"
"04-11-2024","2,669.50","2,757.00","2,758.90","2,640.00","77.15K","-3.15%"
"01-11-2024","2,756.45","2,779.00","2,799.00","2,745.20","13.32K","-0.47%"
"31-10-2024","2,769.40","2,727.95","2,775.00","2,674.40","119.95K","1.79%"
"30-10-2024","2,720.80","2,739.90","2,798.00","2,707.10","95.01K","-0.93%"
"29-10-2024","2,746.45","2,690.95","2,758.85","2,685.35","118.37K","2.08%"
"28-10-2024","2,690.50","2,603.00","2,748.00","2,600.05","145.70K","2.01%"
"25-10-2024","2,637.45","2,781.20","2,803.10","2,541.00","276.72K","-5.71%"
"24-10-2024","2,797.05","2,709.35","2,920.00","2,677.00","674.51K","3.69%"
"23-10-2024","2,697.40","2,651.35","2,745.90","2,635.05","123.46K","2.33%"
"22-10-2024","2,635.90","2,820.00","2,822.00","2,600.10","146.99K","-5.88%"
"21-10-2024","2,800.60","2,683.85","2,944.00","2,651.00","709.32K","4.35%"
"18-10-2024","2,683.80","2,646.00","2,725.00","2,585.00","81.02K","1.39%"
"17-10-2024","2,646.95","2,678.00","2,828.00","2,635.00","221.25K","-1.26%"
"16-10-2024","2,680.85","2,650.00","2,690.00","2,625.00","43.65K","0.45%"
"15-10-2024","2,668.80","2,658.20","2,719.85","2,650.00","71.60K","0.60%"
"14-10-2024","2,652.95","2,667.00","2,745.00","2,550.00","105.41K","0.34%"
"11-10-2024","2,643.85","2,688.70","2,703.65","2,632.25","54.32K","-1.86%"
"10-10-2024","2,693.90","2,673.25","2,743.95","2,665.45","75.96K","0.77%"
"09-10-2024","2,673.25","2,666.00","2,708.15","2,636.10","78.01K","0.88%"
"08-10-2024","2,649.90","2,501.20","2,671.50","2,475.55","233.50K","6.73%"
"07-10-2024","2,482.85","2,710.00","2,740.10","2,450.00","457.02K","-10.09%"
"04-10-2024","2,761.45","2,783.50","2,828.00","2,708.45","86.81K","-0.79%"
"03-10-2024","2,783.50","2,840.00","2,879.70","2,760.80","93.39K","-3.51%"
"01-10-2024","2,884.90","2,891.25","2,975.00","2,875.00","347.07K","0.61%"
"30-09-2024","2,867.55","2,858.90","2,905.00","2,822.15","326.04K","0.30%"
"27-09-2024","2,858.90","2,703.25","2,878.00","2,699.95","591.53K","6.10%"
"26-09-2024","2,694.55","2,715.20","2,730.95","2,680.00","47.84K","-0.76%"
"25-09-2024","2,715.20","2,649.55","2,743.00","2,631.80","131.96K","2.10%"
"24-09-2024","2,659.25","2,604.90","2,758.55","2,604.90","266.78K","2.21%"
"23-09-2024","2,601.65","2,672.30","2,677.95","2,591.55","45.78K","-1.04%"
"20-09-2024","2,628.90","2,600.00","2,669.95","2,579.90","122.01K","1.87%"
"19-09-2024","2,580.55","2,709.55","2,719.40","2,506.15","172.35K","-4.23%"
"18-09-2024","2,694.45","2,740.05","2,741.15","2,680.30","69.12K","-1.87%"
"17-09-2024","2,745.80","2,718.00","2,780.00","2,668.80","166.96K","1.89%"
"16-09-2024","2,694.95","2,716.00","2,857.95","2,680.00","407.66K","0.16%"
"13-09-2024","2,690.55","2,693.00","2,747.80","2,672.05","98.83K","0.64%"
"12-09-2024","2,673.50","2,651.80","2,740.00","2,651.80","69.68K","0.10%"
"11-09-2024","2,670.80","2,720.95","2,725.00","2,651.45","77.08K","-1.71%"
"10-09-2024","2,717.25","2,633.05","2,749.70","2,633.05","175.62K","2.30%"
"09-09-2024","2,656.05","2,630.00","2,683.00","2,560.00","130.27K","1.15%"
"06-09-2024","2,625.90","2,694.65","2,715.05","2,605.95","113.10K","-2.55%"
"05-09-2024","2,694.65","2,711.00","2,773.05","2,685.00","164.73K","-2.02%"
"04-09-2024","2,750.10","2,613.60","2,774.00","2,611.75","576.99K","2.86%"
"03-09-2024","2,673.75","2,475.70","2,711.00","2,475.00","2.62M","8.76%"
"02-09-2024","2,458.30","2,495.00","2,513.55","2,444.05","40.41K","-1.35%"
"30-08-2024","2,491.85","2,535.00","2,551.45","2,444.00","86.20K","-1.67%"
"29-08-2024","2,534.25","2,580.90","2,604.90","2,512.60","69.22K","-1.58%"
"28-08-2024","2,574.90","2,549.00","2,622.00","2,536.75","120.53K","1.67%"
"27-08-2024","2,532.70","2,539.00","2,578.00","2,525.50","56.95K","-0.12%"
"26-08-2024","2,535.75","2,540.05","2,601.50","2,510.00","83.56K","0.33%"
"23-08-2024","2,527.30","2,570.05","2,577.50","2,515.50","78.81K","-1.46%"
"22-08-2024","2,564.85","2,520.40","2,604.95","2,520.40","150.80K","1.71%"
"21-08-2024","2,521.70","2,510.95","2,602.00","2,480.05","272.48K","0.43%"
"20-08-2024","2,510.95","2,380.00","2,548.00","2,347.05","286.47K","5.51%"
"19-08-2024","2,379.90","2,318.75","2,506.00","2,310.85","881.74K","4.21%"
"16-08-2024","2,283.85","2,275.65","2,299.70","2,240.00","77.43K","0.51%"
"14-08-2024","2,272.30","2,249.90","2,300.00","2,204.90","130.78K","1.33%"
"13-08-2024","2,242.55","2,328.00","2,387.70","2,211.35","165.60K","-2.92%"
"12-08-2024","2,310.10","2,363.30","2,363.30","2,301.15","137.36K","-2.25%"
"09-08-2024","2,363.35","2,266.25","2,412.00","2,266.25","1.01M","5.76%"
"08-08-2024","2,234.65","2,159.65","2,290.00","2,147.00","352.39K","4.28%"
"07-08-2024","2,143.00","2,084.95","2,169.80","2,084.95","68.39K","3.05%"
"06-08-2024","2,079.55","2,137.70","2,231.55","2,070.00","123.48K","-2.72%"
"05-08-2024","2,137.70","2,150.00","2,199.40","2,085.95","156.66K","-2.68%"
"02-08-2024","2,196.55","2,225.00","2,261.15","2,190.10","36.47K","-1.91%"
"01-08-2024","2,239.30","2,279.90","2,313.25","2,230.00","38.43K","-1.77%"
"31-07-2024","2,279.55","2,310.00","2,317.80","2,263.20","39.84K","-0.61%"
"30-07-2024","2,293.45","2,275.00","2,350.00","2,275.00","69.41K","0.12%"
"29-07-2024","2,290.70","2,300.00","2,329.80","2,278.15","37.78K","0.03%"
"26-07-2024","2,290.10","2,277.20","2,335.00","2,250.00","87.15K","1.30%"
"25-07-2024","2,260.70","2,200.00","2,277.00","2,194.00","73.76K","2.29%"
"24-07-2024","2,210.00","2,170.80","2,299.00","2,154.10","141.43K","2.67%"
"23-07-2024","2,152.60","2,127.00","2,174.40","1,900.00","113.54K","1.44%"
"22-07-2024","2,122.10","2,100.00","2,247.00","2,084.20","124.99K","-0.19%"
"19-07-2024","2,126.10","2,224.00","2,288.00","2,110.00","94.81K","-4.56%"
"18-07-2024","2,227.75","2,259.90","2,266.00","2,177.15","70.84K","-1.77%"
"16-07-2024","2,267.90","2,303.80","2,324.40","2,251.00","72.00K","-1.51%"
"15-07-2024","2,302.75","2,289.00","2,370.00","2,244.00","119.38K","0.43%"
"12-07-2024","2,292.80","2,312.00","2,400.00","2,260.00","259.28K","-1.40%"
"11-07-2024","2,325.30","2,267.60","2,364.00","2,191.90","303.64K","2.95%"
"10-07-2024","2,258.60","2,344.00","2,344.00","2,215.00","719.12K","-5.09%"
"09-07-2024","2,379.85","2,005.05","2,408.00","1,989.60","4.61M","18.60%"
"08-07-2024","2,006.70","2,058.00","2,068.00","1,992.00","106.50K","-2.28%"
"05-07-2024","2,053.55","2,074.00","2,080.00","2,036.65","95.75K","-0.33%"
"04-07-2024","2,060.35","2,080.10","2,117.90","2,050.10","163.73K","-1.65%"
"03-07-2024","2,094.85","2,079.55","2,131.95","2,056.00","254.77K","0.82%"
"02-07-2024","2,077.75","2,100.00","2,100.00","2,018.45","235.90K","-0.26%"
"01-07-2024","2,083.25","2,045.05","2,109.90","2,030.00","429.82K","2.85%"
"28-06-2024","2,025.50","1,900.40","2,167.70","1,893.05","2.75M","7.40%"
"27-06-2024","1,885.90","1,947.75","1,992.00","1,861.55","225.35K","-3.21%"
"26-06-2024","1,948.45","1,937.95","1,991.95","1,918.85","324.71K","0.27%"
"25-06-2024","1,943.15","2,004.05","2,007.15","1,907.00","1.15M","-3.54%"
"24-06-2024","2,014.40","1,714.00","2,020.65","1,703.00","4.99M","19.63%"
"21-06-2024","1,683.90","1,637.90","1,731.45","1,637.00","234.20K","3.82%"
"20-06-2024","1,622.00","1,629.70","1,669.00","1,603.00","48.18K","0.03%"
"19-06-2024","1,621.55","1,649.00","1,672.45","1,611.00","38.32K","-1.21%"
"18-06-2024","1,641.40","1,664.90","1,664.90","1,634.00","29.35K","-0.59%"
"14-06-2024","1,651.15","1,654.25","1,669.00","1,643.50","24.70K","-0.09%"
"13-06-2024","1,652.70","1,680.00","1,682.00","1,640.05","37.88K","-1.30%"
"12-06-2024","1,674.50","1,638.00","1,680.15","1,628.05","91.21K","2.26%"
"11-06-2024","1,637.50","1,590.00","1,682.20","1,579.30","189.52K","3.44%"
"10-06-2024","1,583.00","1,605.20","1,610.40","1,577.10","35.19K","-0.81%"
"07-06-2024","1,595.95","1,520.00","1,624.00","1,520.00","165.95K","4.76%"
"06-06-2024","1,523.45","1,470.00","1,558.00","1,470.00","99.09K","3.85%"
"05-06-2024","1,466.95","1,404.00","1,476.00","1,392.05","102.02K","6.76%"
"04-06-2024","1,374.00","1,489.00","1,489.00","1,318.20","70.77K","-7.55%"
"03-06-2024","1,486.20","1,485.05","1,506.35","1,465.10","47.47K","1.27%"
"31-05-2024","1,467.60","1,487.90","1,499.80","1,457.40","44.69K","-0.84%"
"30-05-2024","1,480.10","1,509.00","1,518.60","1,473.10","39.58K","-1.87%"
"29-05-2024","1,508.35","1,508.00","1,550.00","1,500.00","47.35K","-0.38%"
"28-05-2024","1,514.15","1,532.00","1,541.00","1,502.80","32.84K","-1.27%"
"27-05-2024","1,533.55","1,554.70","1,554.70","1,529.00","33.53K","-0.20%"
"24-05-2024","1,536.55","1,530.00","1,574.00","1,530.00","43.41K","-0.16%"
"23-05-2024","1,539.00","1,552.00","1,560.80","1,535.60","21.30K","-0.57%"
"22-05-2024","1,547.90","1,558.00","1,589.90","1,542.05","46.50K","-0.67%"
"21-05-2024","1,558.40","1,578.00","1,605.40","1,537.90","76.61K","0.35%"
"18-05-2024","1,552.90","1,559.30","1,560.00","1,550.00","3.91K","0.38%"
"17-05-2024","1,547.00","1,563.00","1,567.55","1,540.40","37.76K","-0.16%"
"16-05-2024","1,549.55","1,564.40","1,567.85","1,534.70","25.94K","-0.15%"
"15-05-2024","1,551.90","1,555.00","1,602.00","1,540.20","140.61K","0.83%"
"14-05-2024","1,539.15","1,553.75","1,566.55","1,530.05","50.30K","-0.94%"
"13-05-2024","1,553.70","1,508.00","1,563.70","1,477.40","70.65K","3.19%"
"10-05-2024","1,505.65","1,517.90","1,521.85","1,493.85","19.92K","-0.36%"
"09-05-2024","1,511.15","1,580.05","1,583.75","1,500.00","31.97K","-4.17%"
"08-05-2024","1,576.95","1,541.00","1,597.00","1,527.90","48.01K","2.33%"
"07-05-2024","1,541.00","1,556.30","1,572.95","1,520.10","43.41K","-1.25%"
"06-05-2024","1,560.50","1,545.00","1,599.95","1,504.00","192.07K","1.43%"
"03-05-2024","1,538.55","1,566.00","1,567.15","1,530.00","46.62K","-1.41%"
"02-05-2024","1,560.55","1,563.95","1,570.00","1,544.50","24.30K","0.10%"
"30-04-2024","1,558.95","1,582.00","1,584.35","1,541.35","32.50K","-1.16%"
"29-04-2024","1,577.30","1,575.95","1,599.95","1,557.95","28.31K","0.52%"
"26-04-2024","1,569.10","1,583.65","1,613.15","1,556.55","75.62K","-0.62%"
"25-04-2024","1,578.90","1,588.00","1,609.90","1,565.30","41.05K","-0.31%"
"24-04-2024","1,583.85","1,590.00","1,604.85","1,567.75","55.92K","0.22%"
"23-04-2024","1,580.45","1,585.00","1,591.85","1,551.95","83.78K","0.65%"
"22-04-2024","1,570.30","1,524.00","1,640.35","1,523.65","564.24K","4.85%"
"19-04-2024","1,497.65","1,516.00","1,516.00","1,490.05","32.45K","-1.30%"
"18-04-2024","1,517.45","1,548.00","1,555.00","1,506.20","35.26K","-1.39%"
"16-04-2024","1,538.85","1,550.00","1,568.75","1,530.05","22.68K","-0.78%"
"15-04-2024","1,550.90","1,568.00","1,588.95","1,535.00","23.66K","-2.74%"
"12-04-2024","1,594.55","1,590.00","1,622.00","1,575.00","66.41K","0.18%"
"10-04-2024","1,591.65","1,604.00","1,612.05","1,585.85","24.36K","-0.41%"
"09-04-2024","1,598.20","1,641.50","1,658.60","1,556.40","70.25K","-2.15%"
"08-04-2024","1,633.30","1,634.00","1,663.95","1,621.05","45.91K","0.59%"
"05-04-2024","1,623.75","1,648.00","1,659.50","1,612.00","37.25K","-1.73%"
"04-04-2024","1,652.30","1,642.50","1,669.00","1,629.85","51.41K","1.08%"
"03-04-2024","1,634.60","1,636.00","1,649.00","1,620.00","34.54K","-0.09%"
"02-04-2024","1,636.15","1,612.00","1,660.00","1,609.05","43.18K","1.70%"
"01-04-2024","1,608.85","1,574.90","1,625.50","1,574.85","35.74K","2.62%"
"28-03-2024","1,567.75","1,558.25","1,589.30","1,550.05","39.83K","1.44%"
"27-03-2024","1,545.50","1,573.00","1,581.70","1,530.10","73.34K","-1.75%"
"26-03-2024","1,573.00","1,575.00","1,598.00","1,561.55","28.43K","-0.11%"
"22-03-2024","1,574.80","1,570.95","1,594.85","1,570.00","24.77K","-0.05%"
"21-03-2024","1,575.65","1,548.95","1,585.00","1,546.90","18.90K","2.27%"
"20-03-2024","1,540.75","1,546.65","1,560.70","1,522.00","30.60K","-0.10%"
"19-03-2024","1,542.30","1,573.00","1,585.85","1,535.10","31.48K","-1.40%"
"18-03-2024","1,564.20","1,609.95","1,621.90","1,556.10","34.37K","-2.84%"
"15-03-2024","1,609.95","1,599.90","1,625.00","1,568.80","47.50K","-1.05%"
"14-03-2024","1,627.10","1,551.00","1,639.45","1,531.05","54.48K","5.40%"
"13-03-2024","1,543.80","1,656.95","1,677.00","1,525.35","83.00K","-6.44%"
