"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","4,144.90","4,062.10","4,295.00","4,062.10","722.33K","2.34%"
"05-11-2024","4,050.00","3,968.50","4,050.00","4,050.00","282.74K","1.58%"
"04-11-2024","3,987.15","4,067.70","4,067.70","3,951.00","149.30K","-1.87%"
"01-11-2024","4,063.00","4,091.00","4,099.00","4,040.00","50.77K","-0.21%"
"31-10-2024","4,071.55","3,982.90","4,085.80","3,960.00","234.67K","2.31%"
"30-10-2024","3,979.50","3,808.80","4,087.00","3,800.80","542.67K","4.42%"
"29-10-2024","3,811.15","3,760.05","3,844.95","3,742.40","132.17K","0.93%"
"28-10-2024","3,776.00","3,747.60","3,825.00","3,682.70","146.12K","1.08%"
"25-10-2024","3,735.65","3,870.70","3,915.50","3,682.30","209.12K","-3.48%"
"24-10-2024","3,870.40","3,880.00","3,928.90","3,843.00","174.84K","-0.20%"
"23-10-2024","3,878.30","3,804.00","3,938.80","3,725.10","362.31K","1.95%"
"22-10-2024","3,804.00","4,060.00","4,060.00","3,780.10","474.85K","-6.51%"
"21-10-2024","4,068.95","4,065.00","4,147.95","4,038.60","412.95K","0.74%"
"18-10-2024","4,039.05","3,910.00","4,140.00","3,830.10","1.62M","3.32%"
"17-10-2024","3,909.40","3,885.00","3,941.00","3,830.00","422.43K","0.97%"
"16-10-2024","3,871.90","3,770.05","4,008.70","3,770.05","1.75M","4.04%"
"15-10-2024","3,721.50","3,715.55","3,793.70","3,691.00","367.63K","-0.18%"
"14-10-2024","3,728.15","3,792.00","3,814.00","3,715.75","117.90K","-1.68%"
"11-10-2024","3,791.80","3,765.00","3,905.00","3,760.55","456.15K","0.76%"
"10-10-2024","3,763.20","3,601.55","3,799.95","3,587.90","437.35K","5.19%"
"09-10-2024","3,577.50","3,636.00","3,668.90","3,567.65","88.38K","-0.41%"
"08-10-2024","3,592.30","3,500.00","3,604.00","3,460.05","143.53K","2.79%"
"07-10-2024","3,494.80","3,717.00","3,736.95","3,424.40","229.99K","-4.62%"
