"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","1,471.05","1,464.45","1,482.90","1,451.60","990.23K","0.70%"
"05-11-2024","1,460.80","1,450.00","1,464.75","1,417.50","1.62M","2.66%"
"04-11-2024","1,422.90","1,422.20","1,435.00","1,395.50","715.52K","0.30%"
"01-11-2024","1,418.65","1,428.00","1,428.00","1,391.00","95.87K","0.60%"
"31-10-2024","1,410.15","1,415.00","1,441.20","1,395.25","844.55K","-0.73%"
"30-10-2024","1,420.55","1,383.35","1,430.00","1,376.35","1.10M","2.69%"
"29-10-2024","1,383.35","1,367.00","1,387.00","1,340.80","714.15K","1.31%"
"28-10-2024","1,365.50","1,392.00","1,409.00","1,357.90","1.70M","-2.48%"
"25-10-2024","1,400.20","1,438.05","1,439.95","1,390.00","591.13K","-2.06%"
"24-10-2024","1,429.65","1,405.00","1,432.90","1,397.30","475.97K","1.75%"
"23-10-2024","1,405.00","1,406.05","1,431.40","1,392.55","841.62K","-0.09%"
"22-10-2024","1,406.20","1,437.00","1,442.20","1,401.50","684.24K","-2.52%"
"21-10-2024","1,442.50","1,475.00","1,496.00","1,436.65","1.26M","-2.19%"
"18-10-2024","1,474.75","1,471.95","1,485.00","1,454.80","888.82K","0.25%"
"17-10-2024","1,471.10","1,472.50","1,478.80","1,442.75","1.03M","-0.26%"
"16-10-2024","1,475.00","1,484.00","1,488.55","1,456.45","762.83K","-0.37%"
"15-10-2024","1,480.45","1,505.75","1,505.75","1,475.85","1.22M","-0.65%"
"14-10-2024","1,490.10","1,486.10","1,505.35","1,474.25","761.00K","-0.15%"
"11-10-2024","1,492.35","1,505.05","1,510.00","1,479.95","532.80K","-0.58%"
"10-10-2024","1,501.05","1,520.00","1,526.90","1,489.00","978.22K","-0.61%"
"09-10-2024","1,510.30","1,485.05","1,520.50","1,482.35","1.30M","1.95%"
"08-10-2024","1,481.35","1,433.00","1,486.40","1,429.40","501.48K","3.31%"
"07-10-2024","1,433.95","1,477.95","1,486.00","1,425.10","1.45M","-2.70%"
"04-10-2024","1,473.80","1,488.00","1,498.95","1,460.15","1.16M","-1.04%"
"03-10-2024","1,489.25","1,529.00","1,551.00","1,473.05","1.22M","-2.68%"
"01-10-2024","1,530.20","1,519.00","1,555.00","1,514.40","472.95K","0.90%"
"30-09-2024","1,516.60","1,520.50","1,537.75","1,512.30","753.98K","-0.39%"
"27-09-2024","1,522.50","1,534.00","1,539.00","1,520.00","1.22M","-0.39%"
"26-09-2024","1,528.50","1,552.00","1,555.10","1,502.60","1.97M","-1.99%"
"25-09-2024","1,559.50","1,577.00","1,581.40","1,553.85","1.01M","-0.84%"
"24-09-2024","1,572.75","1,582.90","1,588.40","1,557.50","1.10M","-0.60%"
"23-09-2024","1,582.20","1,600.80","1,626.00","1,577.10","2.34M","-0.57%"
"20-09-2024","1,591.35","1,585.95","1,600.95","1,573.00","976.66K","0.34%"
"19-09-2024","1,585.95","1,579.95","1,594.80","1,534.05","887.60K","0.65%"
"18-09-2024","1,575.70","1,599.95","1,612.95","1,562.05","366.66K","-1.28%"
"17-09-2024","1,596.10","1,606.00","1,610.00","1,578.10","1.44M","-0.32%"
"16-09-2024","1,601.20","1,625.00","1,625.00","1,586.60","1.74M","-0.93%"
"13-09-2024","1,616.25","1,588.00","1,629.70","1,587.10","1.78M","1.59%"
"12-09-2024","1,591.00","1,569.00","1,594.10","1,566.30","445.90K","1.88%"
"11-09-2024","1,561.70","1,571.00","1,581.60","1,552.25","1.12M","-0.57%"
"10-09-2024","1,570.65","1,565.00","1,578.00","1,553.05","424.18K","1.00%"
"09-09-2024","1,555.15","1,535.00","1,561.05","1,524.75","951.00K","0.25%"
"06-09-2024","1,551.20","1,606.00","1,606.00","1,547.20","1.24M","-3.59%"
"05-09-2024","1,608.95","1,625.00","1,629.90","1,590.20","1.56M","0.20%"
"04-09-2024","1,605.70","1,568.00","1,614.90","1,554.00","1.10M","2.46%"
"03-09-2024","1,567.10","1,576.65","1,591.05","1,564.05","878.15K","0.30%"
"02-09-2024","1,562.45","1,597.00","1,599.00","1,545.50","931.06K","-1.55%"
"30-08-2024","1,587.00","1,579.50","1,590.05","1,575.10","931.25K","0.58%"
"29-08-2024","1,577.90","1,584.50","1,589.00","1,556.25","816.59K","-0.42%"
"28-08-2024","1,584.50","1,614.00","1,620.00","1,579.25","927.98K","-1.42%"
"27-08-2024","1,607.40","1,644.90","1,644.90","1,602.10","659.38K","-1.67%"
"26-08-2024","1,634.70","1,622.00","1,638.15","1,613.70","713.15K","0.89%"
"23-08-2024","1,620.30","1,636.50","1,636.95","1,601.90","868.26K","-0.06%"
"22-08-2024","1,621.20","1,607.90","1,647.95","1,594.00","955.96K","1.32%"
"21-08-2024","1,600.00","1,577.00","1,610.00","1,573.15","853.93K","1.43%"
"20-08-2024","1,577.40","1,600.00","1,604.65","1,551.05","1.04M","-0.65%"
"19-08-2024","1,587.70","1,610.00","1,613.70","1,560.15","1.19M","0.20%"
"16-08-2024","1,584.50","1,582.90","1,601.80","1,575.80","744.49K","1.10%"
"14-08-2024","1,567.20","1,574.10","1,583.95","1,553.25","464.42K","-0.88%"
"13-08-2024","1,581.05","1,594.95","1,605.00","1,576.25","479.16K","-0.78%"
"12-08-2024","1,593.55","1,629.95","1,629.95","1,565.55","1.65M","-2.63%"
"09-08-2024","1,636.55","1,628.05","1,654.95","1,617.90","2.02M","1.94%"
"08-08-2024","1,605.45","1,562.00","1,643.00","1,536.15","4.11M","3.08%"
"07-08-2024","1,557.45","1,559.00","1,576.50","1,530.00","1.46M","2.64%"
"06-08-2024","1,517.45","1,568.00","1,608.75","1,510.40","2.04M","-2.29%"
"05-08-2024","1,553.05","1,579.95","1,597.65","1,538.10","2.63M","-6.18%"
"02-08-2024","1,655.40","1,707.00","1,707.00","1,648.00","1.34M","-3.62%"
"01-08-2024","1,717.55","1,740.00","1,771.20","1,703.65","1.13M","-0.92%"
"31-07-2024","1,733.50","1,736.15","1,745.00","1,722.05","620.61K","-0.59%"
"30-07-2024","1,743.85","1,740.45","1,753.00","1,719.20","867.93K","0.39%"
"29-07-2024","1,737.00","1,694.95","1,747.00","1,691.25","1.78M","3.09%"
"26-07-2024","1,684.90","1,604.60","1,694.30","1,604.60","2.76M","5.81%"
"25-07-2024","1,592.40","1,570.00","1,603.90","1,558.55","447.27K","0.08%"
"24-07-2024","1,591.15","1,598.50","1,612.25","1,585.00","1.09M","-0.47%"
"23-07-2024","1,598.70","1,630.00","1,634.25","1,500.00","1.89M","-1.65%"
"22-07-2024","1,625.45","1,569.95","1,646.30","1,549.45","1.56M","2.92%"
"19-07-2024","1,579.40","1,626.90","1,634.30","1,575.00","945.15K","-2.60%"
"18-07-2024","1,621.50","1,661.95","1,665.85","1,612.15","1.23M","-1.93%"
"16-07-2024","1,653.35","1,634.25","1,663.75","1,634.05","814.53K","1.20%"
"15-07-2024","1,633.80","1,628.00","1,637.50","1,602.65","1.27M","0.92%"
"12-07-2024","1,618.95","1,647.00","1,648.60","1,613.95","1.11M","-1.33%"
"11-07-2024","1,640.70","1,665.65","1,665.65","1,632.00","836.45K","-1.15%"
"10-07-2024","1,659.80","1,678.60","1,678.60","1,603.00","936.23K","-0.61%"
"09-07-2024","1,670.00","1,681.00","1,681.85","1,662.45","613.81K","-0.24%"
"08-07-2024","1,674.10","1,682.95","1,693.25","1,646.25","1.50M","0.11%"
"05-07-2024","1,672.25","1,678.00","1,686.00","1,660.50","1.21M","0.12%"
"04-07-2024","1,670.30","1,650.00","1,680.40","1,627.25","1.51M","0.77%"
"03-07-2024","1,657.60","1,669.95","1,669.95","1,639.05","1.03M","0.74%"
"02-07-2024","1,645.50","1,668.75","1,681.25","1,641.05","1.39M","-1.23%"
"01-07-2024","1,665.95","1,673.10","1,696.80","1,662.75","1.14M","-0.26%"
"28-06-2024","1,670.35","1,685.00","1,692.85","1,666.45","1.11M","-0.61%"
"27-06-2024","1,680.55","1,681.00","1,696.45","1,674.65","1.40M","0.06%"
"26-06-2024","1,679.50","1,719.10","1,726.80","1,674.00","2.06M","-2.32%"
"25-06-2024","1,719.45","1,752.80","1,764.75","1,715.40","1.13M","-1.36%"
"24-06-2024","1,743.10","1,749.00","1,776.30","1,734.00","1.49M","-0.52%"
"21-06-2024","1,752.20","1,804.50","1,804.50","1,746.50","925.22K","-2.19%"
"20-06-2024","1,791.40","1,704.00","1,800.70","1,697.00","3.68M","5.17%"
"19-06-2024","1,703.40","1,720.00","1,733.40","1,688.00","3.29M","0.39%"
"18-06-2024","1,696.70","1,720.00","1,734.00","1,691.50","1.44M","-1.20%"
"14-06-2024","1,717.30","1,639.00","1,739.45","1,627.00","3.05M","4.91%"
"13-06-2024","1,636.95","1,640.00","1,655.00","1,623.65","1.14M","0.33%"
"12-06-2024","1,631.60","1,605.45","1,644.95","1,605.05","995.79K","1.81%"
"11-06-2024","1,602.60","1,590.00","1,619.45","1,584.00","788.58K","1.38%"
"10-06-2024","1,580.80","1,593.90","1,604.90","1,557.35","2.29M","-0.15%"
"07-06-2024","1,583.20","1,549.75","1,589.90","1,538.70","779.82K","1.68%"
"06-06-2024","1,557.05","1,515.00","1,578.85","1,497.10","1.05M","3.71%"
"05-06-2024","1,501.40","1,490.00","1,514.95","1,406.25","2.79M","3.81%"
"04-06-2024","1,446.25","1,608.25","1,614.00","1,412.85","3.33M","-10.07%"
"03-06-2024","1,608.25","1,649.95","1,649.95","1,588.90","1.87M","3.45%"
"31-05-2024","1,554.55","1,569.00","1,586.95","1,548.10","2.39M","0.01%"
"30-05-2024","1,554.35","1,560.10","1,579.70","1,548.85","919.31K","-0.91%"
"29-05-2024","1,568.65","1,555.00","1,573.00","1,545.10","740.47K","0.22%"
"28-05-2024","1,565.25","1,579.00","1,600.00","1,559.65","1.01M","-0.43%"
"27-05-2024","1,572.00","1,589.90","1,591.00","1,533.10","2.90M","-0.10%"
"24-05-2024","1,573.50","1,493.25","1,587.00","1,480.50","3.14M","5.37%"
"23-05-2024","1,493.25","1,481.00","1,499.90","1,463.85","399.31K","1.01%"
"22-05-2024","1,478.30","1,508.00","1,510.95","1,460.00","766.72K","-1.58%"
"21-05-2024","1,502.05","1,490.05","1,510.00","1,467.05","1.17M","0.81%"
"18-05-2024","1,490.05","1,487.00","1,495.75","1,477.05","85.39K","0.73%"
"17-05-2024","1,479.25","1,489.00","1,490.80","1,471.50","523.81K","-0.25%"
"16-05-2024","1,483.00","1,468.10","1,492.30","1,457.20","1.26M","1.39%"
"15-05-2024","1,462.70","1,439.05","1,467.45","1,431.00","888.22K","1.52%"
"14-05-2024","1,440.85","1,413.95","1,449.80","1,408.10","726.93K","1.75%"
"13-05-2024","1,416.00","1,390.45","1,423.00","1,368.90","1.60M","1.31%"
"10-05-2024","1,397.70","1,420.60","1,438.00","1,390.00","2.13M","-1.07%"
"09-05-2024","1,412.75","1,411.00","1,463.30","1,391.00","9.27M","0.54%"
"08-05-2024","1,405.15","1,242.00","1,474.40","1,209.15","12.39M","13.32%"
"07-05-2024","1,239.95","1,249.70","1,250.30","1,223.70","713.70K","-0.68%"
"06-05-2024","1,248.40","1,261.90","1,261.90","1,238.85","1.14M","-0.30%"
"03-05-2024","1,252.20","1,274.90","1,280.95","1,242.20","683.59K","-1.73%"
"02-05-2024","1,274.25","1,271.50","1,285.00","1,262.80","492.41K","0.24%"
"30-04-2024","1,271.20","1,291.00","1,301.00","1,266.60","621.75K","-0.84%"
"29-04-2024","1,282.00","1,312.25","1,316.90","1,273.55","1.18M","-2.13%"
"26-04-2024","1,309.90","1,318.00","1,326.00","1,306.35","1.07M","-0.15%"
"25-04-2024","1,311.85","1,240.75","1,325.90","1,237.20","6.40M","7.35%"
"24-04-2024","1,222.00","1,220.00","1,231.00","1,209.05","1.27M","1.28%"
"23-04-2024","1,206.55","1,212.00","1,212.00","1,194.75","475.10K","0.17%"
"22-04-2024","1,204.50","1,205.85","1,215.00","1,197.15","757.78K","0.96%"
