"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","1,466.75","1,415.00","1,473.95","1,413.50","298.82K","3.62%"
"05-11-2024","1,415.50","1,373.50","1,423.00","1,356.00","432.07K","2.21%"
"04-11-2024","1,384.90","1,422.10","1,422.15","1,376.85","257.58K","-2.62%"
"01-11-2024","1,422.15","1,434.70","1,434.70","1,414.00","15.72K","0.88%"
"31-10-2024","1,409.80","1,420.00","1,432.80","1,385.40","204.40K","-1.35%"
"30-10-2024","1,429.05","1,422.35","1,435.00","1,396.60","333.69K","0.25%"
"29-10-2024","1,425.45","1,480.25","1,483.95","1,393.00","619.08K","-2.58%"
"28-10-2024","1,463.20","1,420.00","1,479.35","1,418.30","282.54K","2.60%"
"25-10-2024","1,426.15","1,465.05","1,472.80","1,416.10","306.15K","-2.66%"
"24-10-2024","1,465.05","1,450.00","1,474.90","1,436.65","974.84K","0.46%"
"23-10-2024","1,458.35","1,429.15","1,495.00","1,412.90","170.69K","2.16%"
"22-10-2024","1,427.55","1,516.00","1,522.00","1,404.95","177.24K","-5.43%"
"21-10-2024","1,509.55","1,500.00","1,516.65","1,474.15","142.59K","0.20%"
"18-10-2024","1,506.60","1,496.95","1,532.70","1,447.25","203.75K","0.41%"
"17-10-2024","1,500.45","1,517.00","1,539.00","1,491.50","208.61K","-1.11%"
"16-10-2024","1,517.30","1,475.65","1,559.85","1,472.00","1.21M","2.95%"
"15-10-2024","1,473.85","1,497.50","1,510.00","1,461.50","293.54K","0.07%"
"14-10-2024","1,472.85","1,454.00","1,484.00","1,410.10","993.63K","1.90%"
"11-10-2024","1,445.40","1,435.00","1,449.90","1,432.00","201.71K","0.39%"
"10-10-2024","1,439.75","1,432.65","1,458.00","1,431.10","186.06K","0.54%"
"09-10-2024","1,431.95","1,456.00","1,456.00","1,417.00","559.81K","-2.74%"
"08-10-2024","1,472.35","1,380.00","1,496.00","1,380.00","1.23M","6.25%"
"07-10-2024","1,385.75","1,418.00","1,418.00","1,360.10","273.86K","-1.51%"
"04-10-2024","1,407.00","1,399.95","1,477.35","1,348.25","1.21M","1.45%"
"03-10-2024","1,386.95","1,390.00","1,425.35","1,376.05","323.41K","-0.76%"
"01-10-2024","1,397.60","1,440.00","1,449.90","1,393.00","393.49K","-3.18%"
"30-09-2024","1,443.50","1,477.70","1,482.65","1,421.40","545.66K","-4.03%"
"27-09-2024","1,504.10","1,441.95","1,568.00","1,412.90","775.70K","5.26%"
"26-09-2024","1,428.90","1,433.80","1,452.80","1,418.85","183.82K","0.52%"
"25-09-2024","1,421.45","1,379.85","1,429.90","1,366.10","455.65K","3.88%"
"24-09-2024","1,368.40","1,459.50","1,459.50","1,359.65","916.99K","-6.27%"
"23-09-2024","1,460.00","1,439.05","1,472.00","1,412.10","468.51K","0.90%"
"20-09-2024","1,446.95","1,363.45","1,470.00","1,346.35","575.02K","6.47%"
"19-09-2024","1,359.05","1,392.05","1,398.00","1,344.60","477.69K","-1.59%"
