"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","247.98","237.61","249.20","237.28","23.23M","5.41%"
"05-11-2024","235.25","234.00","235.25","235.25","11.73M","0.80%"
"04-11-2024","233.39","242.95","242.95","230.80","17.32M","-3.55%"
"01-11-2024","241.97","240.90","243.00","240.50","3.32M","1.24%"
"31-10-2024","239.00","236.50","240.80","232.85","14.33M","1.01%"
"30-10-2024","236.60","234.95","243.10","230.75","21.34M","0.68%"
"29-10-2024","235.00","232.80","236.00","227.50","29.44M","2.29%"
"28-10-2024","229.75","218.35","238.50","213.25","57.16M","5.95%"
"25-10-2024","216.85","228.00","228.20","210.70","38.74M","-4.60%"
"24-10-2024","227.30","224.10","229.80","222.05","26.38M","1.61%"
"23-10-2024","223.70","233.00","235.40","222.55","55.94M","-3.91%"
"22-10-2024","232.80","247.65","248.00","231.65","22.79M","-6.00%"
"21-10-2024","247.65","255.50","257.95","245.00","12.97M","-2.44%"
"18-10-2024","253.85","253.80","255.80","246.50","18.20M","-0.14%"
"17-10-2024","254.20","269.80","270.50","252.95","20.61M","-5.71%"
"16-10-2024","269.60","271.65","275.55","268.85","5.15M","-0.74%"
"15-10-2024","271.60","270.00","272.60","267.75","5.60M","1.06%"
"14-10-2024","268.75","270.65","273.25","267.30","5.64M","-0.46%"
"11-10-2024","270.00","271.25","273.90","268.50","6.13M","-0.50%"
"10-10-2024","271.35","265.30","273.15","265.15","12.83M","2.67%"
"09-10-2024","264.30","265.35","269.30","262.50","8.89M","-0.45%"
"08-10-2024","265.50","256.00","267.50","254.90","16.22M","3.45%"
"07-10-2024","256.65","269.50","269.95","254.15","11.42M","-4.09%"
"04-10-2024","267.60","268.95","272.75","262.25","11.76M","-0.50%"
"03-10-2024","268.95","274.20","277.85","266.35","15.22M","-4.10%"
"01-10-2024","280.45","280.40","285.50","279.00","13.45M","0.27%"
"30-09-2024","279.70","284.80","284.90","274.65","22.84M","-2.73%"
"27-09-2024","287.55","285.05","291.10","283.20","45.81M","2.46%"
"26-09-2024","280.65","282.15","283.30","277.90","8.49M","-0.53%"
"25-09-2024","282.15","282.80","284.70","278.80","12.87M","-0.04%"
"24-09-2024","282.25","275.00","283.45","272.30","21.25M","2.94%"
"23-09-2024","274.20","274.00","275.60","269.20","21.86M","3.02%"
"20-09-2024","266.15","258.45","266.80","257.85","13.92M","3.50%"
"19-09-2024","257.15","266.60","267.75","249.45","17.35M","-3.07%"
"18-09-2024","265.30","264.95","268.00","262.75","8.73M","0.17%"
"17-09-2024","264.85","269.75","269.85","264.25","7.50M","-1.73%"
"16-09-2024","269.50","264.30","270.70","263.75","10.50M","1.97%"
"13-09-2024","264.30","267.00","267.45","263.25","7.92M","-0.64%"
"12-09-2024","266.00","260.15","266.50","259.65","12.12M","2.80%"
"11-09-2024","258.75","265.05","267.20","257.35","10.16M","-2.17%"
"10-09-2024","264.50","263.15","267.70","261.85","11.35M","0.93%"
"09-09-2024","262.05","263.70","265.80","258.20","17.43M","-0.66%"
"06-09-2024","263.80","272.05","273.20","263.15","20.00M","-3.56%"
"05-09-2024","273.55","279.00","280.45","270.25","18.04M","-1.85%"
"04-09-2024","278.70","283.50","284.80","276.80","14.80M","-2.67%"
"03-09-2024","286.35","287.20","290.20","285.85","5.68M","-0.16%"
"02-09-2024","286.80","291.00","292.00","285.05","6.50M","-1.29%"
"30-08-2024","290.55","291.70","293.45","289.75","9.72M","-0.15%"
"29-08-2024","291.00","294.95","294.95","287.10","11.00M","-1.22%"
"28-08-2024","294.60","298.00","298.75","293.95","6.58M","-1.07%"
"27-08-2024","297.80","298.90","299.80","296.60","6.80M","0.17%"
"26-08-2024","297.30","297.75","304.00","294.60","15.56M","0.37%"
"23-08-2024","296.20","299.95","301.35","295.25","7.53M","-1.15%"
"22-08-2024","299.65","298.00","302.50","296.85","12.09M","1.01%"
"21-08-2024","296.65","296.30","297.70","294.85","4.90M","0.08%"
"20-08-2024","296.40","294.35","296.90","291.65","7.42M","0.90%"
"19-08-2024","293.75","297.90","299.50","293.35","9.81M","-0.94%"
