"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","7,007.40","6,935.00","7,024.00","6,894.00","696.12K","1.11%"
"05-11-2024","6,930.35","6,845.00","7,014.95","6,712.00","1.22M","1.27%"
"04-11-2024","6,843.70","6,975.00","6,975.00","6,752.90","716.24K","-1.15%"
"01-11-2024","6,923.60","6,930.00","6,944.55","6,902.00","45.01K","0.49%"
"31-10-2024","6,889.75","6,949.00","6,970.80","6,879.75","730.15K","-0.94%"
"30-10-2024","6,955.00","6,999.00","7,020.45","6,932.00","566.04K","-0.96%"
"29-10-2024","7,022.50","6,909.10","7,060.00","6,802.20","1.41M","1.61%"
"28-10-2024","6,911.35","6,920.00","7,045.00","6,875.00","714.98K","0.02%"
"25-10-2024","6,910.15","7,040.90","7,059.95","6,893.30","1.02M","-1.86%"
"24-10-2024","7,040.90","7,012.50","7,122.85","6,990.60","895.13K","0.64%"
"23-10-2024","6,995.80","6,605.75","7,098.85","6,601.00","2.64M","4.76%"
"22-10-2024","6,677.90","6,800.00","6,833.00","6,643.65","1.70M","-1.52%"
"21-10-2024","6,780.90","6,909.05","6,950.75","6,717.25","2.21M","-1.72%"
"18-10-2024","6,899.55","6,893.00","6,938.65","6,820.70","744.93K","0.00%"
"17-10-2024","6,899.50","6,980.95","6,998.80","6,871.00","689.76K","-0.82%"
"16-10-2024","6,956.35","7,010.00","7,059.35","6,920.00","1.13M","-0.86%"
"15-10-2024","7,016.90","7,244.90","7,256.15","6,979.00","1.49M","-2.66%"
"14-10-2024","7,208.80","7,292.70","7,313.85","7,200.00","445.18K","-1.28%"
"11-10-2024","7,302.00","7,325.00","7,330.00","7,226.05","361.59K","-0.24%"
"10-10-2024","7,319.70","7,320.00","7,368.00","7,273.00","559.43K","0.26%"
"09-10-2024","7,300.45","7,216.00","7,426.80","7,206.10","1.05M","1.58%"
"08-10-2024","7,186.95","7,264.85","7,295.40","7,160.05","903.81K","-1.13%"
"07-10-2024","7,269.40","7,211.35","7,324.00","7,190.30","936.23K","0.80%"
"04-10-2024","7,211.35","7,420.00","7,430.00","7,155.00","1.77M","-2.99%"
"03-10-2024","7,433.85","7,610.00","7,700.00","7,381.00","1.04M","-3.49%"
