"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","1,748.70","1,740.00","1,759.70","1,733.20","926.03K","0.75%"
"05-11-2024","1,735.65","1,714.10","1,744.30","1,686.00","1.65M","1.35%"
"04-11-2024","1,712.50","1,754.70","1,758.00","1,694.05","1.29M","-2.40%"
"01-11-2024","1,754.70","1,762.00","1,772.15","1,746.30","134.83K","0.23%"
"31-10-2024","1,750.75","1,745.20","1,755.00","1,725.05","869.48K","-0.10%"
"30-10-2024","1,752.45","1,766.70","1,777.45","1,740.20","826.68K","-0.81%"
"29-10-2024","1,766.70","1,725.15","1,775.50","1,703.00","1.56M","2.09%"
"28-10-2024","1,730.45","1,710.75","1,737.85","1,701.95","653.16K","1.35%"
"25-10-2024","1,707.40","1,742.10","1,751.90","1,698.10","875.97K","-1.99%"
"24-10-2024","1,742.10","1,740.05","1,764.00","1,718.65","1.50M","0.14%"
"23-10-2024","1,739.70","1,727.55","1,779.50","1,727.55","2.59M","0.99%"
"22-10-2024","1,722.60","1,758.55","1,770.95","1,716.15","3.14M","-2.04%"
"21-10-2024","1,758.40","1,822.00","1,823.90","1,753.95","1.66M","-3.38%"
"18-10-2024","1,819.90","1,815.00","1,833.30","1,793.00","990.26K","0.23%"
"17-10-2024","1,815.80","1,868.00","1,869.45","1,809.10","1.12M","-2.48%"
"16-10-2024","1,862.05","1,855.00","1,871.00","1,847.25","850.01K","0.44%"
"15-10-2024","1,853.95","1,873.60","1,895.75","1,842.00","2.07M","-0.71%"
"14-10-2024","1,867.20","1,885.10","1,885.10","1,862.55","809.88K","-0.49%"
"11-10-2024","1,876.40","1,875.95","1,883.80","1,855.10","516.76K","0.04%"
"10-10-2024","1,875.70","1,874.80","1,887.85","1,860.00","1.21M","0.47%"
"09-10-2024","1,866.95","1,849.00","1,881.20","1,835.55","1.41M","1.57%"
"08-10-2024","1,838.15","1,873.20","1,893.95","1,833.10","1.42M","-2.19%"
"07-10-2024","1,879.30","1,884.55","1,901.60","1,868.80","1.42M","-0.28%"
"04-10-2024","1,884.55","1,913.30","1,935.00","1,865.25","2.42M","-1.51%"
"03-10-2024","1,913.40","1,961.00","1,970.05","1,896.50","1.70M","-3.13%"
"01-10-2024","1,975.25","1,973.00","2,007.10","1,969.05","1.33M","0.09%"
"30-09-2024","1,973.40","2,010.70","2,018.95","1,968.30","1.86M","-1.86%"
"27-09-2024","2,010.70","1,976.85","2,029.90","1,966.30","3.72M","1.41%"
"26-09-2024","1,982.80","1,940.00","1,988.25","1,930.15","2.54M","2.82%"
"25-09-2024","1,928.50","1,905.00","1,938.80","1,896.05","901.66K","1.25%"
"24-09-2024","1,904.65","1,920.00","1,923.60","1,898.35","1.46M","-0.80%"
"23-09-2024","1,919.95","1,929.85","1,934.00","1,914.60","1.12M","0.16%"
"20-09-2024","1,916.80","1,892.10","1,924.50","1,884.35","4.23M","1.40%"
"19-09-2024","1,890.40","1,890.00","1,902.00","1,876.00","1.82M","0.12%"
"18-09-2024","1,888.20","1,848.70","1,897.00","1,843.20","2.96M","2.14%"
"17-09-2024","1,848.70","1,859.00","1,876.85","1,838.55","1.92M","-0.48%"
"16-09-2024","1,857.60","1,902.00","1,921.00","1,838.05","3.18M","-1.95%"
"13-09-2024","1,894.45","1,874.80","1,906.90","1,846.50","3.08M","2.13%"
"12-09-2024","1,854.85","1,850.70","1,860.00","1,816.80","2.04M","1.18%"
"11-09-2024","1,833.15","1,829.00","1,853.80","1,814.25","1.49M","0.47%"
"10-09-2024","1,824.50","1,874.80","1,874.80","1,815.25","2.16M","-1.93%"
"09-09-2024","1,860.45","1,860.00","1,873.75","1,839.05","1.58M","0.18%"
"06-09-2024","1,857.15","1,864.00","1,898.00","1,836.00","2.97M","-0.42%"
"05-09-2024","1,864.95","1,868.00","1,874.70","1,850.00","1.44M","-0.37%"
"04-09-2024","1,871.90","1,840.20","1,879.70","1,833.05","2.63M","0.34%"
"03-09-2024","1,865.60","1,850.00","1,870.95","1,811.95","4.43M","1.36%"
"02-09-2024","1,840.55","1,796.40","1,862.00","1,787.80","5.44M","3.22%"
"30-08-2024","1,783.05","1,769.95","1,793.50","1,750.05","3.87M","1.56%"
"29-08-2024","1,755.65","1,716.00","1,772.00","1,711.55","5.51M","2.46%"
"28-08-2024","1,713.50","1,728.00","1,735.00","1,700.05","1.44M","-0.32%"
"27-08-2024","1,719.00","1,686.20","1,729.00","1,652.00","4.21M","1.95%"
"26-08-2024","1,686.20","1,649.00","1,688.00","1,638.75","2.45M","2.82%"
"23-08-2024","1,639.90","1,627.90","1,644.95","1,623.20","1.11M","0.87%"
"22-08-2024","1,625.70","1,624.80","1,630.00","1,614.05","1.33M","0.29%"
"21-08-2024","1,620.95","1,600.00","1,628.80","1,599.95","1.97M","1.18%"
"20-08-2024","1,602.10","1,554.95","1,624.90","1,551.50","3.15M","3.29%"
"19-08-2024","1,551.10","1,563.90","1,563.90","1,545.05","940.89K","0.08%"
"16-08-2024","1,549.90","1,539.00","1,552.45","1,523.25","1.84M","1.36%"
"14-08-2024","1,529.15","1,545.00","1,546.45","1,526.80","1.17M","-0.92%"
"13-08-2024","1,543.35","1,554.00","1,569.00","1,537.05","1.82M","-1.00%"
"12-08-2024","1,559.00","1,557.00","1,570.85","1,548.10","1.13M","-0.08%"
"09-08-2024","1,560.20","1,559.90","1,562.55","1,545.50","1.01M","1.31%"
"08-08-2024","1,540.05","1,562.45","1,576.45","1,532.55","1.68M","-2.00%"
"07-08-2024","1,571.40","1,584.10","1,584.80","1,563.65","1.44M","0.47%"
"06-08-2024","1,564.10","1,575.15","1,598.00","1,557.10","1.90M","-0.23%"
"05-08-2024","1,567.70","1,590.00","1,605.00","1,562.00","2.06M","-3.43%"
"02-08-2024","1,623.45","1,620.00","1,629.00","1,603.00","1.11M","-0.69%"
"01-08-2024","1,634.80","1,655.00","1,659.00","1,630.00","747.33K","-1.02%"
"31-07-2024","1,651.65","1,650.90","1,656.25","1,637.65","1.32M","0.55%"
"30-07-2024","1,642.65","1,614.00","1,669.90","1,595.20","3.70M","1.58%"
"29-07-2024","1,617.15","1,588.15","1,625.00","1,582.50","2.22M","1.94%"
"26-07-2024","1,586.45","1,578.00","1,592.75","1,569.05","2.77M","0.92%"
"25-07-2024","1,571.95","1,565.60","1,582.65","1,558.00","1.69M","-0.46%"
"24-07-2024","1,579.25","1,600.60","1,611.90","1,562.00","3.68M","-2.45%"
