"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","7,919.50","7,915.70","7,997.85","7,785.75","12.51K","0.26%"
"05-11-2024","7,898.75","7,999.00","7,898.75","7,898.75","7.88K","-1.07%"
"04-11-2024","7,984.45","8,098.35","8,183.40","7,902.10","7.30K","-1.10%"
"01-11-2024","8,073.30","8,304.00","8,304.00","8,000.95","1.74K","-0.85%"
"31-10-2024","8,142.75","7,855.20","8,297.00","7,749.05","14.75K","3.88%"
"30-10-2024","7,838.50","7,720.00","7,925.00","7,678.45","12.16K","1.73%"
"29-10-2024","7,705.05","7,677.70","7,744.70","7,595.85","4.15K","0.86%"
"28-10-2024","7,639.50","7,699.25","7,753.30","7,579.55","12.47K","-1.04%"
"25-10-2024","7,719.55","7,829.50","7,940.00","7,511.55","20.73K","-1.27%"
"24-10-2024","7,818.70","8,060.00","8,089.25","7,800.00","12.88K","-2.57%"
"23-10-2024","8,025.35","7,976.55","8,089.00","7,845.70","25.93K","0.61%"
"22-10-2024","7,976.55","8,251.30","8,292.60","7,910.10","15.97K","-3.33%"
"21-10-2024","8,251.30","8,475.00","8,487.15","8,201.00","8.32K","-2.29%"
"18-10-2024","8,444.90","8,260.00","8,524.85","8,240.00","13.51K","1.61%"
"17-10-2024","8,311.20","8,525.00","9,034.95","8,201.00","111.74K","-2.14%"
"16-10-2024","8,492.90","8,540.00","8,595.75","8,476.00","8.64K","-0.22%"
"15-10-2024","8,511.80","8,535.00","8,600.95","8,492.00","6.59K","-0.02%"
"14-10-2024","8,513.55","8,475.00","8,658.90","8,419.00","11.65K","0.48%"
"11-10-2024","8,473.20","8,575.00","8,575.00","8,421.00","8.18K","-0.77%"
"10-10-2024","8,539.10","8,688.00","8,702.00","8,486.00","10.70K","-1.22%"
"09-10-2024","8,645.00","8,625.00","8,860.00","8,560.55","24.88K","0.59%"
"08-10-2024","8,594.25","8,550.00","8,749.00","8,484.05","29.24K","-0.52%"
"07-10-2024","8,639.60","8,355.00","8,740.00","8,251.00","92.07K","3.98%"
"04-10-2024","8,308.65","8,600.00","8,799.00","8,250.00","81.45K","-3.01%"
"03-10-2024","8,566.35","8,530.00","8,760.45","8,400.05","59.23K","-0.86%"
"01-10-2024","8,640.90","8,400.00","8,792.50","8,267.20","428.00K","5.32%"
"30-09-2024","8,204.70","8,120.00","8,240.00","8,085.00","13.09K","1.29%"
"27-09-2024","8,100.10","8,230.00","8,237.50","8,081.00","12.99K","-1.23%"
"26-09-2024","8,200.90","8,100.00","8,249.95","8,057.45","27.76K","1.34%"
"25-09-2024","8,092.45","8,196.60","8,209.45","8,055.50","14.85K","-1.27%"
"24-09-2024","8,196.60","8,270.00","8,320.95","8,158.50","15.12K","-0.47%"
"23-09-2024","8,235.35","8,280.00","8,283.50","8,170.00","19.47K","-0.26%"
"20-09-2024","8,257.15","8,249.35","8,325.00","8,127.30","68.63K","0.09%"
"19-09-2024","8,249.35","8,570.00","8,590.00","8,175.05","101.59K","-3.79%"
"18-09-2024","8,574.15","9,000.15","9,110.00","8,458.55","213.92K","-7.34%"
"17-09-2024","9,253.65","8,206.35","9,488.70","8,191.85","1.36M","12.43%"
"16-09-2024","8,230.65","8,150.10","8,250.00","8,115.00","3.96K","0.63%"
