"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","417.00","415.40","427.30","414.35","4.00M","0.96%"
"05-11-2024","413.05","393.55","414.65","390.75","4.93M","2.72%"
"04-11-2024","402.10","405.90","405.90","390.00","1.75M","-1.13%"
"01-11-2024","406.70","401.70","408.60","400.25","1.31M","2.22%"
"31-10-2024","397.85","380.50","401.00","377.05","5.08M","4.45%"
"30-10-2024","380.90","371.00","383.55","369.20","1.89M","2.45%"
"29-10-2024","371.80","378.00","381.30","370.45","1.23M","-1.55%"
"28-10-2024","377.65","377.00","382.00","369.45","1.59M","1.17%"
"25-10-2024","373.30","390.70","394.20","368.05","2.20M","-4.75%"
"24-10-2024","391.90","383.00","394.70","377.65","4.00M","2.87%"
"23-10-2024","380.95","347.50","389.90","340.05","13.29M","8.59%"
"22-10-2024","350.80","366.35","368.70","346.00","1.52M","-4.19%"
"21-10-2024","366.15","378.90","382.90","364.55","1.64M","-3.22%"
"18-10-2024","378.35","379.50","382.00","368.80","1.43M","-0.21%"
"17-10-2024","379.15","381.90","385.70","377.15","1.53M","-0.55%"
"16-10-2024","381.25","375.00","388.05","374.05","12.42M","1.11%"
"15-10-2024","377.05","371.75","377.90","370.35","1.12M","1.67%"
"14-10-2024","370.85","367.00","379.95","366.75","3.66M","2.25%"
"11-10-2024","362.70","364.50","366.80","360.35","1.32M","-0.21%"
"10-10-2024","363.45","361.90","368.90","360.90","1.41M","1.42%"
"09-10-2024","358.35","357.55","363.55","356.45","931.27K","1.11%"
"08-10-2024","354.40","345.95","356.00","338.70","1.55M","3.20%"
"07-10-2024","343.40","357.95","365.75","341.80","1.82M","-3.13%"
