"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","55.920","55.850","56.400","55.320","15.31M","0.49%"
"05-11-2024","55.650","53.950","55.950","53.480","19.51M","2.30%"
"04-11-2024","54.400","55.520","55.520","53.000","17.65M","-1.86%"
"01-11-2024","55.430","55.250","55.750","55.000","4.09M","0.97%"
"31-10-2024","54.900","55.340","55.840","54.080","18.76M","-0.80%"
"30-10-2024","55.340","51.960","56.900","51.700","38.99M","6.38%"
"29-10-2024","52.020","49.810","52.250","49.650","16.23M","4.44%"
"28-10-2024","49.810","49.020","50.520","48.760","20.83M","1.61%"
"25-10-2024","49.020","50.250","50.480","47.800","17.51M","-1.96%"
"24-10-2024","50.000","50.650","51.260","49.800","11.39M","-0.91%"
"23-10-2024","50.460","49.390","50.930","47.370","18.34M","2.83%"
"22-10-2024","49.070","52.100","52.580","48.700","20.25M","-5.98%"
"21-10-2024","52.190","54.600","54.790","51.880","10.08M","-3.89%"
"18-10-2024","54.300","53.800","55.000","52.450","14.67M","0.59%"
"17-10-2024","53.980","54.850","54.990","53.900","8.80M","-1.06%"
"16-10-2024","54.560","54.980","55.700","54.270","22.33M","0.44%"
"15-10-2024","54.320","54.600","55.100","53.510","30.43M","0.22%"
"14-10-2024","54.200","54.350","54.950","53.800","9.82M","-0.07%"
"11-10-2024","54.240","54.200","54.630","53.800","7.88M","0.15%"
"10-10-2024","54.160","55.000","55.570","54.000","13.57M","-0.91%"
"09-10-2024","54.660","56.750","56.980","54.300","39.97M","-4.17%"
"08-10-2024","57.040","56.250","57.250","55.310","10.97M","2.15%"
"07-10-2024","55.840","58.510","58.870","55.600","11.62M","-3.14%"
