"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","262.55","260.95","263.90","259.30","21.91M","1.80%"
"05-11-2024","257.90","253.70","260.00","251.45","16.90M","2.08%"
"04-11-2024","252.65","253.50","255.60","247.55","15.81M","-0.41%"
"01-11-2024","253.70","252.10","254.20","252.00","1.78M","1.09%"
"31-10-2024","250.96","251.45","254.18","248.20","7.74M","-0.21%"
"30-10-2024","251.48","254.70","256.39","250.61","13.78M","-1.21%"
"29-10-2024","254.56","249.90","255.00","247.51","15.01M","1.86%"
"28-10-2024","249.92","240.00","253.58","239.90","34.63M","4.34%"
"25-10-2024","239.52","244.00","245.90","234.25","13.12M","-2.14%"
"24-10-2024","244.77","236.73","245.70","236.30","11.90M","2.86%"
"23-10-2024","237.96","233.65","239.84","229.26","16.39M","1.84%"
"22-10-2024","233.65","245.00","245.50","233.10","10.26M","-4.93%"
"21-10-2024","245.77","248.00","251.20","244.84","7.68M","-0.89%"
"18-10-2024","247.97","240.65","248.75","237.85","10.98M","2.48%"
"17-10-2024","241.96","244.15","245.19","239.73","10.78M","-0.90%"
"16-10-2024","244.15","243.79","245.59","242.70","5.23M","0.14%"
"15-10-2024","243.81","245.06","248.14","242.18","10.65M","-0.30%"
"14-10-2024","244.55","243.80","245.75","242.60","6.33M","0.88%"
"11-10-2024","242.42","246.81","248.20","242.13","9.42M","-1.48%"
"10-10-2024","246.05","247.09","252.09","244.89","17.37M","-0.11%"
"09-10-2024","246.32","248.59","250.50","244.25","19.79M","-0.37%"
"08-10-2024","247.24","243.00","248.69","240.85","14.47M","1.88%"
"07-10-2024","242.67","252.00","253.28","239.04","18.62M","-3.16%"
"04-10-2024","250.59","247.73","255.70","244.34","41.06M","2.26%"
"03-10-2024","245.06","245.79","249.77","243.50","13.13M","-1.55%"
"01-10-2024","248.91","250.00","251.40","248.10","8.74M","0.45%"
"30-09-2024","247.80","247.50","251.60","246.15","12.93M","-0.72%"
"27-09-2024","249.60","245.20","250.00","244.60","21.54M","1.82%"
"26-09-2024","245.15","244.00","245.95","241.70","7.38M","0.80%"
"25-09-2024","243.20","243.60","245.15","240.55","9.32M","-0.16%"
"24-09-2024","243.60","244.30","247.10","241.90","10.36M","-0.37%"
"23-09-2024","244.50","237.30","245.40","236.00","16.70M","3.82%"
"20-09-2024","235.50","237.90","239.50","235.00","17.42M","-0.15%"
"19-09-2024","235.85","238.80","241.60","231.00","15.90M","-0.86%"
"18-09-2024","237.90","239.00","240.90","237.10","10.07M","-0.67%"
"17-09-2024","239.50","240.00","240.65","238.20","6.65M","0.15%"
"16-09-2024","239.15","240.45","241.95","238.55","6.99M","-0.13%"
"13-09-2024","239.45","238.80","241.15","236.70","15.45M","0.99%"
"12-09-2024","237.10","235.00","237.90","233.20","8.29M","1.85%"
"11-09-2024","232.80","236.00","237.20","231.75","11.57M","-1.23%"
"10-09-2024","235.70","237.30","237.45","235.00","10.14M","0.06%"
"09-09-2024","235.55","235.85","237.20","231.50","15.98M","-0.13%"
"06-09-2024","235.85","243.50","244.20","235.05","21.28M","-3.28%"
"05-09-2024","243.85","245.00","245.10","240.85","14.16M","0.14%"
"04-09-2024","243.50","247.95","249.45","242.35","17.94M","-2.87%"
"03-09-2024","250.70","253.70","254.65","250.35","9.39M","-1.26%"
"02-09-2024","253.90","251.00","255.95","248.10","17.49M","1.52%"
"30-08-2024","250.10","250.45","253.85","249.65","12.91M","0.12%"
"29-08-2024","249.80","249.85","250.70","247.65","9.99M","-0.02%"
"28-08-2024","249.85","251.20","251.65","248.05","16.57M","-0.54%"
"27-08-2024","251.20","251.60","252.50","250.10","7.57M","-0.08%"
"26-08-2024","251.40","253.25","253.70","251.00","12.15M","-0.44%"
"23-08-2024","252.50","254.10","255.10","251.80","6.94M","-0.63%"
"22-08-2024","254.10","254.35","256.80","253.50","11.10M","0.28%"
"21-08-2024","253.40","254.85","255.40","251.05","14.32M","-0.37%"
"20-08-2024","254.35","247.35","255.05","246.95","25.27M","2.83%"
"19-08-2024","247.35","243.90","249.45","243.90","10.53M","1.60%"
"16-08-2024","243.45","241.50","243.75","240.50","8.04M","1.67%"
"14-08-2024","239.45","241.90","243.40","238.75","13.20M","-0.95%"
"13-08-2024","241.75","245.05","246.55","241.00","10.53M","-1.27%"
"12-08-2024","244.85","244.00","246.95","242.50","11.63M","-0.41%"
"09-08-2024","245.85","243.20","250.20","242.10","18.59M","1.86%"
"08-08-2024","241.35","243.50","244.75","240.50","10.74M","-0.84%"
"07-08-2024","243.40","243.00","244.45","239.00","15.13M","1.63%"
"06-08-2024","239.50","241.55","246.35","238.70","22.62M","-0.19%"
"05-08-2024","239.95","238.35","241.70","231.25","33.53M","-1.54%"
"02-08-2024","243.70","250.00","250.00","242.55","26.45M","-3.00%"
"01-08-2024","251.25","258.10","258.45","250.25","33.76M","-0.95%"
"31-07-2024","253.65","257.40","257.40","251.50","17.80M","-1.01%"
