"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","36,272.70","35,879.95","36,379.00","35,712.95","16.88K","1.85%"
"05-11-2024","35,612.55","35,150.20","35,836.45","35,110.95","32.12K","0.77%"
"04-11-2024","35,341.10","35,249.95","35,527.35","34,755.15","29.68K","0.45%"
"01-11-2024","35,182.15","35,339.00","35,549.75","34,962.60","3.85K","0.17%"
"31-10-2024","35,121.60","36,173.35","36,535.05","34,822.35","36.10K","-2.91%"
"30-10-2024","36,173.35","36,540.00","36,691.00","35,912.40","14.67K","-0.67%"
"29-10-2024","36,416.55","36,346.35","36,590.00","35,325.10","43.18K","0.81%"
"28-10-2024","36,123.30","35,800.00","36,318.40","35,629.20","9.15K","0.53%"
"25-10-2024","35,931.95","36,196.45","36,575.00","35,370.30","16.69K","-0.32%"
"24-10-2024","36,049.10","36,599.75","36,599.75","35,950.00","10.75K","-0.57%"
"23-10-2024","36,255.80","36,065.30","36,886.65","35,802.85","18.92K","0.53%"
"22-10-2024","36,065.30","36,750.00","37,055.40","35,910.00","16.53K","-2.10%"
"21-10-2024","36,839.15","36,810.00","37,265.50","36,510.00","18.77K","0.10%"
"18-10-2024","36,800.75","36,486.90","36,926.95","36,060.15","21.11K","0.87%"
"17-10-2024","36,484.90","38,261.55","38,413.45","36,386.25","53.06K","-4.64%"
"16-10-2024","38,261.55","38,500.00","38,789.95","38,080.80","18.60K","-1.14%"
"15-10-2024","38,703.15","38,800.00","38,936.05","38,212.80","17.39K","-0.24%"
"14-10-2024","38,795.60","38,486.80","38,899.00","38,317.20","11.54K","0.80%"
"11-10-2024","38,486.80","38,222.25","38,639.70","38,002.30","16.88K","0.69%"
"10-10-2024","38,222.25","38,606.15","39,039.75","37,975.40","26.53K","-0.99%"
"09-10-2024","38,606.15","37,967.65","39,088.80","37,862.90","42.32K","1.68%"
"08-10-2024","37,967.65","36,700.20","38,149.95","36,571.00","35.79K","3.22%"
"07-10-2024","36,784.30","36,734.50","37,125.00","36,220.30","68.09K","0.14%"
"04-10-2024","36,734.50","37,150.00","37,150.00","36,420.55","35.35K","-1.05%"
"03-10-2024","37,122.80","37,388.00","38,100.00","37,045.45","49.12K","-1.90%"
"01-10-2024","37,841.20","37,700.00","38,079.95","37,650.00","21.53K","0.43%"
"30-09-2024","37,678.90","37,976.00","38,124.60","37,511.05","32.05K","-0.78%"
"27-09-2024","37,976.10","37,020.05","38,179.90","36,900.00","67.84K","2.25%"
"26-09-2024","37,141.90","36,965.00","37,200.00","36,752.55","37.86K","0.49%"
"25-09-2024","36,961.25","36,718.30","37,347.00","36,484.10","41.40K","0.70%"
"24-09-2024","36,703.30","36,461.90","36,950.00","36,370.10","40.92K","0.66%"
"23-09-2024","36,461.90","35,560.10","36,576.95","35,501.20","70.17K","2.17%"
"20-09-2024","35,686.75","34,500.00","36,000.00","34,423.05","73.95K","3.63%"
"19-09-2024","34,436.85","34,509.15","34,789.30","34,050.00","22.14K","0.21%"
"18-09-2024","34,363.90","34,701.00","34,867.40","34,051.00","18.44K","-1.03%"
"17-09-2024","34,720.30","34,100.00","34,794.95","33,910.05","57.20K","2.01%"
"16-09-2024","34,037.00","34,350.00","34,553.95","33,850.00","28.98K","-0.89%"
"13-09-2024","34,343.15","34,419.95","35,044.45","34,199.00","50.32K","0.67%"
"12-09-2024","34,113.90","33,440.00","34,280.00","33,437.90","38.72K","2.72%"
"11-09-2024","33,209.60","33,534.00","33,792.65","32,983.90","51.90K","-0.97%"
"10-09-2024","33,534.00","33,105.70","33,950.00","33,100.00","90.74K","1.29%"
"09-09-2024","33,105.70","32,274.00","33,174.05","32,154.75","65.07K","2.31%"
"06-09-2024","32,357.30","33,720.75","33,930.00","32,009.85","65.92K","-4.04%"
"05-09-2024","33,720.75","32,495.00","34,142.95","32,423.65","92.02K","3.91%"
"04-09-2024","32,451.85","32,380.00","32,520.35","31,965.00","16.54K","0.16%"
"03-09-2024","32,399.25","32,397.40","32,784.60","32,220.00","29.28K","0.22%"
"02-09-2024","32,327.60","32,389.60","32,632.25","31,922.35","26.47K","-0.19%"
"30-08-2024","32,389.60","31,839.95","32,500.00","31,839.95","50.05K","2.07%"
"29-08-2024","31,731.85","31,940.15","32,199.95","31,500.00","17.16K","-0.65%"
"28-08-2024","31,940.15","32,519.95","32,519.95","31,814.80","26.37K","-1.11%"
"27-08-2024","32,299.95","32,900.00","32,921.05","32,244.40","45.78K","-1.57%"
"26-08-2024","32,814.40","32,660.00","32,903.90","32,427.05","32.22K","0.66%"
"23-08-2024","32,600.15","32,500.00","32,826.10","32,157.70","39.12K","0.30%"
"22-08-2024","32,503.15","32,213.70","32,559.75","32,102.10","32.05K","0.90%"
"21-08-2024","32,213.70","32,279.85","32,279.85","31,751.90","22.62K","0.50%"
"20-08-2024","32,054.50","31,750.00","32,345.20","31,732.20","29.43K","1.42%"
"19-08-2024","31,605.75","31,940.60","32,082.45","31,525.10","25.16K","-1.05%"
