"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","317.00","309.00","318.95","307.40","10.79M","2.94%"
"05-11-2024","307.95","301.00","309.05","300.20","9.54M","1.48%"
"04-11-2024","303.45","313.00","313.50","298.10","14.06M","-3.05%"
"01-11-2024","313.00","311.95","313.85","311.80","710.15K","0.72%"
"31-10-2024","310.75","310.50","316.20","307.80","11.38M","-0.18%"
"30-10-2024","311.30","309.00","314.90","307.35","6.25M","-0.05%"
"29-10-2024","311.45","312.00","312.95","302.25","8.44M","0.34%"
"28-10-2024","310.40","307.30","315.50","305.30","13.30M","1.34%"
"25-10-2024","306.30","323.45","323.60","303.10","11.58M","-4.71%"
"24-10-2024","321.45","323.00","325.40","320.00","5.71M","-0.50%"
"23-10-2024","323.05","322.00","325.85","316.55","6.64M","0.05%"
"22-10-2024","322.90","332.00","332.55","322.00","6.37M","-2.64%"
"21-10-2024","331.65","342.55","345.50","330.20","8.61M","-3.17%"
"18-10-2024","342.50","342.70","343.90","334.30","7.33M","-0.06%"
"17-10-2024","342.70","349.15","350.60","341.85","11.02M","-2.30%"
"16-10-2024","350.75","352.00","355.90","348.05","17.07M","0.57%"
"15-10-2024","348.75","344.20","351.50","343.90","17.18M","2.35%"
"14-10-2024","340.75","340.00","344.60","337.25","7.97M","0.92%"
"11-10-2024","337.65","335.45","339.40","334.00","4.05M","0.66%"
"10-10-2024","335.45","342.00","343.30","334.55","5.71M","-1.00%"
"09-10-2024","338.85","345.00","350.00","337.75","13.52M","0.25%"
"08-10-2024","338.00","331.50","339.45","328.25","9.57M","0.90%"
"07-10-2024","335.00","342.00","343.30","332.80","7.85M","-1.54%"
"04-10-2024","340.25","342.50","347.95","334.35","18.19M","-2.47%"
"03-10-2024","348.85","353.75","361.60","347.00","20.75M","-5.27%"
"01-10-2024","368.25","370.00","373.35","364.15","9.44M","-0.46%"
"30-09-2024","369.95","367.15","376.00","360.15","23.86M","0.72%"
"27-09-2024","367.30","347.00","370.50","346.35","40.76M","6.43%"
"26-09-2024","345.10","340.00","346.95","335.15","9.52M","1.56%"
"25-09-2024","339.80","341.00","341.80","335.15","6.09M","0.19%"
"24-09-2024","339.15","338.55","343.20","336.70","7.07M","0.31%"
"23-09-2024","338.10","333.00","339.50","331.30","6.11M","2.08%"
"20-09-2024","331.20","326.45","333.10","324.45","14.64M","2.08%"
"19-09-2024","324.45","337.95","337.95","322.95","12.55M","-3.47%"
"18-09-2024","336.10","339.00","339.90","334.45","4.11M","-0.68%"
"17-09-2024","338.40","339.95","340.85","335.05","7.24M","-0.66%"
"16-09-2024","340.65","344.90","344.90","340.00","4.85M","-0.48%"
