"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","525.15","510.50","528.15","509.90","2.28M","2.29%"
"05-11-2024","513.40","524.50","527.30","510.00","1.32M","-2.12%"
"04-11-2024","524.50","531.75","533.75","520.00","603.93K","-1.36%"
"01-11-2024","531.75","539.00","542.75","529.10","229.82K","-0.94%"
"31-10-2024","536.80","546.30","547.75","528.25","1.51M","-1.85%"
"30-10-2024","546.90","542.75","550.35","539.55","976.49K","0.26%"
"29-10-2024","545.50","543.00","548.95","531.05","585.57K","1.17%"
"28-10-2024","539.20","541.15","548.35","534.85","427.88K","0.42%"
"25-10-2024","536.95","548.00","552.80","533.95","1.09M","-1.30%"
"24-10-2024","544.00","538.45","551.50","535.65","1.00M","1.76%"
"23-10-2024","534.60","537.05","540.55","530.40","517.44K","-0.72%"
"22-10-2024","538.45","556.50","559.60","536.05","622.48K","-3.27%"
"21-10-2024","556.65","557.20","565.45","554.35","775.28K","0.05%"
"18-10-2024","556.35","558.15","558.35","549.05","818.52K","-0.32%"
"17-10-2024","558.15","572.00","572.70","556.55","504.72K","-2.03%"
"16-10-2024","569.70","581.55","583.70","567.50","491.08K","-1.99%"
"15-10-2024","581.25","572.15","588.60","572.15","2.56M","2.25%"
"14-10-2024","568.45","571.00","576.10","565.00","726.05K","-0.54%"
"11-10-2024","571.55","572.80","574.75","565.85","657.65K","-0.31%"
"10-10-2024","573.30","576.45","582.00","571.80","699.20K","-0.43%"
"09-10-2024","575.80","576.10","585.00","572.15","895.47K","0.47%"
"08-10-2024","573.10","561.20","576.60","561.20","886.31K","0.92%"
"07-10-2024","567.85","576.90","581.65","561.90","1.24M","-1.58%"
"04-10-2024","576.95","588.10","592.95","574.25","1.78M","-3.37%"
"03-10-2024","597.05","605.00","614.10","590.20","1.57M","-3.65%"
"01-10-2024","619.65","621.90","624.00","607.65","1.10M","-0.43%"
"30-09-2024","622.30","616.50","625.00","613.00","1.43M","0.77%"
"27-09-2024","617.55","617.00","629.15","613.80","8.92M","0.59%"
"26-09-2024","613.90","615.20","615.90","606.15","1.80M","-0.33%"
"25-09-2024","615.95","609.00","618.00","600.20","959.98K","0.65%"
"24-09-2024","612.00","615.00","620.00","610.45","763.94K","-0.46%"
"23-09-2024","614.85","623.25","624.00","611.00","1.38M","-1.28%"
"20-09-2024","622.85","622.00","625.95","615.10","932.38K","0.38%"
"19-09-2024","620.50","619.00","626.60","616.95","691.02K","0.05%"
"18-09-2024","620.20","619.10","621.55","613.55","1.30M","-0.38%"
"17-09-2024","622.55","622.10","629.50","616.00","904.63K","-0.42%"
"16-09-2024","625.15","621.10","626.70","618.45","846.69K","0.40%"
"13-09-2024","622.65","617.00","624.45","610.75","1.08M","0.29%"
"12-09-2024","620.85","621.00","626.90","615.25","1.92M","0.46%"
"11-09-2024","618.00","608.00","622.30","604.50","5.03M","2.70%"
"10-09-2024","601.75","601.00","609.30","600.30","1.16M","-0.10%"
"09-09-2024","602.35","598.00","605.00","593.65","1.34M","1.01%"
"06-09-2024","596.30","593.00","601.00","586.25","1.77M","0.13%"
"05-09-2024","595.50","599.00","604.50","593.05","2.12M","-0.37%"
"04-09-2024","597.70","576.40","599.50","574.70","5.34M","3.62%"
"03-09-2024","576.80","576.10","581.00","575.05","471.35K","0.12%"
"02-09-2024","576.10","574.10","579.25","570.15","655.14K","0.88%"
"30-08-2024","571.05","572.05","577.00","570.15","354.39K","-0.17%"
"29-08-2024","572.05","573.85","576.00","568.30","690.71K","-0.31%"
"28-08-2024","573.85","583.70","583.70","571.50","655.82K","-1.76%"
"27-08-2024","584.15","570.00","586.00","569.50","1.76M","2.06%"
"26-08-2024","572.35","565.70","573.20","563.05","799.50K","1.18%"
"23-08-2024","565.70","582.25","584.90","564.20","1.02M","-2.81%"
"22-08-2024","582.05","579.50","597.20","578.55","3.31M","1.04%"
"21-08-2024","576.05","558.00","582.95","558.00","2.73M","1.42%"
"20-08-2024","568.00","562.75","570.55","561.00","1.81M","0.93%"
"19-08-2024","562.75","558.50","564.35","548.05","2.51M","2.34%"
"16-08-2024","549.90","550.25","551.95","537.20","1.34M","0.49%"
"14-08-2024","547.20","534.85","550.85","528.80","3.12M","2.31%"
"13-08-2024","534.85","525.05","536.70","521.00","1.81M","1.67%"
"12-08-2024","526.05","532.95","546.05","521.75","2.18M","-1.05%"
"09-08-2024","531.65","522.10","536.95","514.80","2.22M","2.61%"
"08-08-2024","518.15","531.00","532.80","517.00","1.31M","-2.92%"
"07-08-2024","533.75","542.70","544.20","532.00","524.57K","-1.29%"
"06-08-2024","540.70","545.10","549.65","539.30","551.17K","-0.67%"
"05-08-2024","544.35","541.05","548.70","534.40","1.48M","-1.07%"
"02-08-2024","550.25","544.60","555.65","544.60","570.73K","-0.50%"
"01-08-2024","553.00","553.85","558.00","547.70","752.57K","-0.34%"
"31-07-2024","554.90","553.70","558.45","551.00","915.71K","0.74%"
"30-07-2024","550.85","540.00","555.95","539.95","1.78M","2.24%"
"29-07-2024","538.80","545.50","546.60","537.75","881.09K","-0.66%"
"26-07-2024","542.40","530.00","543.50","530.00","1.46M","2.28%"
"25-07-2024","530.30","527.00","533.70","524.65","736.84K","0.07%"
"24-07-2024","529.95","526.00","532.00","524.15","673.96K","0.82%"
"23-07-2024","525.65","526.80","528.05","511.05","1.24M","-0.22%"
"22-07-2024","526.80","523.90","528.70","517.40","1.18M","0.58%"
"19-07-2024","523.75","521.00","528.80","520.45","2.25M","0.48%"
"18-07-2024","521.25","509.00","523.80","507.20","2.14M","0.14%"
"16-07-2024","520.50","522.25","524.00","518.65","1.22M","-0.03%"
"15-07-2024","520.65","528.00","536.85","518.75","2.91M","-1.02%"
"12-07-2024","526.00","525.00","532.50","522.55","1.12M","0.50%"
"11-07-2024","523.40","530.00","531.90","519.50","2.85M","-0.55%"
"10-07-2024","526.30","515.90","531.90","505.05","4.44M","2.42%"
"09-07-2024","513.85","510.00","515.70","508.75","2.12M","0.85%"
"08-07-2024","509.50","514.40","517.40","507.45","1.06M","-0.95%"
"05-07-2024","514.40","517.15","519.50","511.75","949.38K","0.27%"
"04-07-2024","513.00","511.00","516.95","507.60","1.14M","0.45%"
"03-07-2024","510.70","511.40","518.50","508.50","2.25M","0.50%"
"02-07-2024","508.15","506.75","510.25","504.35","553.03K","0.18%"
"01-07-2024","507.25","504.20","509.75","503.70","825.82K","0.60%"
"28-06-2024","504.20","501.80","506.90","500.00","965.61K","0.48%"
"27-06-2024","501.80","495.80","504.35","494.60","1.78M","1.21%"
"26-06-2024","495.80","500.05","502.25","494.45","857.65K","-0.85%"
"25-06-2024","500.05","501.50","504.40","499.05","911.40K","-0.55%"
"24-06-2024","502.80","503.80","504.95","496.30","982.77K","0.12%"
"21-06-2024","502.20","513.05","515.00","500.05","1.47M","-1.56%"
"20-06-2024","510.15","498.00","514.90","497.50","3.11M","2.51%"
"19-06-2024","497.65","506.00","506.70","497.10","1.06M","-1.26%"
"18-06-2024","504.00","505.00","508.70","502.90","1.95M","0.26%"
"14-06-2024","502.70","502.00","504.30","500.50","851.13K","0.27%"
"13-06-2024","501.35","499.00","504.95","497.00","1.97M","0.47%"
"12-06-2024","499.00","496.95","500.90","489.90","2.52M","1.20%"
"11-06-2024","493.10","491.00","496.60","489.00","2.54M","0.23%"
"10-06-2024","491.95","485.90","493.25","481.00","2.81M","1.95%"
"07-06-2024","482.55","479.40","483.25","476.00","1.76M","1.13%"
"06-06-2024","477.15","478.00","485.05","473.00","2.81M","0.44%"
"05-06-2024","475.05","452.00","481.65","452.00","6.31M","4.25%"
"04-06-2024","455.70","471.80","471.80","439.00","4.98M","-3.41%"
"03-06-2024","471.80","463.00","473.95","462.65","2.35M","2.57%"
"31-05-2024","460.00","476.05","481.45","450.80","47.93M","-3.68%"
"30-05-2024","477.55","490.50","491.90","476.10","1.93M","-3.07%"
"29-05-2024","492.65","493.25","501.40","489.00","1.82M","-0.69%"
"28-05-2024","496.05","489.95","497.60","487.10","1.87M","1.99%"
"27-05-2024","486.35","493.90","493.90","483.10","2.50M","-0.28%"
"24-05-2024","487.70","489.00","489.90","485.00","1.12M","-0.12%"
"23-05-2024","488.30","489.00","491.65","487.45","950.54K","0.06%"
"22-05-2024","488.00","493.45","494.00","486.00","1.61M","-0.80%"
"21-05-2024","491.95","494.20","494.90","484.25","1.88M","-0.46%"
"18-05-2024","494.20","493.40","495.00","491.50","104.51K","0.48%"
"17-05-2024","491.85","490.00","493.70","485.55","1.24M","0.38%"
"16-05-2024","490.00","487.00","492.00","484.25","1.72M","1.01%"
"15-05-2024","485.10","494.00","494.00","480.10","3.27M","-1.91%"
"14-05-2024","494.55","499.40","499.40","490.20","955.26K","-0.24%"
"13-05-2024","495.75","492.70","496.85","486.20","1.14M","1.12%"
"10-05-2024","490.25","487.00","492.40","478.00","1.29M","1.87%"
"09-05-2024","481.25","501.40","501.65","479.55","2.38M","-4.00%"
"08-05-2024","501.30","512.90","514.30","500.00","1.17M","-2.26%"
"07-05-2024","512.90","515.00","519.95","511.85","635.31K","0.30%"
"06-05-2024","511.35","527.75","527.75","509.55","1.05M","-2.27%"
"03-05-2024","523.25","526.90","526.90","513.50","1.47M","0.15%"
"02-05-2024","522.45","511.05","526.00","510.90","1.11M","2.73%"
"30-04-2024","508.55","507.50","519.95","505.75","1.74M","0.83%"
"29-04-2024","504.35","507.80","507.80","503.05","454.28K","0.25%"
"26-04-2024","503.10","504.00","509.45","502.00","691.47K","-0.51%"
"25-04-2024","505.70","507.00","509.75","503.60","785.27K","-0.20%"
"24-04-2024","506.70","509.80","510.00","505.95","598.34K","0.07%"
"23-04-2024","506.35","511.50","511.50","502.00","1.30M","-0.03%"
"22-04-2024","506.50","510.00","516.00","501.55","1.91M","0.39%"
"19-04-2024","504.55","515.00","515.00","500.70","1.59M","-2.20%"
"18-04-2024","515.90","532.05","537.00","513.70","1.39M","-2.88%"
"16-04-2024","531.20","542.00","547.35","529.85","858.39K","-2.70%"
"15-04-2024","545.95","548.10","552.55","543.00","439.36K","-1.94%"
"12-04-2024","556.75","561.70","563.00","555.40","326.40K","-0.88%"
"10-04-2024","561.70","559.00","562.70","555.10","310.09K","1.07%"
"09-04-2024","555.75","560.00","564.45","555.00","350.55K","-0.76%"
"08-04-2024","560.00","562.15","564.55","557.00","320.03K","-0.38%"
"05-04-2024","562.15","555.65","563.35","555.00","328.98K","0.63%"
"04-04-2024","558.65","564.90","565.25","555.10","792.92K","-0.43%"
"03-04-2024","561.05","569.50","570.40","560.05","602.97K","-1.86%"
"02-04-2024","571.70","566.45","574.00","563.25","373.87K","0.93%"
"01-04-2024","566.45","570.00","573.35","565.00","569.34K","-1.15%"
"28-03-2024","573.05","564.00","586.00","561.00","1.55M","1.03%"
"27-03-2024","567.20","558.20","570.00","557.35","844.13K","1.61%"
"26-03-2024","558.20","555.35","561.95","554.00","634.75K","-0.03%"
"22-03-2024","558.35","552.00","559.90","552.00","394.76K","0.50%"
"21-03-2024","555.55","549.20","556.85","549.05","915.14K","1.25%"
"20-03-2024","548.70","547.05","554.35","543.00","605.12K","-0.24%"
"19-03-2024","550.00","552.10","552.50","542.25","849.82K","-0.95%"
"18-03-2024","555.25","557.80","557.80","552.40","485.25K","-0.46%"
"15-03-2024","557.80","563.95","567.50","556.00","710.69K","-1.32%"
"14-03-2024","565.25","554.10","567.50","549.05","461.04K","1.53%"
"13-03-2024","556.75","566.75","570.15","553.25","785.40K","-1.26%"
"12-03-2024","563.85","574.15","576.30","562.25","513.03K","-2.17%"
"11-03-2024","576.35","573.40","583.90","569.00","792.83K","0.51%"
"07-03-2024","573.40","576.95","583.55","570.05","928.56K","-0.76%"
"06-03-2024","577.80","575.10","585.00","567.15","688.95K","0.26%"
"05-03-2024","576.30","575.50","581.75","570.00","718.29K","-0.45%"
"04-03-2024","578.90","594.65","594.65","574.35","1.12M","-2.40%"
"02-03-2024","593.15","587.95","603.70","585.05","187.00K","0.68%"
"01-03-2024","589.15","589.30","595.15","579.00","5.15M","-2.89%"
"29-02-2024","606.70","558.05","620.60","556.00","8.04M","7.53%"
"28-02-2024","564.20","562.00","567.50","555.10","1.08M","0.23%"
"27-02-2024","562.90","563.05","568.70","556.25","1.05M","-0.63%"
"26-02-2024","566.45","562.00","570.95","555.00","1.11M","-0.95%"
"23-02-2024","571.90","571.95","572.85","562.05","877.32K","0.04%"
"22-02-2024","571.65","573.00","573.50","559.05","1.08M","-0.10%"
"21-02-2024","572.25","565.00","575.85","561.50","1.10M","1.58%"
"20-02-2024","563.35","559.00","565.00","553.10","720.24K","1.16%"
"19-02-2024","556.90","564.50","564.50","555.35","327.37K","-1.07%"
"16-02-2024","562.90","554.00","564.35","554.00","725.20K","1.72%"
"15-02-2024","553.40","562.90","562.90","552.00","488.38K","-1.33%"
"14-02-2024","560.85","556.55","561.65","546.65","850.73K","0.42%"
"13-02-2024","558.50","551.80","559.90","546.55","596.96K","1.36%"
"12-02-2024","551.00","553.95","555.30","545.45","813.05K","-0.54%"
"09-02-2024","554.00","551.85","556.75","543.45","1.08M","0.91%"
"08-02-2024","549.00","555.80","559.50","546.70","1.03M","-1.22%"
"07-02-2024","555.80","569.00","578.25","552.00","4.45M","0.00%"
"06-02-2024","555.80","567.10","567.10","553.85","1.07M","-1.99%"
"05-02-2024","567.10","574.00","574.90","564.60","732.93K","-0.43%"
"02-02-2024","569.55","568.30","571.00","561.45","996.26K","0.72%"
"01-02-2024","565.50","565.55","567.45","562.00","640.93K","0.06%"
