"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","1,205.65","1,222.05","1,258.95","1,201.60","351.36K","-1.06%"
"05-11-2024","1,218.55","1,184.60","1,225.00","1,170.35","323.51K","3.02%"
"04-11-2024","1,182.80","1,237.60","1,239.75","1,173.80","378.09K","-5.50%"
"01-11-2024","1,251.60","1,225.00","1,284.70","1,191.90","658.28K","6.18%"
"31-10-2024","1,178.80","1,207.75","1,218.95","1,163.05","418.92K","-1.53%"
"30-10-2024","1,197.10","1,186.95","1,213.95","1,184.90","82.57K","0.44%"
"29-10-2024","1,191.80","1,169.00","1,212.00","1,134.00","283.38K","2.32%"
"28-10-2024","1,164.80","1,160.10","1,174.30","1,143.00","523.82K","-1.33%"
"25-10-2024","1,180.55","1,190.95","1,212.60","1,150.15","270.80K","-0.63%"
"24-10-2024","1,188.00","1,203.00","1,217.85","1,175.00","122.27K","-1.07%"
"23-10-2024","1,200.90","1,208.25","1,220.55","1,174.20","125.64K","-0.90%"
"22-10-2024","1,211.85","1,256.00","1,310.00","1,194.75","521.83K","-3.81%"
"21-10-2024","1,259.90","1,285.00","1,304.95","1,250.85","104.93K","-1.36%"
"18-10-2024","1,277.25","1,284.05","1,291.95","1,246.10","97.62K","-0.42%"
"17-10-2024","1,282.60","1,322.75","1,332.00","1,277.00","209.23K","-3.04%"
"16-10-2024","1,322.75","1,319.80","1,333.00","1,297.80","178.29K","-0.04%"
"15-10-2024","1,323.30","1,280.00","1,327.75","1,262.00","250.81K","3.59%"
"14-10-2024","1,277.45","1,287.00","1,295.30","1,265.25","201.18K","-1.34%"
"11-10-2024","1,294.75","1,308.85","1,317.00","1,283.70","81.53K","-0.68%"
"10-10-2024","1,303.55","1,359.00","1,375.50","1,298.00","472.12K","-3.16%"
"09-10-2024","1,346.10","1,343.65","1,385.05","1,337.05","162.05K","0.18%"
"08-10-2024","1,343.65","1,389.00","1,410.00","1,333.05","356.31K","-2.55%"
"07-10-2024","1,378.75","1,376.90","1,400.90","1,355.90","2.47M","0.64%"
"04-10-2024","1,370.00","1,368.95","1,419.70","1,357.50","675.19K","0.02%"
"03-10-2024","1,369.70","1,400.00","1,411.30","1,365.00","381.00K","-4.29%"
"01-10-2024","1,431.15","1,424.00","1,437.00","1,404.00","352.45K","1.00%"
"30-09-2024","1,417.05","1,400.00","1,439.95","1,383.90","425.52K","0.18%"
"27-09-2024","1,414.50","1,345.00","1,448.70","1,340.45","1.05M","5.19%"
"26-09-2024","1,344.75","1,345.30","1,352.75","1,330.00","588.70K","0.82%"
"25-09-2024","1,333.75","1,321.05","1,361.70","1,318.65","481.00K","0.57%"
"24-09-2024","1,326.20","1,333.30","1,338.80","1,318.35","431.45K","-0.55%"
"23-09-2024","1,333.60","1,343.25","1,352.45","1,324.80","97.49K","0.09%"
"20-09-2024","1,332.45","1,342.90","1,376.00","1,325.00","640.02K","0.34%"
"19-09-2024","1,327.90","1,365.00","1,369.00","1,318.35","527.50K","-2.47%"
"18-09-2024","1,361.55","1,364.00","1,369.20","1,349.75","566.10K","0.52%"
"17-09-2024","1,354.45","1,351.20","1,366.00","1,329.95","129.05K","0.24%"
"16-09-2024","1,351.20","1,342.00","1,355.00","1,336.05","194.99K","1.17%"
"13-09-2024","1,335.55","1,324.00","1,349.00","1,324.00","329.65K","1.16%"
"12-09-2024","1,320.20","1,320.00","1,324.30","1,308.90","389.28K","-0.02%"
"11-09-2024","1,320.40","1,317.85","1,325.70","1,310.85","307.55K","0.19%"
"10-09-2024","1,317.85","1,315.00","1,325.55","1,303.90","430.89K","0.45%"
"09-09-2024","1,312.00","1,312.55","1,318.00","1,297.60","862.27K","-0.51%"
"06-09-2024","1,318.75","1,306.25","1,333.00","1,304.45","597.37K","1.28%"
"05-09-2024","1,302.05","1,270.00","1,306.00","1,265.60","565.14K","2.65%"
"04-09-2024","1,268.45","1,226.40","1,272.00","1,226.40","612.56K","1.88%"
"03-09-2024","1,245.10","1,280.00","1,302.00","1,239.00","997.98K","0.32%"
