"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","5,694.90","5,608.10","5,719.00","5,608.10","233.80K","1.60%"
"05-11-2024","5,605.10","5,634.15","5,669.00","5,584.55","185.87K","-0.36%"
"04-11-2024","5,625.20","5,685.00","5,698.95","5,541.85","249.78K","-1.19%"
"01-11-2024","5,693.05","5,768.55","5,768.55","5,652.05","31.71K","-0.59%"
"31-10-2024","5,726.90","5,779.00","5,781.00","5,708.00","208.89K","-0.96%"
"30-10-2024","5,782.50","5,666.60","5,799.00","5,641.60","218.18K","2.03%"
"29-10-2024","5,667.50","5,730.80","5,759.90","5,611.05","204.75K","-0.96%"
"28-10-2024","5,722.30","5,677.00","5,779.00","5,669.40","131.89K","0.93%"
"25-10-2024","5,669.40","5,612.40","5,706.45","5,610.00","176.68K","1.02%"
"24-10-2024","5,612.40","5,750.85","5,780.50","5,601.60","269.80K","-2.37%"
"23-10-2024","5,748.85","5,698.60","5,797.60","5,690.05","123.10K","0.38%"
"22-10-2024","5,727.00","5,787.40","5,804.00","5,711.80","320.61K","-0.89%"
"21-10-2024","5,778.30","5,887.20","5,895.50","5,762.60","296.73K","-1.85%"
"18-10-2024","5,887.20","5,984.95","5,998.00","5,870.00","354.90K","-1.69%"
"17-10-2024","5,988.50","6,090.10","6,095.90","5,966.25","188.12K","-1.67%"
"16-10-2024","6,090.10","6,065.00","6,114.00","6,021.15","276.68K","0.35%"
"15-10-2024","6,068.70","6,016.35","6,082.95","5,986.95","426.22K","1.52%"
"14-10-2024","5,978.05","6,005.10","6,024.30","5,900.00","219.60K","-0.01%"
"11-10-2024","5,978.50","6,030.55","6,039.50","5,961.10","94.95K","-0.39%"
"10-10-2024","6,002.15","6,127.00","6,159.85","5,980.05","287.48K","-1.56%"
"09-10-2024","6,097.25","6,158.65","6,185.00","6,070.05","551.09K","-1.73%"
"08-10-2024","6,204.40","6,137.70","6,234.80","6,052.05","708.47K","1.37%"
"07-10-2024","6,120.30","6,222.65","6,235.00","6,105.00","374.59K","-1.38%"
