"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","1,189.80","1,179.90","1,192.95","1,171.00","54.79K","1.54%"
"05-11-2024","1,171.70","1,171.00","1,176.95","1,164.95","73.36K","-0.29%"
"04-11-2024","1,175.15","1,203.15","1,203.15","1,156.40","60.25K","-1.69%"
"01-11-2024","1,195.35","1,180.00","1,200.95","1,171.00","37.54K","2.34%"
"31-10-2024","1,168.05","1,153.95","1,170.95","1,140.55","62.99K","1.73%"
"30-10-2024","1,148.20","1,143.00","1,161.95","1,138.30","77.22K","0.89%"
"29-10-2024","1,138.05","1,142.05","1,144.00","1,126.60","34.51K","-0.32%"
"28-10-2024","1,141.65","1,120.05","1,142.95","1,106.60","73.13K","1.93%"
"25-10-2024","1,120.05","1,152.00","1,152.90","1,115.50","101.38K","-2.78%"
"24-10-2024","1,152.05","1,101.00","1,156.95","1,100.00","338.53K","1.35%"
"23-10-2024","1,136.65","1,159.70","1,166.85","1,129.25","140.03K","-0.88%"
"22-10-2024","1,146.70","1,208.90","1,211.00","1,139.00","194.26K","-5.00%"
"21-10-2024","1,207.00","1,229.40","1,230.95","1,201.95","43.31K","-1.54%"
"18-10-2024","1,225.90","1,205.10","1,229.95","1,198.05","50.32K","1.73%"
"17-10-2024","1,205.10","1,252.05","1,260.95","1,198.10","125.18K","-3.53%"
"16-10-2024","1,249.25","1,258.50","1,263.95","1,246.00","100.81K","-0.66%"
"15-10-2024","1,257.50","1,243.10","1,263.20","1,235.05","175.25K","1.64%"
"14-10-2024","1,237.20","1,232.50","1,249.95","1,208.35","93.44K","1.89%"
"11-10-2024","1,214.25","1,232.00","1,238.95","1,212.05","79.47K","-1.32%"
"10-10-2024","1,230.55","1,251.20","1,257.95","1,223.20","173.14K","-1.01%"
"09-10-2024","1,243.10","1,230.20","1,259.80","1,220.10","609.13K","1.97%"
"08-10-2024","1,219.05","1,200.00","1,246.95","1,193.15","96.55K","1.85%"
"07-10-2024","1,196.95","1,248.70","1,258.75","1,178.00","127.76K","-3.69%"
"04-10-2024","1,242.75","1,265.50","1,271.80","1,234.00","125.92K","-1.80%"
"03-10-2024","1,265.50","1,279.75","1,288.35","1,255.75","72.86K","-1.88%"
"01-10-2024","1,289.75","1,271.85","1,298.00","1,260.65","129.14K","1.74%"
"30-09-2024","1,267.70","1,243.70","1,283.15","1,236.00","152.52K","2.54%"
"27-09-2024","1,236.25","1,262.95","1,272.95","1,228.95","172.63K","-1.21%"
"26-09-2024","1,251.35","1,278.80","1,286.95","1,237.80","162.59K","-1.28%"
"25-09-2024","1,267.55","1,302.40","1,302.40","1,259.85","101.34K","-1.77%"
"24-09-2024","1,290.35","1,315.00","1,315.00","1,286.00","119.25K","-0.80%"
"23-09-2024","1,300.75","1,313.85","1,313.85","1,296.00","105.62K","-0.63%"
"20-09-2024","1,309.00","1,319.00","1,321.95","1,300.00","58.64K","-0.52%"
"19-09-2024","1,315.85","1,316.30","1,320.00","1,301.10","52.99K","-0.03%"
"18-09-2024","1,316.25","1,330.00","1,330.95","1,308.45","90.80K","-0.62%"
"17-09-2024","1,324.45","1,320.05","1,326.95","1,300.00","100.82K","0.99%"
"16-09-2024","1,311.50","1,319.95","1,322.95","1,307.35","88.34K","-0.12%"
"13-09-2024","1,313.10","1,318.00","1,325.00","1,303.00","86.01K","0.91%"
"12-09-2024","1,301.25","1,336.10","1,338.80","1,270.00","108.23K","-2.17%"
"11-09-2024","1,330.15","1,320.00","1,360.00","1,313.20","129.12K","0.83%"
"10-09-2024","1,319.20","1,305.05","1,350.00","1,305.05","99.74K","1.17%"
"09-09-2024","1,303.90","1,332.05","1,335.80","1,296.40","70.11K","-2.31%"
"06-09-2024","1,334.80","1,354.35","1,367.10","1,327.00","88.34K","-1.47%"
"05-09-2024","1,354.75","1,352.00","1,368.95","1,342.05","90.43K","0.49%"
"04-09-2024","1,348.20","1,325.10","1,353.95","1,323.30","86.62K","1.13%"
"03-09-2024","1,333.10","1,337.65","1,338.60","1,320.35","54.03K","0.25%"
"02-09-2024","1,329.80","1,349.90","1,349.90","1,322.50","75.33K","-0.08%"
"30-08-2024","1,330.80","1,308.55","1,338.00","1,308.55","208.03K","1.70%"
"29-08-2024","1,308.50","1,332.65","1,342.65","1,302.35","129.52K","-1.81%"
"28-08-2024","1,332.65","1,329.55","1,345.95","1,325.00","102.27K","0.73%"
"27-08-2024","1,322.95","1,330.00","1,337.15","1,316.55","76.66K","0.02%"
"26-08-2024","1,322.65","1,327.00","1,333.65","1,319.70","47.35K","-0.33%"
"23-08-2024","1,327.00","1,335.00","1,335.00","1,303.45","120.56K","0.00%"
"22-08-2024","1,326.95","1,310.00","1,331.00","1,307.60","84.75K","1.58%"
"21-08-2024","1,306.30","1,271.00","1,313.95","1,271.00","93.27K","1.90%"
"20-08-2024","1,281.90","1,306.05","1,306.05","1,275.05","105.51K","-1.21%"
"19-08-2024","1,297.60","1,295.40","1,300.00","1,281.05","86.39K","0.82%"
"16-08-2024","1,287.10","1,250.00","1,292.00","1,241.30","164.37K","2.33%"
"14-08-2024","1,257.80","1,239.40","1,266.95","1,212.00","182.62K","2.14%"
"13-08-2024","1,231.40","1,314.00","1,314.00","1,220.05","370.65K","-4.94%"
"12-08-2024","1,295.40","1,357.05","1,360.00","1,292.05","348.96K","-5.11%"
"09-08-2024","1,365.10","1,400.00","1,400.00","1,350.00","453.36K","-4.26%"
"08-08-2024","1,425.80","1,471.00","1,472.45","1,422.05","66.23K","-2.47%"
"07-08-2024","1,461.90","1,445.50","1,479.80","1,431.05","106.43K","2.73%"
"06-08-2024","1,423.05","1,464.50","1,490.00","1,414.95","63.65K","-2.26%"
"05-08-2024","1,456.00","1,480.10","1,504.05","1,442.50","114.02K","-3.55%"
"02-08-2024","1,509.55","1,545.40","1,545.40","1,505.20","127.89K","-2.75%"
"01-08-2024","1,552.20","1,535.00","1,554.95","1,529.00","160.86K","1.48%"
"31-07-2024","1,529.50","1,550.00","1,555.50","1,522.05","258.15K","-1.00%"
"30-07-2024","1,544.90","1,539.40","1,550.00","1,536.90","100.23K","0.59%"
"29-07-2024","1,535.90","1,561.90","1,578.50","1,523.00","142.75K","-0.20%"
"26-07-2024","1,538.95","1,507.70","1,553.25","1,498.60","150.58K","2.69%"
"25-07-2024","1,498.60","1,528.00","1,539.95","1,490.00","142.72K","-2.12%"
"24-07-2024","1,531.05","1,521.00","1,545.00","1,518.10","23.54K","0.60%"
"23-07-2024","1,521.95","1,516.90","1,556.80","1,492.50","99.89K","0.69%"
"22-07-2024","1,511.55","1,497.80","1,523.70","1,478.55","116.18K","0.59%"
"19-07-2024","1,502.70","1,552.00","1,556.75","1,492.25","92.36K","-3.47%"
"18-07-2024","1,556.75","1,555.00","1,568.20","1,535.70","62.32K","-0.08%"
"16-07-2024","1,558.05","1,593.80","1,593.80","1,555.00","92.62K","-1.17%"
"15-07-2024","1,576.50","1,606.65","1,609.90","1,572.00","156.89K","-1.88%"
"12-07-2024","1,606.65","1,603.70","1,611.95","1,570.05","146.51K","0.34%"
"11-07-2024","1,601.15","1,580.40","1,603.95","1,575.15","68.25K","1.31%"
"10-07-2024","1,580.40","1,569.05","1,586.95","1,534.25","128.41K","0.34%"
"09-07-2024","1,575.00","1,598.00","1,598.85","1,563.05","53.28K","-0.83%"
"08-07-2024","1,588.15","1,603.80","1,608.05","1,547.00","125.63K","-0.31%"
"05-07-2024","1,593.15","1,616.00","1,618.25","1,569.05","166.76K","-1.36%"
"04-07-2024","1,615.15","1,598.00","1,617.40","1,566.20","186.59K","1.08%"
"03-07-2024","1,597.90","1,597.25","1,652.80","1,582.00","269.25K","0.92%"
"02-07-2024","1,583.30","1,613.00","1,628.95","1,570.05","106.28K","-1.41%"
"01-07-2024","1,605.95","1,604.85","1,622.95","1,591.55","88.52K","0.56%"
