"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","4,701.20","4,649.00","4,812.90","4,625.55","3.19M","2.13%"
"05-11-2024","4,602.95","4,445.00","4,625.00","4,402.30","2.68M","4.29%"
"04-11-2024","4,413.65","4,444.00","4,560.00","4,372.00","2.16M","-1.12%"
"01-11-2024","4,463.65","4,482.30","4,524.00","4,414.55","510.96K","-0.04%"
"31-10-2024","4,465.60","4,365.00","4,492.30","4,315.10","1.95M","2.88%"
"30-10-2024","4,340.65","4,293.00","4,524.00","4,258.60","3.14M","1.32%"
"29-10-2024","4,284.05","4,186.00","4,300.00","4,137.10","1.58M","2.85%"
"28-10-2024","4,165.20","4,120.00","4,248.00","4,087.10","1.78M","2.52%"
"25-10-2024","4,062.75","4,324.90","4,324.90","3,993.65","2.38M","-6.06%"
"24-10-2024","4,324.95","4,295.00","4,379.80","4,275.55","2.01M","1.21%"
"23-10-2024","4,273.20","4,110.00","4,400.00","4,011.00","3.37M","4.47%"
"22-10-2024","4,090.25","4,360.00","4,364.00","4,051.10","2.82M","-5.63%"
"21-10-2024","4,334.40","4,321.00","4,459.00","4,311.10","2.80M","1.39%"
"18-10-2024","4,274.80","4,237.00","4,443.00","4,101.00","5.71M","0.41%"
"17-10-2024","4,257.55","4,528.55","4,556.80","4,200.00","3.63M","-5.84%"
"16-10-2024","4,521.85","4,575.00","4,625.00","4,419.90","6.31M","-4.85%"
"15-10-2024","4,752.25","4,860.00","4,887.40","4,670.00","4.20M","-1.19%"
"14-10-2024","4,809.50","4,536.00","4,989.80","4,535.95","12.71M","6.96%"
"11-10-2024","4,496.45","4,265.00","4,550.00","4,248.70","6.49M","6.65%"
"10-10-2024","4,216.15","4,219.00","4,349.00","4,165.65","3.48M","0.84%"
"09-10-2024","4,181.05","4,307.00","4,395.00","4,160.00","5.52M","-1.45%"
"08-10-2024","4,242.65","3,863.85","4,275.00","3,831.15","7.02M","10.88%"
"07-10-2024","3,826.45","4,190.00","4,260.00","3,781.05","6.16M","-6.86%"
"04-10-2024","4,108.15","3,980.00","4,194.30","3,851.00","7.60M","3.91%"
"03-10-2024","3,953.60","3,800.00","4,235.00","3,745.05","11.22M","2.45%"
"01-10-2024","3,858.90","3,745.00","3,920.00","3,690.10","3.63M","4.73%"
"30-09-2024","3,684.65","3,580.00","3,825.00","3,579.95","2.77M","1.06%"
"27-09-2024","3,645.95","3,760.00","3,771.60","3,625.00","975.11K","-3.01%"
"26-09-2024","3,759.05","3,935.00","3,939.95","3,735.00","1.91M","-2.05%"
"25-09-2024","3,837.85","3,993.00","4,003.00","3,826.10","1.58M","-3.58%"
"24-09-2024","3,980.15","3,952.00","4,077.00","3,911.20","2.45M","1.22%"
"23-09-2024","3,932.35","4,001.00","4,200.00","3,896.05","5.20M","-1.32%"
"20-09-2024","3,984.95","3,735.00","4,050.00","3,679.05","6.84M","7.38%"
"19-09-2024","3,711.20","3,896.00","3,896.00","3,575.95","6.25M","-4.75%"
"18-09-2024","3,896.15","3,348.00","3,945.00","3,345.00","15.63M","16.87%"
"17-09-2024","3,333.70","3,420.00","3,557.00","3,315.00","4.08M","-2.86%"
"16-09-2024","3,431.80","2,960.00","3,459.00","2,955.00","10.66M","18.23%"
"13-09-2024","2,902.70","2,892.00","2,935.50","2,874.00","754.26K","1.17%"
"12-09-2024","2,869.00","2,888.00","2,905.00","2,831.75","384.64K","-0.45%"
"11-09-2024","2,881.90","2,851.00","2,945.90","2,828.80","730.13K","1.09%"
"10-09-2024","2,850.70","2,840.00","2,870.00","2,813.15","444.34K","0.56%"
"09-09-2024","2,834.80","2,819.20","2,849.00","2,741.30","555.62K","0.37%"
"06-09-2024","2,824.25","2,902.10","2,932.45","2,805.00","722.88K","-2.30%"
"05-09-2024","2,890.60","2,768.00","2,895.00","2,768.00","1.53M","4.72%"
"04-09-2024","2,760.35","2,705.00","2,815.00","2,701.00","755.26K","1.04%"
"03-09-2024","2,731.95","2,760.10","2,778.20","2,700.10","436.50K","-1.20%"
"02-09-2024","2,765.10","2,839.50","2,839.50","2,751.00","564.64K","-2.38%"
"30-08-2024","2,832.65","2,839.00","2,850.00","2,806.00","662.02K","0.74%"
"29-08-2024","2,811.75","2,784.00","2,837.00","2,762.20","1.08M","1.12%"
"28-08-2024","2,780.65","2,765.00","2,835.40","2,741.50","1.57M","2.98%"
"27-08-2024","2,700.25","2,733.00","2,753.45","2,681.00","490.15K","-1.00%"
