"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","304.85","294.10","306.25","291.00","556.48K","4.99%"
"05-11-2024","290.35","290.20","295.10","286.20","379.02K","0.05%"
"04-11-2024","290.20","307.35","307.40","288.45","703.51K","-4.38%"
"01-11-2024","303.50","297.20","304.40","297.20","327.67K","2.88%"
"31-10-2024","295.00","288.00","296.95","284.40","952.06K","2.57%"
"30-10-2024","287.60","282.20","292.65","281.00","474.60K","1.99%"
"29-10-2024","282.00","284.00","285.40","278.95","348.75K","-0.39%"
"28-10-2024","283.10","286.00","287.75","278.30","348.07K","-0.51%"
"25-10-2024","284.55","286.30","288.50","277.00","653.50K","-0.61%"
"24-10-2024","286.30","289.85","291.70","285.40","301.59K","-0.71%"
"23-10-2024","288.35","289.15","295.20","280.25","675.44K","0.23%"
"22-10-2024","287.70","296.10","297.50","285.10","655.93K","-2.84%"
"21-10-2024","296.10","302.85","304.80","294.35","424.47K","-1.90%"
"18-10-2024","301.85","301.00","304.00","295.05","618.35K","-0.15%"
"17-10-2024","302.30","308.85","308.85","301.10","496.95K","-1.31%"
"16-10-2024","306.30","314.90","315.60","305.30","507.82K","-2.51%"
"15-10-2024","314.20","314.25","317.30","312.85","1.09M","0.30%"
"14-10-2024","313.25","317.70","319.75","311.00","353.27K","-0.71%"
"11-10-2024","315.50","316.00","321.50","312.45","530.81K","0.35%"
"10-10-2024","314.40","320.00","322.95","312.60","806.74K","-0.96%"
"09-10-2024","317.45","311.85","332.95","311.85","3.00M","2.44%"
"08-10-2024","309.90","311.95","316.35","307.20","925.66K","-0.05%"
"07-10-2024","310.05","332.00","332.00","308.05","1.57M","-3.62%"
"04-10-2024","321.70","325.00","335.60","318.45","1.37M","-0.98%"
"03-10-2024","324.90","331.10","336.85","324.00","949.46K","-3.76%"
"01-10-2024","337.60","339.90","346.70","336.15","607.55K","-0.68%"
"30-09-2024","339.90","346.30","351.75","338.10","842.25K","-3.26%"
"27-09-2024","351.35","357.65","357.65","344.10","1.38M","-1.76%"
"26-09-2024","357.65","365.70","365.70","354.30","1.48M","-2.59%"
"25-09-2024","367.15","355.65","371.90","353.15","3.42M","3.23%"
"24-09-2024","355.65","355.80","358.00","351.30","813.81K","-0.20%"
"23-09-2024","356.35","358.20","359.95","347.85","1.39M","-0.31%"
"20-09-2024","357.45","353.00","360.00","345.50","2.79M","2.03%"
"19-09-2024","350.35","341.10","353.90","340.70","8.70M","3.73%"
"18-09-2024","337.75","331.50","341.00","323.60","1.76M","1.98%"
"17-09-2024","331.20","331.60","337.70","326.85","1.72M","0.42%"
"16-09-2024","329.80","326.40","334.00","317.85","2.30M","1.85%"
"13-09-2024","323.80","317.00","345.15","316.95","17.51M","2.76%"
"12-09-2024","315.10","301.00","318.90","298.90","4.35M","5.02%"
"11-09-2024","300.05","290.00","301.45","289.05","1.91M","3.27%"
"10-09-2024","290.55","281.00","291.60","280.80","864.55K","4.12%"
"09-09-2024","279.05","279.00","280.30","272.00","592.15K","0.16%"
"06-09-2024","278.60","287.85","295.80","278.05","965.88K","-2.47%"
"05-09-2024","285.65","279.00","286.80","279.00","1.13M","3.05%"
"04-09-2024","277.20","273.55","281.95","273.05","389.44K","0.40%"
"03-09-2024","276.10","277.50","279.50","273.55","345.12K","-0.16%"
"02-09-2024","276.55","279.20","280.60","275.05","222.24K","-0.66%"
"30-08-2024","278.40","278.80","281.80","277.45","626.11K","0.41%"
"29-08-2024","277.25","280.00","282.75","276.30","342.80K","-1.14%"
"28-08-2024","280.45","284.00","285.95","280.00","298.49K","-1.09%"
"27-08-2024","283.55","284.80","285.15","283.05","377.71K","-0.44%"
"26-08-2024","284.80","284.90","286.15","282.50","370.86K","0.19%"
"23-08-2024","284.25","287.00","287.00","283.10","398.13K","-0.25%"
"22-08-2024","284.95","289.95","290.95","284.00","340.27K","-1.13%"
"21-08-2024","288.20","288.00","290.85","286.00","412.04K","1.09%"
"20-08-2024","285.10","284.00","286.00","280.65","390.18K","0.48%"
"19-08-2024","283.75","279.00","287.60","276.35","1.03M","1.87%"
"16-08-2024","278.55","287.30","287.35","274.95","499.92K","-2.33%"
"14-08-2024","285.20","285.50","287.35","284.45","405.86K","-0.11%"
"13-08-2024","285.50","285.00","292.00","278.65","1.65M","-2.11%"
"12-08-2024","291.65","291.85","297.85","289.95","547.83K","-0.75%"
"09-08-2024","293.85","299.25","300.00","293.10","358.10K","-1.24%"
"08-08-2024","297.55","300.75","302.90","296.65","317.54K","-1.13%"
"07-08-2024","300.95","296.35","303.00","293.05","504.65K","2.63%"
"06-08-2024","293.25","296.75","305.50","292.25","922.67K","-0.20%"
"05-08-2024","293.85","302.00","304.85","291.65","1.24M","-5.32%"
"02-08-2024","310.35","312.00","316.00","309.05","724.24K","-2.13%"
"01-08-2024","317.10","316.05","317.70","310.20","1.25M","1.00%"
"31-07-2024","313.95","319.05","320.40","312.00","803.66K","-1.51%"
"30-07-2024","318.75","309.95","320.00","309.90","1.90M","2.92%"
"29-07-2024","309.70","313.70","315.70","306.95","1.48M","-0.40%"
"26-07-2024","310.95","310.00","313.85","306.65","1.78M","0.65%"
"25-07-2024","308.95","302.90","311.00","300.15","2.38M","1.71%"
"24-07-2024","303.75","286.65","309.40","285.40","3.83M","5.97%"
"23-07-2024","286.65","286.05","296.75","275.70","869.43K","-0.64%"
"22-07-2024","288.50","283.35","290.85","282.10","524.51K","-0.16%"
"19-07-2024","288.95","292.00","299.95","287.20","1.45M","-1.80%"
"18-07-2024","294.25","298.00","305.60","292.65","1.03M","-1.42%"
"16-07-2024","298.50","302.00","302.90","294.20","800.45K","-0.48%"
"15-07-2024","299.95","300.00","301.00","296.10","1.11M","1.94%"
"12-07-2024","294.25","294.20","295.85","290.85","735.50K","0.15%"
"11-07-2024","293.80","293.65","296.70","288.80","628.54K","0.55%"
"10-07-2024","292.20","291.80","294.50","285.80","1.15M","0.62%"
"09-07-2024","290.40","286.90","291.00","282.80","888.44K","1.72%"
"08-07-2024","285.50","294.05","295.25","283.50","1.34M","-2.89%"
"05-07-2024","294.00","298.90","299.10","292.10","910.65K","-1.64%"
"04-07-2024","298.90","303.20","305.60","297.40","992.70K","-0.37%"
"03-07-2024","300.00","295.00","304.40","293.90","2.02M","1.95%"
"02-07-2024","294.25","295.50","296.90","293.70","804.23K","-0.02%"
"01-07-2024","294.30","293.25","300.60","288.20","1.28M","0.91%"
"28-06-2024","291.65","295.00","295.80","289.50","1.42M","-1.40%"
"27-06-2024","295.80","295.00","306.40","286.10","5.96M","1.58%"
"26-06-2024","291.20","292.00","293.70","286.50","1.30M","0.88%"
"25-06-2024","288.65","283.90","291.30","281.95","907.49K","1.83%"
"24-06-2024","283.45","286.90","287.00","280.80","425.56K","-0.84%"
"21-06-2024","285.85","288.00","294.25","284.55","1.30M","0.09%"
"20-06-2024","285.60","281.85","290.45","279.30","1.13M","1.84%"
"19-06-2024","280.45","284.60","284.70","277.00","577.05K","-0.81%"
"18-06-2024","282.75","280.55","291.40","280.55","1.22M","0.78%"
"14-06-2024","280.55","285.55","285.70","279.95","688.79K","-1.30%"
"13-06-2024","284.25","286.05","288.70","283.30","363.52K","-0.63%"
"12-06-2024","286.05","287.15","288.85","283.20","619.87K","-0.38%"
"11-06-2024","287.15","292.00","295.75","286.05","923.92K","-1.12%"
"10-06-2024","290.40","289.00","294.00","288.30","1.03M","0.69%"
"07-06-2024","288.40","289.95","292.90","286.95","820.76K","0.16%"
"06-06-2024","287.95","290.90","296.40","286.20","1.63M","-0.54%"
"05-06-2024","289.50","275.00","290.90","268.35","2.70M","6.83%"
"04-06-2024","271.00","277.95","291.65","261.10","6.55M","-1.54%"
"03-06-2024","275.25","286.00","289.00","273.10","2.89M","-0.76%"
"31-05-2024","277.35","283.85","293.85","276.00","4.66M","-1.77%"
"30-05-2024","282.35","294.50","302.35","280.75","9.26M","-4.64%"
"29-05-2024","296.10","263.90","300.00","251.25","40.82M","18.30%"
"28-05-2024","250.30","254.65","257.10","249.00","536.31K","-1.67%"
"27-05-2024","254.55","257.50","262.20","250.00","854.47K","-0.51%"
"24-05-2024","255.85","260.30","261.30","255.05","358.94K","-1.67%"
"23-05-2024","260.20","263.00","266.80","259.00","917.18K","-0.34%"
"22-05-2024","261.10","256.00","262.90","254.05","1.08M","2.57%"
"21-05-2024","254.55","258.00","261.75","253.15","860.40K","-0.74%"
"18-05-2024","256.45","256.45","256.45","256.45","","-0.58%"
"17-05-2024","257.95","255.00","260.85","253.80","1.02M","2.16%"
"16-05-2024","252.50","250.95","254.85","249.50","763.55K","0.82%"
"15-05-2024","250.45","250.75","255.00","248.65","429.52K","0.34%"
"14-05-2024","249.60","244.80","252.60","244.20","631.56K","2.38%"
"13-05-2024","243.80","249.90","250.15","241.05","745.57K","-2.40%"
"10-05-2024","249.80","252.95","252.95","246.90","727.70K","-1.34%"
"09-05-2024","253.20","247.90","263.95","247.90","7.02M","2.41%"
"08-05-2024","247.25","241.50","248.10","239.30","518.00K","2.38%"
"07-05-2024","241.50","248.00","248.00","239.00","526.83K","-1.00%"
"06-05-2024","243.95","250.00","250.00","241.40","496.48K","-1.69%"
"03-05-2024","248.15","252.00","252.75","245.25","428.69K","-1.04%"
"02-05-2024","250.75","252.25","255.80","250.00","774.65K","1.37%"
"30-04-2024","247.35","247.20","250.95","245.65","384.74K","0.14%"
"29-04-2024","247.00","253.30","253.30","245.80","571.88K","-1.77%"
"26-04-2024","251.45","254.85","255.65","251.00","462.35K","-1.18%"
"25-04-2024","254.45","249.65","257.00","249.65","1.92M","2.05%"
"24-04-2024","249.35","239.00","251.65","238.40","1.91M","5.43%"
"23-04-2024","236.50","235.00","237.40","234.00","642.05K","1.28%"
"22-04-2024","233.50","236.90","237.75","232.30","455.85K","-0.76%"
"19-04-2024","235.30","236.00","237.30","233.40","436.03K","-2.02%"
"18-04-2024","240.15","236.30","246.85","236.10","1.45M","1.52%"
"16-04-2024","236.55","227.80","239.00","227.05","2.44M","2.83%"
"15-04-2024","230.05","229.05","234.00","226.90","693.72K","-2.99%"
"12-04-2024","237.15","234.00","237.85","232.50","582.58K","0.87%"
"10-04-2024","235.10","232.00","236.00","231.00","338.24K","1.38%"
"09-04-2024","231.90","235.00","236.00","231.00","406.64K","-0.58%"
"08-04-2024","233.25","238.50","241.80","230.65","834.88K","-1.48%"
"05-04-2024","236.75","236.25","237.85","233.55","446.56K","-0.04%"
"04-04-2024","236.85","234.90","239.15","233.00","863.79K","1.59%"
"03-04-2024","233.15","229.50","234.20","227.25","972.91K","1.66%"
"02-04-2024","229.35","226.70","231.00","224.85","779.73K","1.08%"
"01-04-2024","226.90","215.60","227.85","215.60","1.15M","5.78%"
"28-03-2024","214.50","220.00","220.95","213.00","1.17M","-1.49%"
"27-03-2024","217.75","222.10","224.50","216.10","1.21M","-1.65%"
"26-03-2024","221.40","225.00","226.35","221.00","998.60K","-1.53%"
"22-03-2024","224.85","223.00","226.55","222.60","996.58K","0.81%"
"21-03-2024","223.05","225.00","225.60","222.50","620.70K","0.72%"
"20-03-2024","221.45","223.50","226.80","219.85","1.01M","-0.96%"
"19-03-2024","223.60","229.50","231.90","222.75","930.50K","-2.21%"
"18-03-2024","228.65","231.75","234.35","227.55","787.60K","-1.55%"
"15-03-2024","232.25","223.05","239.85","223.05","12.69M","5.23%"
"14-03-2024","220.70","223.90","226.85","219.15","1.57M","-0.72%"
"13-03-2024","222.30","236.75","239.00","220.05","1.49M","-5.96%"
"12-03-2024","236.40","241.30","242.60","235.10","871.53K","-1.62%"
"11-03-2024","240.30","247.00","248.25","237.20","1.37M","-2.63%"
"07-03-2024","246.80","247.00","249.40","246.00","397.52K","0.00%"
"06-03-2024","246.80","252.45","252.50","244.10","681.00K","-2.24%"
"05-03-2024","252.45","246.20","259.20","245.60","2.86M","3.08%"
"04-03-2024","244.90","248.30","248.30","244.10","438.84K","-0.97%"
"02-03-2024","247.30","246.00","248.40","245.00","117.19K","1.00%"
"01-03-2024","244.85","244.00","246.70","244.00","361.72K","0.47%"
"29-02-2024","243.70","243.15","246.45","242.00","753.87K","0.23%"
"28-02-2024","243.15","251.50","251.50","242.00","798.70K","-2.49%"
"27-02-2024","249.35","251.30","252.50","248.65","623.36K","-0.76%"
"26-02-2024","251.25","249.95","253.45","246.50","1.45M","1.29%"
"23-02-2024","248.05","255.45","258.90","247.15","2.53M","-1.80%"
"22-02-2024","252.60","256.40","265.85","251.00","10.09M","0.24%"
"21-02-2024","252.00","257.25","275.80","249.05","24.53M","2.84%"
"20-02-2024","245.05","246.50","248.00","244.00","360.21K","-0.18%"
"19-02-2024","245.50","243.40","246.90","241.60","903.78K","2.23%"
"16-02-2024","240.15","242.60","242.90","239.55","1.32M","0.10%"
"15-02-2024","239.90","244.60","246.00","239.00","924.23K","-1.17%"
"14-02-2024","242.75","244.00","249.35","242.45","607.07K","-0.88%"
