"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","210.06","213.70","213.70","208.50","472.59K","-0.32%"
"05-11-2024","210.74","208.00","214.50","206.10","1.88M","2.25%"
"04-11-2024","206.11","202.29","209.21","201.15","1.30M","-0.09%"
"01-11-2024","206.29","204.00","207.50","204.00","155.62K","1.88%"
"31-10-2024","202.49","204.28","212.40","201.00","3.40M","-3.89%"
"30-10-2024","210.68","191.00","216.00","191.00","23.18M","14.20%"
"29-10-2024","184.49","184.45","186.50","183.00","47.87K","0.02%"
"28-10-2024","184.45","183.10","185.00","179.10","121.60K","0.76%"
"25-10-2024","183.06","181.00","185.80","177.99","232.31K","1.51%"
"24-10-2024","180.34","182.80","183.97","180.00","117.76K","-1.35%"
"23-10-2024","182.80","185.00","186.24","181.46","110.08K","-1.30%"
"22-10-2024","185.21","193.00","193.00","183.80","138.51K","-3.42%"
"21-10-2024","191.77","195.65","196.24","191.00","56.34K","-1.99%"
"18-10-2024","195.66","194.00","196.79","193.00","85.51K","0.43%"
"17-10-2024","194.83","197.67","197.75","193.64","152.45K","-0.97%"
"16-10-2024","196.74","198.00","200.90","194.57","262.64K","0.75%"
"15-10-2024","195.28","195.84","203.40","194.00","503.18K","-0.08%"
"14-10-2024","195.43","198.00","198.73","193.90","261.67K","-1.01%"
"11-10-2024","197.42","199.90","200.25","196.90","132.45K","-1.09%"
"10-10-2024","199.59","202.10","202.38","198.50","106.89K","-1.24%"
"09-10-2024","202.10","202.50","204.48","196.51","358.77K","-0.33%"
"08-10-2024","202.76","197.00","203.00","195.50","165.79K","2.56%"
"07-10-2024","197.70","202.00","203.74","196.20","220.22K","-2.60%"
"04-10-2024","202.97","202.70","204.09","201.30","118.20K","-0.75%"
"03-10-2024","204.51","206.40","206.40","202.01","128.37K","-0.94%"
"01-10-2024","206.46","203.61","208.00","203.61","235.65K","-0.24%"
"30-09-2024","206.95","206.00","207.85","202.80","362.09K","0.41%"
"27-09-2024","206.10","208.26","208.49","204.28","302.52K","-0.52%"
"26-09-2024","207.18","207.20","210.35","205.30","2.71M","-0.49%"
"25-09-2024","208.19","204.89","210.85","204.55","242.71K","1.66%"
"24-09-2024","204.80","206.63","207.69","204.50","129.67K","-0.94%"
"23-09-2024","206.75","209.00","210.00","206.18","135.55K","-0.99%"
"20-09-2024","208.82","209.51","210.50","208.00","94.76K","-0.41%"
"19-09-2024","209.67","208.75","211.29","207.23","172.68K","-0.54%"
"18-09-2024","210.80","215.30","215.30","210.00","98.87K","-1.13%"
"17-09-2024","213.20","212.26","214.00","210.00","234.28K","0.27%"
"16-09-2024","212.62","215.00","216.70","212.07","83.16K","-0.72%"
"13-09-2024","214.16","214.00","221.95","211.98","393.60K","0.53%"
"12-09-2024","213.03","211.00","213.80","209.00","162.32K","0.48%"
"11-09-2024","212.01","213.60","214.50","211.72","217.86K","-1.22%"
"10-09-2024","214.62","213.82","215.46","211.27","195.29K","0.37%"
"09-09-2024","213.82","210.00","215.00","209.92","207.40K","0.28%"
"06-09-2024","213.22","214.31","217.95","211.20","271.12K","-0.78%"
"05-09-2024","214.90","215.00","216.13","212.65","329.87K","0.64%"
"04-09-2024","213.54","214.00","214.45","210.00","356.25K","0.68%"
"03-09-2024","212.10","207.63","213.40","207.00","581.31K","2.15%"
"02-09-2024","207.63","209.88","211.95","205.55","459.93K","1.03%"
"30-08-2024","205.52","212.60","216.29","200.66","7.48M","-3.24%"
"29-08-2024","212.40","215.03","219.00","211.01","628.76K","-0.64%"
"28-08-2024","213.77","214.00","215.89","211.40","192.16K","0.12%"
"27-08-2024","213.51","214.15","217.17","207.90","1.82M","-0.63%"
"26-08-2024","214.87","214.14","216.99","212.40","221.27K","0.34%"
"23-08-2024","214.14","212.00","217.00","207.26","2.14M","-0.05%"
"22-08-2024","214.24","214.30","218.90","206.40","2.24M","1.12%"
"21-08-2024","211.87","207.90","226.00","205.40","7.74M","3.44%"
"20-08-2024","204.83","204.10","208.55","203.55","192.03K","0.37%"
"19-08-2024","204.07","203.80","206.00","202.79","76.34K","0.43%"
"16-08-2024","203.19","201.70","204.68","200.49","67.10K","1.44%"
"14-08-2024","200.31","201.90","202.94","199.23","74.66K","-0.66%"
"13-08-2024","201.65","203.59","206.40","201.00","113.73K","-1.92%"
"12-08-2024","205.59","207.20","208.26","204.60","102.40K","-1.07%"
