"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","2,095.40","2,020.00","2,121.15","1,993.00","129.63K","3.65%"
"05-11-2024","2,021.70","1,969.45","2,021.70","2,021.70","78.44K","2.63%"
"04-11-2024","1,969.80","2,005.65","2,010.85","1,953.40","61.05K","-2.71%"
"01-11-2024","2,024.75","2,044.95","2,058.95","2,005.50","23.60K","-0.52%"
"31-10-2024","2,035.40","1,975.05","2,047.30","1,960.00","182.65K","2.82%"
"30-10-2024","1,979.50","1,865.70","1,998.85","1,860.00","268.35K","5.91%"
"29-10-2024","1,869.00","1,804.95","1,880.00","1,790.00","112.59K","3.55%"
"28-10-2024","1,804.95","1,794.20","1,841.55","1,784.20","66.75K","0.80%"
"25-10-2024","1,790.70","1,864.45","1,864.45","1,780.05","88.35K","-3.96%"
"24-10-2024","1,864.45","1,835.65","1,871.00","1,825.00","51.52K","1.93%"
"23-10-2024","1,829.20","1,860.00","1,883.70","1,821.05","88.28K","-2.34%"
"22-10-2024","1,873.10","1,885.10","1,938.00","1,860.35","186.36K","-1.31%"
"21-10-2024","1,897.90","1,938.00","1,944.75","1,858.20","137.59K","-1.51%"
"18-10-2024","1,926.90","1,888.00","1,934.00","1,833.20","275.87K","2.87%"
"17-10-2024","1,873.15","1,918.30","1,948.40","1,857.85","51.89K","-1.91%"
"16-10-2024","1,909.70","1,933.05","1,934.25","1,894.00","56.40K","-0.68%"
"15-10-2024","1,922.85","1,916.20","1,931.55","1,897.65","60.20K","0.88%"
"14-10-2024","1,906.10","1,906.45","1,945.00","1,900.00","68.89K","-0.02%"
"11-10-2024","1,906.45","1,887.85","1,912.45","1,880.00","80.92K","0.99%"
"10-10-2024","1,887.85","1,923.00","1,923.00","1,881.00","72.00K","-0.84%"
"09-10-2024","1,903.80","1,960.00","1,975.40","1,895.00","150.79K","-1.11%"
"08-10-2024","1,925.10","1,898.20","1,938.85","1,826.30","582.89K","-0.10%"
"07-10-2024","1,927.10","1,979.10","1,987.75","1,905.00","169.45K","-2.14%"
"04-10-2024","1,969.25","2,005.00","2,019.95","1,930.00","129.66K","-1.61%"
"03-10-2024","2,001.45","2,019.00","2,049.90","1,990.00","187.53K","-3.69%"
"01-10-2024","2,078.20","1,900.00","2,109.95","1,899.60","2.08M","9.50%"
"30-09-2024","1,897.95","1,912.40","1,938.35","1,875.00","104.69K","-0.76%"
"27-09-2024","1,912.40","1,903.05","1,926.00","1,903.05","53.40K","-0.30%"
"26-09-2024","1,918.25","1,956.25","1,960.95","1,909.95","72.76K","-1.94%"
"25-09-2024","1,956.25","1,928.00","1,978.40","1,908.05","139.80K","1.07%"
"24-09-2024","1,935.55","1,915.00","1,948.00","1,890.00","148.11K","1.67%"
"23-09-2024","1,903.75","1,939.00","1,949.95","1,888.00","124.83K","-1.85%"
"20-09-2024","1,939.60","1,930.00","1,957.95","1,925.85","115.01K","1.11%"
"19-09-2024","1,918.35","1,980.80","1,981.00","1,905.60","83.49K","-2.40%"
"18-09-2024","1,965.50","2,024.35","2,024.35","1,952.00","117.08K","-2.11%"
"17-09-2024","2,007.85","1,970.45","2,025.00","1,925.55","151.56K","2.50%"
"16-09-2024","1,958.80","1,929.45","1,969.45","1,905.00","124.96K","1.52%"
"13-09-2024","1,929.45","1,975.00","1,975.05","1,924.00","124.89K","-1.85%"
"12-09-2024","1,965.85","1,975.00","2,020.00","1,955.05","171.78K","0.04%"
"11-09-2024","1,965.00","2,020.00","2,027.35","1,957.15","147.54K","-2.45%"
"10-09-2024","2,014.35","2,010.15","2,050.00","1,997.45","176.21K","0.21%"
"09-09-2024","2,010.15","2,019.80","2,038.05","1,954.85","358.44K","0.30%"
"06-09-2024","2,004.15","2,085.00","2,144.00","1,987.15","667.96K","-5.45%"
"05-09-2024","2,119.60","1,972.00","2,158.80","1,972.00","3.93M","7.66%"
"04-09-2024","1,968.85","1,910.00","1,996.00","1,891.45","381.30K","1.82%"
"03-09-2024","1,933.60","1,890.70","1,950.00","1,874.15","279.06K","2.58%"
"02-09-2024","1,884.90","1,924.70","1,936.55","1,870.00","203.80K","-1.06%"
"30-08-2024","1,905.00","1,811.50","1,919.60","1,810.30","489.76K","6.16%"
"29-08-2024","1,794.45","1,839.95","1,863.00","1,782.55","237.85K","-2.89%"
"28-08-2024","1,847.80","1,952.00","1,957.20","1,831.20","313.66K","-5.59%"
"27-08-2024","1,957.20","1,823.30","1,984.90","1,823.30","613.44K","6.27%"
"26-08-2024","1,841.80","1,773.90","1,960.00","1,767.55","3.38M","5.32%"
"23-08-2024","1,748.75","1,778.00","1,778.00","1,742.00","84.65K","-1.44%"
"22-08-2024","1,774.30","1,763.10","1,790.60","1,755.00","167.01K","0.71%"
"21-08-2024","1,761.75","1,770.15","1,809.65","1,736.00","469.51K","-0.91%"
"20-08-2024","1,778.00","1,815.55","1,815.55","1,752.80","757.17K","-3.68%"
"19-08-2024","1,845.95","1,605.50","1,900.00","1,605.00","5.69M","16.43%"
"16-08-2024","1,585.50","1,572.80","1,598.00","1,563.05","70.16K","1.67%"
"14-08-2024","1,559.50","1,595.00","1,595.00","1,535.00","65.69K","-0.80%"
"13-08-2024","1,572.15","1,569.35","1,594.00","1,542.20","118.57K","0.98%"
"12-08-2024","1,556.95","1,520.05","1,570.00","1,514.30","162.99K","3.76%"
"09-08-2024","1,500.60","1,482.00","1,509.00","1,452.00","221.47K","1.28%"
"08-08-2024","1,481.70","1,591.65","1,613.65","1,468.00","312.15K","-6.27%"
"07-08-2024","1,580.80","1,545.00","1,638.00","1,510.00","453.80K","2.54%"
"06-08-2024","1,541.65","1,553.40","1,590.00","1,525.75","92.91K","-0.26%"
"05-08-2024","1,545.65","1,639.30","1,639.30","1,531.55","216.25K","-5.72%"
"02-08-2024","1,639.35","1,580.00","1,655.00","1,543.85","330.14K","3.50%"
"01-08-2024","1,583.85","1,582.35","1,610.00","1,565.00","96.97K","0.62%"
"31-07-2024","1,574.05","1,557.45","1,600.95","1,550.10","101.93K","1.27%"
"30-07-2024","1,554.35","1,560.05","1,592.00","1,535.20","174.63K","-0.23%"
"29-07-2024","1,558.00","1,542.00","1,564.00","1,528.05","83.47K","2.00%"
"26-07-2024","1,527.40","1,506.95","1,558.10","1,505.50","57.52K","1.45%"
"25-07-2024","1,505.50","1,519.85","1,520.00","1,500.00","58.64K","-1.00%"
"24-07-2024","1,520.75","1,475.00","1,525.00","1,471.40","72.41K","2.75%"
"23-07-2024","1,480.10","1,480.00","1,492.10","1,422.15","77.73K","0.18%"
"22-07-2024","1,477.40","1,497.65","1,509.45","1,465.00","52.40K","-1.35%"
"19-07-2024","1,497.65","1,523.00","1,523.00","1,461.10","224.99K","-2.00%"
"18-07-2024","1,528.25","1,527.00","1,550.00","1,503.60","101.74K","-0.37%"
