"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","724.25","685.50","751.25","685.50","8.10M","8.18%"
"05-11-2024","669.50","672.00","672.00","663.60","55.96K","-0.02%"
"04-11-2024","669.65","680.25","680.25","659.65","63.85K","-1.59%"
"01-11-2024","680.45","680.00","684.00","679.00","26.50K","0.34%"
"31-10-2024","678.15","645.00","683.30","645.00","333.77K","4.61%"
"30-10-2024","648.25","628.00","650.00","628.00","53.81K","2.28%"
"29-10-2024","633.80","638.00","640.65","628.50","47.46K","-0.73%"
"28-10-2024","638.45","627.85","642.00","619.90","63.99K","1.28%"
"25-10-2024","630.40","642.85","648.00","618.00","157.51K","-1.94%"
"24-10-2024","642.85","627.85","647.05","626.50","109.64K","2.39%"
"23-10-2024","627.85","625.00","641.35","616.65","181.18K","-0.71%"
"22-10-2024","632.35","639.35","642.95","618.05","167.03K","-1.77%"
"21-10-2024","643.75","652.00","652.00","636.60","121.17K","-0.43%"
"18-10-2024","646.55","655.60","655.60","644.10","93.04K","-2.07%"
"17-10-2024","660.25","676.90","676.90","655.40","135.16K","-1.83%"
"16-10-2024","672.55","656.30","685.30","648.60","178.80K","3.01%"
"15-10-2024","652.90","668.00","669.05","649.50","182.73K","-1.54%"
"14-10-2024","663.10","673.85","674.70","656.50","111.03K","-1.34%"
"11-10-2024","672.10","679.85","679.85","667.00","67.46K","-0.89%"
"10-10-2024","678.15","669.00","687.45","668.15","181.42K","1.37%"
"09-10-2024","669.00","668.00","675.30","663.15","112.61K","1.23%"
"08-10-2024","660.90","660.55","667.75","656.80","93.37K","-0.29%"
"07-10-2024","662.85","669.05","673.15","642.05","364.50K","-0.55%"
