"Date","Price","Open","High","Low","Vol.","Change %"
"06-11-2024","858.45","839.00","860.85","832.10","1.07M","2.58%"
"05-11-2024","836.85","830.60","840.00","810.05","2.04M","-0.17%"
"04-11-2024","838.25","845.20","845.25","830.00","1.33M","-0.82%"
"01-11-2024","845.20","847.10","851.00","840.00","181.78K","-0.22%"
"31-10-2024","847.10","835.95","853.00","835.95","1.88M","1.39%"
"30-10-2024","835.45","803.95","844.25","801.30","2.83M","3.27%"
"29-10-2024","809.00","786.90","812.00","782.40","1.14M","3.62%"
"28-10-2024","780.75","798.95","801.15","778.75","1.75M","-1.83%"
"25-10-2024","795.30","817.95","819.80","780.55","1.04M","-2.27%"
"24-10-2024","813.80","825.00","832.00","811.75","921.07K","-0.74%"
"23-10-2024","819.90","845.95","851.70","817.00","1.73M","-2.90%"
"22-10-2024","844.40","851.00","852.95","837.00","1.48M","-0.69%"
"21-10-2024","850.25","873.00","875.95","845.10","1.12M","-2.56%"
"18-10-2024","872.60","864.05","876.00","854.55","1.43M","0.43%"
"17-10-2024","868.90","889.00","889.00","866.00","1.05M","-1.91%"
"16-10-2024","885.80","885.00","889.95","881.55","416.59K","-0.35%"
"15-10-2024","888.95","884.35","889.90","875.50","761.38K","0.93%"
"14-10-2024","880.80","885.00","889.50","870.50","1.42M","-1.47%"
"11-10-2024","893.90","891.45","899.10","882.65","839.16K","0.65%"
"10-10-2024","888.10","899.90","907.95","885.90","1.13M","-0.92%"
"09-10-2024","896.35","896.95","906.30","888.70","702.28K","0.52%"
"08-10-2024","891.70","870.00","894.20","867.40","626.93K","2.69%"
"07-10-2024","868.30","885.90","889.75","858.00","2.14M","-1.45%"
"04-10-2024","881.05","885.00","891.80","870.00","2.39M","-1.06%"
"03-10-2024","890.50","904.75","917.20","885.50","1.30M","-3.39%"
"01-10-2024","921.70","923.00","926.95","915.10","1.21M","0.37%"
"30-09-2024","918.30","911.25","923.95","906.00","2.18M","0.77%"
"27-09-2024","911.25","892.00","916.50","892.00","2.45M","2.16%"
"26-09-2024","891.95","887.45","894.65","885.55","923.42K","0.30%"
"25-09-2024","889.30","893.00","893.95","885.10","1.04M","-0.44%"
"24-09-2024","893.25","887.45","900.70","885.65","1.57M","0.65%"
"23-09-2024","887.45","898.00","898.85","876.40","3.67M","-0.62%"
"20-09-2024","893.00","906.00","906.00","882.00","4.83M","-2.20%"
"19-09-2024","913.10","928.05","935.55","901.55","2.68M","-1.56%"
"18-09-2024","927.55","945.00","947.85","921.85","950.53K","-1.86%"
"17-09-2024","945.15","951.50","954.80","940.05","779.43K","-0.67%"
"16-09-2024","951.50","965.00","965.90","950.35","1.01M","-1.02%"
"13-09-2024","961.35","955.30","966.60","953.15","1.73M","1.06%"
"12-09-2024","951.30","941.45","954.00","938.10","1.27M","1.52%"
"11-09-2024","937.05","941.20","947.00","931.00","1.63M","-0.24%"
"10-09-2024","939.30","953.55","953.55","936.00","1.61M","-0.81%"
"09-09-2024","946.95","942.00","951.00","931.55","2.19M","0.46%"
"06-09-2024","942.65","962.25","962.25","939.30","2.65M","-1.84%"
"05-09-2024","960.30","968.00","971.15","958.00","2.37M","-0.50%"
"04-09-2024","965.15","968.85","974.00","955.20","2.11M","-1.00%"
"03-09-2024","974.90","963.50","979.50","961.25","1.37M","1.33%"
"02-09-2024","962.10","969.00","973.15","958.30","1.77M","-0.31%"
"30-08-2024","965.10","968.95","975.25","962.65","1.76M","0.22%"
"29-08-2024","963.00","974.00","974.00","951.10","1.78M","-0.92%"
"28-08-2024","971.95","985.00","986.90","970.50","1.35M","-1.32%"
"27-08-2024","984.95","992.80","995.60","983.10","1.15M","-0.79%"
"26-08-2024","992.80","992.00","1,001.25","989.65","1.63M","0.25%"
"23-08-2024","990.35","988.85","999.45","985.90","1.84M","0.15%"
"22-08-2024","988.85","991.00","996.90","985.00","1.42M","-0.04%"
"21-08-2024","989.20","979.05","992.40","973.25","1.44M","0.98%"
"20-08-2024","979.60","971.95","982.90","964.00","937.97K","1.17%"
"19-08-2024","968.30","989.80","989.80","959.45","2.32M","-1.09%"
"16-08-2024","978.95","955.00","981.00","954.20","1.10M","2.90%"
"14-08-2024","951.40","961.00","963.00","942.20","1.48M","-0.56%"
"13-08-2024","956.75","984.90","985.95","954.00","1.77M","-2.38%"
"12-08-2024","980.10","975.00","983.55","955.75","3.09M","-0.07%"
"09-08-2024","980.80","1,001.00","1,005.05","968.80","3.72M","-1.71%"
"08-08-2024","997.85","1,009.00","1,013.70","993.00","1.33M","-0.68%"
"07-08-2024","1,004.65","1,000.95","1,008.20","992.15","1.62M","2.25%"
"06-08-2024","982.50","994.00","1,010.05","978.40","1.77M","0.43%"
"05-08-2024","978.25","1,010.15","1,015.10","975.00","3.40M","-5.03%"
"02-08-2024","1,030.10","1,029.15","1,039.80","1,020.55","1.19M","-0.77%"
"01-08-2024","1,038.05","1,040.75","1,044.95","1,029.85","1.20M","-0.23%"
"31-07-2024","1,040.45","1,059.20","1,059.20","1,038.00","1.16M","-0.78%"
"30-07-2024","1,048.65","1,039.95","1,054.70","1,038.05","1.74M","0.84%"
"29-07-2024","1,039.95","1,049.95","1,058.15","1,037.10","2.23M","0.00%"
"26-07-2024","1,039.95","1,016.00","1,046.05","1,016.00","2.48M","2.47%"
"25-07-2024","1,014.90","1,015.00","1,029.00","1,008.35","2.28M","-0.92%"
"24-07-2024","1,024.30","1,026.05","1,038.40","1,020.00","1.94M","-0.58%"
"23-07-2024","1,030.25","1,054.95","1,055.00","988.70","4.00M","-0.85%"
"22-07-2024","1,039.05","1,004.00","1,045.95","991.05","2.53M","2.78%"
"19-07-2024","1,010.95","1,037.00","1,040.50","1,007.20","1.91M","-2.77%"
"18-07-2024","1,039.70","1,061.00","1,063.00","1,030.00","5.81M","-0.78%"
"16-07-2024","1,047.85","1,071.00","1,075.00","1,045.25","5.98M","-0.80%"
"15-07-2024","1,056.35","1,062.65","1,062.65","1,043.30","3.02M","-0.10%"
"12-07-2024","1,057.45","1,066.80","1,066.95","1,041.55","2.17M","-0.15%"
"11-07-2024","1,059.00","1,053.90","1,068.00","1,040.05","2.25M","1.44%"
"10-07-2024","1,044.00","1,047.90","1,048.45","1,015.00","2.06M","0.36%"
"09-07-2024","1,040.30","1,039.05","1,055.80","1,018.55","2.65M","-0.27%"
"08-07-2024","1,043.15","1,063.95","1,064.70","1,033.80","2.60M","-1.39%"
"05-07-2024","1,057.90","1,032.00","1,070.30","1,027.15","3.55M","2.46%"
"04-07-2024","1,032.55","1,025.70","1,046.30","1,024.05","2.95M","0.98%"
"03-07-2024","1,022.55","1,030.00","1,035.00","1,015.80","1.81M","-0.46%"
"02-07-2024","1,027.30","1,035.05","1,041.55","1,017.00","1.92M","-0.88%"
"01-07-2024","1,036.40","1,039.05","1,045.70","1,030.70","1.21M","-0.58%"
"28-06-2024","1,042.40","1,045.10","1,054.50","1,034.70","1.25M","-0.53%"
"27-06-2024","1,048.00","1,051.00","1,058.30","1,029.35","1.18M","0.07%"
"26-06-2024","1,047.30","1,051.40","1,061.95","1,044.00","1.60M","-0.39%"
"25-06-2024","1,051.40","1,059.95","1,061.95","1,048.30","1.67M","0.20%"
"24-06-2024","1,049.35","1,080.05","1,081.50","1,039.40","5.18M","-3.81%"
"21-06-2024","1,090.90","1,098.00","1,115.95","1,088.00","1.65M","-0.46%"
"20-06-2024","1,095.95","1,100.05","1,113.55","1,087.10","1.78M","-0.64%"
"19-06-2024","1,103.05","1,140.00","1,140.00","1,101.00","2.28M","-3.27%"
"18-06-2024","1,140.30","1,139.85","1,144.95","1,131.30","823.28K","0.04%"
"14-06-2024","1,139.85","1,140.00","1,146.65","1,124.50","2.42M","-0.04%"
"13-06-2024","1,140.30","1,152.35","1,153.40","1,126.55","1.70M","-0.09%"
"12-06-2024","1,141.35","1,096.00","1,152.00","1,089.65","7.37M","4.92%"
"11-06-2024","1,087.80","1,065.55","1,096.50","1,052.65","4.66M","3.11%"
"10-06-2024","1,054.95","1,061.40","1,073.85","1,042.40","3.01M","0.01%"
"07-06-2024","1,054.80","1,057.00","1,060.00","1,040.50","1.82M","0.19%"
"06-06-2024","1,052.75","1,014.00","1,074.30","1,005.10","4.23M","5.99%"
"05-06-2024","993.25","979.00","1,004.90","890.85","9.73M","4.69%"
"04-06-2024","948.75","1,180.00","1,180.00","880.70","11.53M","-19.20%"
"03-06-2024","1,174.25","1,122.00","1,180.00","1,105.00","7.78M","9.25%"
"31-05-2024","1,074.85","1,073.00","1,080.65","1,046.55","2.86M","0.83%"
"30-05-2024","1,066.05","1,078.00","1,086.70","1,063.45","841.19K","-1.73%"
"29-05-2024","1,084.80","1,076.95","1,097.20","1,062.00","1.89M","0.38%"
"28-05-2024","1,080.70","1,106.00","1,111.30","1,070.30","2.22M","-2.03%"
"27-05-2024","1,103.05","1,113.40","1,115.50","1,097.65","2.77M","0.02%"
"24-05-2024","1,102.85","1,109.85","1,119.90","1,095.95","2.25M","-0.27%"
"23-05-2024","1,105.85","1,083.95","1,113.25","1,076.55","3.77M","2.22%"
"22-05-2024","1,081.80","1,096.00","1,100.00","1,070.05","1.80M","-1.10%"
"21-05-2024","1,093.85","1,118.00","1,119.20","1,077.50","3.64M","-0.64%"
"18-05-2024","1,100.90","1,102.00","1,110.00","1,098.05","733.17K","1.27%"
"17-05-2024","1,087.05","1,035.00","1,116.05","998.65","12.37M","4.89%"
"16-05-2024","1,036.40","1,032.00","1,042.00","1,019.05","1.07M","0.90%"
"15-05-2024","1,027.20","1,029.90","1,038.60","1,021.30","1.06M","0.01%"
"14-05-2024","1,027.10","1,020.90","1,035.00","1,005.00","1.13M","1.37%"
"13-05-2024","1,013.20","1,009.50","1,018.70","993.10","2.35M","1.14%"
"10-05-2024","1,001.75","998.00","1,013.00","978.05","1.41M","1.13%"
"09-05-2024","990.60","1,017.75","1,027.00","987.95","839.14K","-2.79%"
"08-05-2024","1,019.05","1,004.95","1,032.00","1,000.50","1.36M","1.67%"
"07-05-2024","1,002.35","1,033.00","1,033.75","985.00","2.02M","-2.91%"
"06-05-2024","1,032.35","1,069.00","1,069.00","1,027.75","1.29M","-2.56%"
"03-05-2024","1,059.45","1,061.20","1,073.75","1,048.05","2.72M","0.85%"
"02-05-2024","1,050.50","1,033.75","1,055.55","1,028.60","1.53M","2.19%"
"30-04-2024","1,028.00","1,058.00","1,059.90","1,024.35","2.81M","-2.05%"
"29-04-2024","1,049.55","1,083.00","1,083.85","1,036.40","3.85M","-1.73%"
"26-04-2024","1,068.00","1,009.95","1,079.00","1,006.20","7.64M","6.29%"
"25-04-2024","1,004.80","981.60","1,012.00","968.20","3.93M","3.26%"
"24-04-2024","973.05","947.85","976.40","947.80","2.17M","2.60%"
"23-04-2024","948.35","946.00","958.45","939.95","1.27M","0.27%"
"22-04-2024","945.75","939.90","948.40","929.45","1.12M","2.04%"
"19-04-2024","926.85","916.00","933.95","898.35","1.88M","0.29%"
"18-04-2024","924.15","954.70","954.95","920.00","1.61M","-2.40%"
